year_month,rows,parsed,states,max_answer_rate_diff
2021-07,57,56,56,0.004590163934426239
2021-08,56,55,55,0.00489425981873115
2021-09,56,55,55,0.0048786407766989726
2021-10,56,55,55,0.004911868390129359
2021-11,56,55,55,0.004845668768669098
2021-12,56,55,55,0.004930606281957628
2022-01,57,56,56,0.004996541388056275
2022-02,56,55,55,0.00499846672799753
2022-03,57,56,56,0.0050000000000000044
2022-04,56,55,55,0.004751381215469697
2022-05,57,56,56,0.004966974900924792
2022-06,56,55,55,0.00901408450704222
2022-07,57,56,56,0.08750293358366579
2022-08,57,56,56,0.11555030703826163
2022-09,57,56,56,0.08465346534653473
2022-10,57,56,56,0.004574557708508897
2022-11,57,56,56,0.004990253411305989
2022-12,57,56,56,0.0050000000000000044
2023-01,57,56,56,0.004999156971842833
2023-02,57,56,56,0.004841149773071041
2023-03,57,56,56,0.004989754098360666
2023-04,57,56,56,0.004942528735632168
2023-05,57,56,56,0.004932446057672846
2023-06,57,56,56,0.00497542997542999
2023-07,57,56,56,0.004905700063100316
2023-08,57,56,56,0.004931506849314982
2023-09,57,56,56,0.0050000000000000044
2023-10,57,56,56,0.004979802200863581
2023-11,57,56,56,0.00476084538375976
2023-12,57,56,56,0.0050000000000000044
2024-01,57,56,56,0.004992887624466591
2024-02,57,56,56,0.004925373134328392
2024-03,57,56,56,0.004871014982539168
2024-04,57,56,56,0.004865241635687689
2024-05,57,56,56,0.00486761999150509
2024-06,57,56,56,0.004850255661066449
2024-07,57,56,56,0.00491922378357712
2024-08,57,56,56,0.004954039671020816
2024-09,57,56,56,0.004991388219083626
2024-10,57,56,56,0.004823451032644921
2024-11,57,56,56,0.004882943143812657
2024-12,57,56,56,0.0049877750611246885
2025-01,57,56,56,0.0047778758458369985
2025-03,57,56,56,0.0048561362301819955
2025-04,57,56,56,0.004347826086956497
2025-05,57,56,56,0.004950188177994197
2025-06,57,56,56,0.0049540214998057275
2025-07,57,56,56,0.004984025559105376
2025-08,57,56,56,0.004987416471404993
2025-09,57,56,56,0.0050000000000000044
2025-10,57,56,56,0.004979639325189078
2025-11,57,56,56,0.0050000000000000044
2025-12,57,56,56,0.004709851551956801
2026-01,57,56,56,0.004743610096840767
2026-02,55,54,54,0.004820182501341974
2026-03,55,54,54,0.004907749077490808
2026-04,55,54,54,0.0049891852919971
2026-05,55,54,54,0.004970474765766508
