reference_year,path,n
2017,Medicaid_to_Medicaid,133801
2017,Medicaid_to_other_public,5
2017,Medicaid_to_private,44
2017,Medicaid_to_uninsured,66
2018,Medicaid_to_Medicaid,115091
2018,Medicaid_to_direct_purchase_exchange,14
2018,Medicaid_to_other_public,105
2018,Medicaid_to_private,478
2018,Medicaid_to_uninsured,383
2019,Medicaid_to_Medicaid,109650
2019,Medicaid_to_direct_purchase_exchange,12
2019,Medicaid_to_other_public,100
2019,Medicaid_to_private,433
2019,Medicaid_to_uninsured,257
2019,Medicaid_to_unknown_missing,654
2020,Medicaid_to_Medicaid,123567
2020,Medicaid_to_direct_purchase_exchange,6
2020,Medicaid_to_other_public,137
2020,Medicaid_to_private,439
2020,Medicaid_to_uninsured,295
2020,Medicaid_to_unknown_missing,589
2021,Medicaid_to_Medicaid,92803
2021,Medicaid_to_direct_purchase_exchange,4
2021,Medicaid_to_other_public,61
2021,Medicaid_to_private,142
2021,Medicaid_to_uninsured,94
2021,Medicaid_to_unknown_missing,82
2022,Medicaid_to_Medicaid,93554
2022,Medicaid_to_direct_purchase_exchange,5
2022,Medicaid_to_other_public,84
2022,Medicaid_to_private,347
2022,Medicaid_to_uninsured,152
2022,Medicaid_to_unknown_missing,106
2023,Medicaid_to_Medicaid,84983
2023,Medicaid_to_direct_purchase_exchange,3
2023,Medicaid_to_other_public,130
2023,Medicaid_to_private,493
2023,Medicaid_to_uninsured,365
2023,Medicaid_to_unknown_missing,276
