threshold,window_low,window_high,rows,cross_up,medicaid_exit_among_cross_up,exit_to_uninsured_among_cross_up
1.0,0.75,2.0,813983,19236,218,92
1.0,1.0,1.75,497310,16550,189,79
1.0,1.0,2.0,664066,19236,218,92
1.0,1.25,1.75,337049,8402,122,51
1.33,0.75,2.0,813983,18093,223,105
1.33,1.0,1.75,497310,13491,175,83
1.33,1.0,2.0,664066,18093,223,105
1.33,1.25,1.75,337049,13491,175,83
1.38,0.75,2.0,813983,17766,207,91
1.38,1.0,1.75,497310,12709,154,67
1.38,1.0,2.0,664066,17766,207,91
1.38,1.25,1.75,337049,12709,154,67
1.5,0.75,2.0,813983,16213,160,70
1.5,1.0,1.75,497310,9901,100,43
1.5,1.0,2.0,664066,16213,160,70
1.5,1.25,1.75,337049,9901,100,43
2.5,0.75,2.0,813983,0,0,0
2.5,1.0,1.75,497310,0,0,0
2.5,1.0,2.0,664066,0,0,0
2.5,1.25,1.75,337049,0,0,0
