outcome,term,estimate,std_error,p_value,n,events,status,threshold,window_low,window_high,expansion_only,cross_events
medicaid_exit_it,cross_spec,0.006571327685136571,0.0017079681702828352,0.00011935204331736671,199870,414.0,estimated,1.0,0.75,2.0,True,6286
exit_to_uninsured_it,cross_spec,0.002845552782828101,0.0009671992270725151,0.0032604260052753187,199870,198.0,estimated,1.0,0.75,2.0,True,6286
persistent_uninsured_2m,cross_spec,0.002781312444107905,0.0009536754011838558,0.0035408014030522406,199870,187.0,estimated,1.0,0.75,2.0,True,6286
medicaid_exit_it,cross_spec,0.007279593100992559,0.0019609980798877815,0.00020547545243121412,121527,272.0,estimated,1.0,1.0,1.75,True,5286
exit_to_uninsured_it,cross_spec,0.003064240864373659,0.0010642056218878378,0.003984715812862305,121527,125.0,estimated,1.0,1.0,1.75,True,5286
persistent_uninsured_2m,cross_spec,0.002935929664167748,0.0010480110823318292,0.005087668072393914,121527,119.0,estimated,1.0,1.0,1.75,True,5286
medicaid_exit_it,cross_spec,0.006640676784617071,0.001701870706055623,9.540641846128572e-05,166523,344.0,estimated,1.0,1.0,2.0,True,6286
exit_to_uninsured_it,cross_spec,0.0030637500467643997,0.0009625331211438832,0.0014575388943451895,166523,156.0,estimated,1.0,1.0,2.0,True,6286
persistent_uninsured_2m,cross_spec,0.002951331010755798,0.0009499274690177819,0.0018905942716218593,166523,149.0,estimated,1.0,1.0,2.0,True,6286
medicaid_exit_it,cross_spec,0.01013964723457368,0.0031862135475552726,0.0014608507713220753,84929,198.0,estimated,1.0,1.25,1.75,True,2890
exit_to_uninsured_it,cross_spec,0.004084089509368629,0.0015691538289011964,0.009248376622783772,84929,92.0,estimated,1.0,1.25,1.75,True,2890
persistent_uninsured_2m,cross_spec,0.003803741824323541,0.0015336456118466833,0.013131015389054257,84929,87.0,estimated,1.0,1.25,1.75,True,2890
medicaid_exit_it,cross_spec,0.007315261966712844,0.0016399729935103059,8.17308758449542e-06,199870,414.0,estimated,1.33,0.75,2.0,True,5844
exit_to_uninsured_it,cross_spec,0.005316644184428739,0.0011553908262133226,4.1926168767858485e-06,199870,198.0,estimated,1.33,0.75,2.0,True,5844
persistent_uninsured_2m,cross_spec,0.005121926142920101,0.0011400596417473227,7.033156065094914e-06,199870,187.0,estimated,1.33,0.75,2.0,True,5844
medicaid_exit_it,cross_spec,0.008294599140277591,0.002052886265926126,5.3347095321232274e-05,121527,272.0,estimated,1.33,1.0,1.75,True,4269
exit_to_uninsured_it,cross_spec,0.00633681121699634,0.0014404489834997417,1.0865481441468816e-05,121527,125.0,estimated,1.33,1.0,1.75,True,4269
persistent_uninsured_2m,cross_spec,0.0060476183841772285,0.0014178179541946105,1.9950801508628047e-05,121527,119.0,estimated,1.33,1.0,1.75,True,4269
medicaid_exit_it,cross_spec,0.007244083136734834,0.0016345626499156612,9.344215081252827e-06,166523,344.0,estimated,1.33,1.0,2.0,True,5844
exit_to_uninsured_it,cross_spec,0.005371019638080687,0.0011496691032603919,2.9857727565918424e-06,166523,156.0,estimated,1.33,1.0,2.0,True,5844
persistent_uninsured_2m,cross_spec,0.005158159093963716,0.0011346116616626036,5.462597880701026e-06,166523,149.0,estimated,1.33,1.0,2.0,True,5844
medicaid_exit_it,cross_spec,0.008148369581746728,0.0020469178488787213,6.868386089120548e-05,84929,198.0,estimated,1.33,1.25,1.75,True,4269
exit_to_uninsured_it,cross_spec,0.006358807053755897,0.0014272920204720873,8.383264053613004e-06,84929,92.0,estimated,1.33,1.25,1.75,True,4269
persistent_uninsured_2m,cross_spec,0.006067764027609956,0.0014055675138260144,1.5820030777380367e-05,84929,87.0,estimated,1.33,1.25,1.75,True,4269
medicaid_exit_it,cross_spec,0.007483190039769704,0.0016650777653710416,6.983245740110888e-06,199870,414.0,estimated,1.38,0.75,2.0,True,5751
exit_to_uninsured_it,cross_spec,0.005111120424422069,0.0011539732617807275,9.46053033179517e-06,199870,198.0,estimated,1.38,0.75,2.0,True,5751
persistent_uninsured_2m,cross_spec,0.004987801268411111,0.0011407437778500665,1.2288160726514619e-05,199870,187.0,estimated,1.38,0.75,2.0,True,5751
medicaid_exit_it,cross_spec,0.008366894406469975,0.002139669926680236,9.215604020562651e-05,121527,272.0,estimated,1.38,1.0,1.75,True,4052
