state,state_name,bill_number,bill_enactment_date,statutory_effective_date,fee_collection_start_date,first_observed_fee_revenue_date,first_operational_use_date,fund_scope,restricted_988_only_funding_indicator,broader_crisis_system_funding_indicator,fee_amount_and_base,preexisting_911_fee_infrastructure,source_url_or_archive,confidence_rating,audit_note,revenue_timing_precision
VA,Virginia,SB1302,2021-03-18,2021-07-01,2021-07-01,2021-07-01,2021-10-01,988 call center fund,1.0,0.0,$0.12 postpaid wireless; $0.08 prepaid wireless,1.0,https://legacylis.virginia.gov/cgi-bin/legp604.exe?212+sum+SB1302=; temp/raw_downloads/fcc_988_fee_reports/2021_first_annual_988_fee_accountability_report.pdf,high,Enactment and collection are source-supported; operational use remains a 3-month analytic lag.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
WA,Washington,HB1477,2021-05-13,2021-07-25,2021-10-01,2021-10-01,2022-01-01,behavioral health crisis response and suicide prevention line,0.0,1.0,$0.24 per line initially; $0.40 from 2023 in coded schedule,1.0,https://app.leg.wa.gov/RCW/default.aspx?cite=82.86&full=true; temp/raw_downloads/state_policy_sources/wa_dor_988_tax.html,high,Collection start is high-confidence; operational date is analytic lag.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
CO,Colorado,SB21-154,2021-07-06,2021-07-06,2022-01-01,2022-01-01,2022-04-01,988 crisis hotline enterprise and crisis care coordination,0.0,1.0,"annual enterprise-set line/prepaid fee, maximum $0.30; coded as 18/27/14/7 cents by year",1.0,https://leg.colorado.gov/bills/SB21-154; temp/raw_downloads/state_policy_sources/co_session_law_988_surcharge.pdf,medium_high,Collection start is high-confidence; exact enactment date should be rechecked before manuscript submission.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
CA,California,AB988,2022-09-29,2023-01-01,2023-01-01,2023-01-01,2023-04-01,988 state suicide and behavioral health crisis services fund,0.0,1.0,$0.08 per access line for 2023-2025; $0.05 in 2026 in coded schedule,1.0,https://cdtfa.ca.gov/taxes-and-fees/mts.htm; temp/raw_downloads/state_policy_sources/ca_cdtfa_988_surcharge_rates.html,high,Effective and collection date are direct tax-administration dates.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
NV,Nevada,Temporary regulation T004-23A,2023-01-20,2023-06-01,2023-06-01,2023-06-01,2023-09-01,988 surcharge for crisis response program,1.0,0.0,$0.35 per telecommunications access line,1.0,temp/raw_downloads/state_policy_sources/nv_988_temp_regulation.pdf,medium_high,Regulatory path differs from ordinary legislative enactment.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
DE,Delaware,HS1 for HB160,2023-08-03,2024-01-01,2024-01-01,2024-01-01,2024-04-01,behavioral health crisis intervention services surcharge,0.0,1.0,$0.60 monthly and prepaid surcharge,1.0,https://legis.delaware.gov/BillDetail/140522,medium_high,Effective and collection dates align with FCC/state coding.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
MN,Minnesota,SF2588/HF1566 provisions,2023-05-24,2024-01-01,2024-01-01,2024-01-01,2024-04-01,statewide 988 suicide prevention crisis system and related costs,0.0,1.0,$0.12 per consumer access line; prepaid timing differs,1.0,https://www.revisor.mn.gov/statutes/cite/145.561; https://assets.senate.mn/summ/bill/2023/0/SF2588/SF%202588%20Summary.pdf,medium_high,Postpaid fee began 2024; prepaid implementation changed later.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
OR,Oregon,HB2757,2023-07-27,2024-01-01,2024-01-01,2024-01-01,2024-04-01,988 coordinated crisis services and mobile crisis when resources allow,0.0,1.0,$0.40 per line/VoIP service and prepaid transaction,1.0,temp/raw_downloads/state_policy_sources/or_hb2757.pdf; https://www.oregon.gov/DOR/programs/businesses/Pages/911.aspx,high,"Tax applies to subscriber bills and retail transactions on or after January 1, 2024.","annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
MD,Maryland,SB974/HB933,2024-05-16,2024-10-01,2024-10-01,2024-10-01,2025-01-01,9-8-8 Trust Fund fees for behavioral health crisis response services,0.0,1.0,$0.25 per 988-accessible service; prepaid later,1.0,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0974?ys=2024RS; temp/raw_downloads/state_policy_sources/md_sb974_chapter_pdf.pdf,high,Governor approval and effective date are source-supported.,"annual FCC revenue observed; month inferred from collection/effective timing, not directly observed"
VT,Vermont,H.657 / Act 145,2024-06-03,2025-07-01,2025-07-01,,2025-10-01,Vermont 988 Suicide and Crisis Lifeline,1.0,0.0,VUSF per-line contribution allocation; amount not coded from FCC report,1.0,https://legislature.vermont.gov/Documents/2024/Docs/ACTS/ACT145/ACT145%20As%20Enacted.pdf; https://legislature.vermont.gov/statutes/section/30/088/07513a,medium_high,No 2024 fee revenue observed in FCC report.,not observed in current FCC annual revenue window
NM,New Mexico,SB535,2025-04-08,2025-07-01,2025-07-01,,2025-10-01,988 lifeline fund supported by telecom relay surcharge increase,1.0,0.0,relay surcharge increased from 0.33% to 1.66%; 80% of increase to 988 lifeline fund,1.0,https://www.nmlegis.gov/Sessions/25%20Regular/bills/senate/SB0535FCS.HTML; https://www.tax.newmexico.gov/wp-content/uploads/2025/06/2025.06.04_New-tax-and-fee-changes-beginning-July-1.pdf,medium_high,Outside FCC revenue window and post-2025 monitor status in original data.,not observed in current FCC annual revenue window
IL,Illinois,HB2755 / SB2120 related language,2025-06-01,2025-06-01,2025-07-01,,2025-10-01,Statewide 9-8-8 Trust Fund and intrastate telecommunications tax surcharge,1.0,0.0,1.65 percentage-point intrastate telecommunications tax increase designated for 988,1.0,https://ilga.gov/ftp/legislation/104/SB/10400SB2120.htm; temp/raw_downloads/fcc_988_fee_reports/2024_fourth_annual_988_fee_accountability_report.pdf,low_medium,FCC notes 2025 legislation after the 2024 reporting period; revenue not yet observed.,not observed in current FCC annual revenue window
VI,U.S. Virgin Islands,authority reported to FCC,,,,,,authority reported but no collection through 2024,,,not collected by 2024,,temp/raw_downloads/fcc_988_fee_reports/2024_fourth_annual_988_fee_accountability_report.pdf,medium,Not part of state/DC causal sample and no observed collection.,not observed in current FCC annual revenue window
