year_month,states,max_current_routed_abs_diff,max_received_abs_diff,rows_with_current_diff_gt_1pp
2021-07,56,0.004590163934426239,0.004590163934426239,0
2021-08,55,0.00489425981873115,0.00489425981873115,0
2021-09,55,0.0048786407766989726,0.0048786407766989726,0
2021-10,55,0.004911868390129359,0.004911868390129359,0
2021-11,55,0.004845668768669098,0.004845668768669098,0
2021-12,55,0.004930606281957628,0.004930606281957628,0
2022-01,56,0.004996541388056275,0.004996541388056275,0
2022-02,55,0.00499846672799753,0.00499846672799753,0
2022-03,56,0.0050000000000000044,0.0050000000000000044,0
2022-04,55,0.004751381215469697,0.004751381215469697,0
2022-05,56,0.004966974900924792,0.004966974900924792,0
2022-06,55,0.00901408450704222,0.0048881789137379394,0
2022-07,56,0.08750293358366579,0.004896965763426908,52
2022-08,56,0.11555030703826163,0.004931506849314982,52
2022-09,56,0.08465346534653473,0.004943820224719175,51
2022-10,56,0.004574557708508897,0.004574557708508897,0
2022-11,56,0.004990253411305989,0.004990253411305989,0
2022-12,56,0.0050000000000000044,0.0050000000000000044,0
2023-01,56,0.004999156971842833,0.004999156971842833,0
2023-02,56,0.004841149773071041,0.004841149773071041,0
2023-03,56,0.004989754098360666,0.004989754098360666,0
2023-04,56,0.004942528735632168,0.004942528735632168,0
2023-05,56,0.004932446057672846,0.004932446057672846,0
2023-06,56,0.00497542997542999,0.00497542997542999,0
2023-07,56,0.004905700063100316,0.004905700063100316,0
2023-08,56,0.004931506849314982,0.004931506849314982,0
2023-09,56,0.0050000000000000044,0.0050000000000000044,0
2023-10,56,0.004979802200863581,0.004979802200863581,0
2023-11,56,0.00476084538375976,0.00476084538375976,0
2023-12,56,0.0050000000000000044,0.0050000000000000044,0
2024-01,56,0.004992887624466591,0.004992887624466591,0
2024-02,56,0.004925373134328392,0.004925373134328392,0
2024-03,56,0.004871014982539168,0.004871014982539168,0
2024-04,56,0.004865241635687689,0.004865241635687689,0
2024-05,56,0.00486761999150509,0.00486761999150509,0
2024-06,56,0.004850255661066449,0.004850255661066449,0
2024-07,56,0.00491922378357712,0.00491922378357712,0
2024-08,56,0.004954039671020816,0.004954039671020816,0
2024-09,56,0.004991388219083626,,0
2024-10,56,0.004823451032644921,,0
2024-11,56,0.004882943143812657,,0
2024-12,56,0.0049877750611246885,,0
2025-01,56,0.0047778758458369985,,0
2025-03,56,0.0048561362301819955,,0
2025-04,56,0.004347826086956497,,0
2025-05,56,0.004950188177994197,,0
2025-06,56,0.0049540214998057275,,0
2025-07,56,0.004984025559105376,,0
2025-08,56,0.004987416471404993,,0
2025-09,56,0.0050000000000000044,,0
2025-10,56,0.004979639325189078,,0
2025-11,56,0.0050000000000000044,,0
2025-12,56,0.004709851551956801,,0
2026-01,56,0.004743610096840767,,0
2026-02,54,0.004820182501341974,,0
2026-03,54,0.004907749077490808,,0
2026-04,54,0.0049891852919971,,0
2026-05,54,0.004970474765766508,,0
