bundle_rank,country,survey_name,wave,idno,mechanism_pathway,required_concept_rows,recommended_concept_rows,raw_verified_required_rows,blocked_required_rows,metadata_missing_required_rows,harmonization_status,climate_linkage_status,outcome_status,modeling_status,readiness_status,next_action
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,coping_response_to_health_or_climate,4,5,4,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,food_insecurity,4,4,4,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,forgone_care_after_need,5,4,5,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,health_need_illness,4,4,4,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,income_consumption_decline,4,4,4,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,oop_share_conditional_on_seeking,5,5,5,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,uhc_double_failure_composite,7,4,7,0,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,ready_for_harmonized_outcome_construction,blocked_metadata_incomplete,blocked_until_verified_harmonization_recipe,promote verified harmonization recipe candidates and build harmonized household data
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,coping_response_to_health_or_climate,4,5,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,food_insecurity,4,4,0,4,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,forgone_care_after_need,5,4,0,5,0,blocked_until_required_raw_value_audits_pass,blocked_until_raw_timing_geography_and_validation_inputs,metadata_ready_raw_unverified,metadata_plan_only_raw_unverified,blocked_until_required_raw_mechanism_concepts_verified,inspect raw schemas and complete value/unit/recall/key audits for required mechanism concepts
