metric,value,interpretation
alb2002_sample_design_documentation_audit_rows,7,Rows in the ALB_2002 sample-design documentation audit.
alb2002_sample_design_pdf_available_rows,1,Official Basic Information PDF snapshot available locally.
alb2002_sample_design_pdf_pages,66,Pages extracted from the official Basic Information PDF.
alb2002_sample_design_text_chars,168234,Characters extracted from the official Basic Information PDF.
alb2002_sample_design_official_450_psu_8_hh_rows,1,Official text states a 450 PSU by 8 household sample-design claim.
alb2002_sample_design_official_3599_final_rows,1,"Official text states or supports the 3,599 final household sample size."
alb2002_sample_design_april_2001_census_frame_rows,1,Official text documents the April 2001 census sampling-frame context.
alb2002_sample_design_tirana_listing_rows,1,Official text documents the Tirana quick-count or listing context.
alb2002_sample_design_reserve_replacement_rows,1,Official text documents reserve household or replacement context.
alb2002_sample_design_raw_weight_rows,3599,Rows read from the ALB_2002 readable household weight file.
alb2002_sample_design_positive_weight_rows,3599,Rows with positive household weights.
alb2002_sample_design_distinct_psu_rows,450,Distinct PSU values in the readable weight file.
alb2002_sample_design_distinct_stratum_rows,4,Distinct stratum values in the readable weight file.
alb2002_sample_design_candidate_rows,3599,Rows in the temp ALB_2002 household core candidate.
alb2002_sample_design_expected_design_household_rows,3600,450 PSU by 8 households per PSU design arithmetic.
alb2002_sample_design_documented_final_sample_rows,3599,Official final household sample size used for concordance checks.
alb2002_sample_design_raw_design_concordance_rows,1,Raw and candidate counts concordant with official sample-design/final-sample evidence.
alb2002_sample_design_documentation_ready_rows,1,Sample-design documentation evidence ready; this is not analysis-data promotion.
alb2002_sample_design_weighted_inference_ready_rows,0,Rows ready for promoted weighted inference; intentionally zero.
alb2002_sample_design_harmonized_promotion_ready_rows,0,Rows ready for harmonized data promotion after this audit; intentionally zero.
alb2002_sample_design_current_decision,candidate_alb2002_sample_design_documented_not_promoted_due_downstream_gates,Current ALB_2002 sample-design documentation decision.
