launch_rank,canary_role,country,wave,idno,catalog_id,official_get_microdata_url,credentialed_download_url,local_target_folder,expected_full_file_rows,expected_core_file_rows,target_file_count,incoming_file_rows,requirements_covered,launch_status,open_target_folder_command,prepare_target_folder_command,python_probe_command,python_execute_command,post_download_validation_commands,manual_placement_rule,post_download_success_condition,data_write_gate_status,modeling_gate_status
1,first_canary,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/download,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,68,36,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
2,follow_after_first_canary_passes,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/download,temp/raw_downloads/ETH_2018_ESS_v04_M/,68,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/ETH_2018_ESS_v04_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2018_ESS_v04_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/ETH_2018_ESS_v04_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
3,follow_after_first_canary_passes,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/download,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,103,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
4,follow_after_first_canary_passes,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/download,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,104,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
5,follow_after_first_canary_passes,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/download,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,99,27,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
6,follow_after_first_canary_passes,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/download,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,61,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/TZA_2008_NPS-R1_v03_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
7,follow_after_first_canary_passes,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/download,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,95,38,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/TZA_2010_NPS-R2_v03_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
8,follow_after_first_canary_passes,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/download,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,80,33,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/TZA_2012_NPS-R3_v01_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
9,follow_after_first_canary_passes,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/catalog/3902/download,temp/raw_downloads/UGA_2019_UNPS_v03_M/,109,39,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/UGA_2019_UNPS_v03_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/UGA_2019_UNPS_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/UGA_2019_UNPS_v03_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
10,follow_after_first_canary_passes,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/download,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,51,28,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,open_official_page_accept_terms_download_package,Invoke-Item 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --execute,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,"Download the complete unchanged official package after accepting World Bank terms, then place all files under temp/raw_downloads/NPL_2010_LSS-III_v01_M/ or temporarily under temp/raw_downloads/_incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
