metric,value,interpretation
priority_lsms_isa_public_documentation_dataset_rows,19,Refocused LSMS/ISA queue datasets with public documentation receipt rows.
priority_lsms_isa_public_documentation_resource_rows,133,Public documentation and metadata resources attempted or reused for the refocused queue.
priority_lsms_isa_public_documentation_saved_rows,133,Public documentation resources saved or reused locally.
priority_lsms_isa_public_documentation_failed_rows,0,Public documentation resource requests that failed.
priority_lsms_isa_public_documentation_core_complete_dataset_rows,19,Datasets with all required public documentation and metadata resource types saved.
priority_lsms_isa_public_documentation_access_gate_rows,19,"Datasets whose official get-microdata page still shows account, registration, terms, or request language."
priority_lsms_isa_public_documentation_catalog_digest_rows,19,Compact official catalog metadata digest rows extracted from saved JSON snapshots.
priority_lsms_isa_public_documentation_file_inventory_rows,1597,Official DDI file-description rows extracted for Web-GPT-readable file planning.
priority_lsms_isa_public_documentation_saved_bytes,114320665,Total bytes in saved or reused public documentation snapshots.
priority_lsms_isa_public_documentation_handoff_readmes_written,19,Per-wave public documentation handoff files written.
priority_lsms_isa_public_documentation_data_write_status,blocked_no_promoted_rows,Public documentation receipt is not sufficient to write analysis datasets to data/.
modeling_gate_status,blocked,Models remain blocked until raw-backed promotion thresholds and accepted climate linkage pass.
priority_lsms_isa_public_documentation_receipt_status_saved_existing,133,Resource receipt status count.
priority_lsms_isa_public_documentation_resource_type_catalog_idno_json,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_data_dictionary_html,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_ddi_metadata,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_get_microdata_html,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_json_metadata,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_related_materials_html,19,Resource type count.
priority_lsms_isa_public_documentation_resource_type_variables_idno_json,19,Resource type count.
priority_lsms_isa_public_documentation_dataset_status_complete_core_public_documentation_receipt,19,Dataset-level public documentation receipt status count.
priority_lsms_isa_public_documentation_queue_role_core_replacement_primary,2,Dataset count by refocused queue role.
priority_lsms_isa_public_documentation_queue_role_core_selected_lsms_isa_aligned,8,Dataset count by refocused queue role.
priority_lsms_isa_public_documentation_queue_role_replacement_backup_wave,6,Dataset count by refocused queue role.
priority_lsms_isa_public_documentation_queue_role_sixth_country_backup_candidate,3,Dataset count by refocused queue role.
