test,design_stage,minimum_input,pass_rule,current_status,blocking_gap,interpretation_if_fails
future_climate_lead_placebo,identification,future rainfall/heat exposure constructed from verified geography and interview timing,future shocks do not predict current UHC outcomes after the chosen controls,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",downgrade climate estimates to weak/descriptive association
alternative_lag_grid,robustness,"1, 3, 6, and 12 month exposure windows",sign and magnitude are not driven by a single arbitrary lag,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",report instability and avoid a single-window causal claim
alternative_climate_source,robustness,"CHIRPS, ERA5-Land, NASA POWER, TerraClimate, or SPEI source variants as appropriate",core result is not an artifact of one climate product,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",treat source-sensitive estimates as fragile
seasonality_controls,identification,verified interview month/date and survey timing controls,results remain after survey-month or fieldwork-season controls,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",do not interpret shock timing as causal
geography_fixed_effects,identification,"verified admin, cluster, or panel geography identifiers",estimates are not explained by time-invariant local geography,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",downgrade to descriptive cross-sectional pattern
admin_or_cluster_robust_variance,robustness,verified clustering level and sufficient clusters,inference survives design-appropriate clustering or survey variance treatment,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",report uncertainty as too fragile for inference
country_leave_one_out,robustness,at least two raw-verified countries in the estimation sample,pooled estimate is not driven by one country,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",report country-specific evidence only
survey_design_weight_sensitivity,robustness,"verified survey weights, strata, and PSU variables where available",weighted and unweighted/design-adjusted conclusions are consistent enough to interpret,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",report design sensitivity and avoid precise pooled claims
non_climate_sensitive_outcome_placebo,falsification,defensible outcome unlikely to respond to climate shocks,placebo outcome is not predicted by climate shock,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate","suspect omitted seasonality, geography, or survey artifacts"
negative_control_group,falsification,pre-specified group with weak expected shock channel and sufficient sample size,effect is weaker or absent in the negative-control group,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",heterogeneity story is not credible
gps_vs_admin_aggregation,measurement,point/cluster coordinates and admin geography that can both be linked,conclusions are not driven by exposure aggregation level,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",report exposure measurement error and lower causal confidence
multiple_testing_control,inference,"pre-specified outcome, exposure, subgroup, and lag family",key findings survive an explicit multiple-testing adjustment or are labeled exploratory,blocked_until_primary_estimate_and_required_inputs,"requires constructed outcomes, climate-linked data, and a primary reduced-form estimate",do not present exploratory significant results as confirmatory
