metric,value,interpretation
requirement_rows,110,Objective requirement traceability rows.
guardrail_rows,12,Objective interpretation and directory guardrail rows.
raw_file_inventory_rows,209,Raw tabular files inspected.
raw_variable_catalog_rows,5410,Raw variables inspected.
public_external_download_rows,4,Public external candidate raw download audit rows.
public_external_downloaded_rows,4,Public external raw archives downloaded or already present.
public_external_dataset_rows,4,Datasets with public external raw archives present.
raw_variable_verification_protocol_rows,2571,Raw-variable verification protocol rows.
harmonization_scaffold_rows,1204,Metadata-only harmonization scaffold rows.
harmonization_recipe_gate_rows,1204,Harmonization scaffold rows assessed by recipe gate.
harmonization_verified_candidate_rows,0,Rows ready to promote into a verified harmonization recipe.
harmonization_ready_country_waves,0,Country-waves ready for verified recipe assembly.
analysis_dataset_promotion_audit_rows,6,Analysis dataset promotion targets checked.
analysis_dataset_promotion_blocked_rows,2,Promotion targets blocked from data/.
analysis_dataset_promotion_promoted_rows,4,Promotion targets allowed for data/ writes; limited core/outcome/exposure/linked diagnostic files only while model-ready data remain blocked.
analysis_dataset_promotion_data_file_count,4,Files currently present under data/.
analysis_dataset_promotion_verified_recipe_candidates,0,Verified recipe candidates carried into the promotion-barrier audit.
analysis_dataset_promotion_ready_country_waves,0,Ready country-waves carried into the promotion-barrier audit.
analysis_dataset_promotion_alb2002_temp_core_rows,3599,ALB_2002 temp core rows carried into the promotion-barrier audit.
analysis_dataset_promotion_alb2002_weight_positive_rows,3599,ALB_2002 positive household-weight rows carried into the promotion-barrier audit.
analysis_dataset_promotion_alb2002_weight_key_match_rows,3599,ALB_2002 household-weight key matches carried into the promotion-barrier audit.
analysis_dataset_promotion_alb2002_weighted_inference_ready_rows,0,ALB_2002 rows ready for promoted weighted inference; should remain zero.
analysis_dataset_promotion_alb2002_harmonized_ready_rows,0,ALB_2002 harmonized rows ready for promotion; should remain zero.
analysis_dataset_promotion_alb2002_outcome_ready_rows,0,ALB_2002 outcome rows ready for promotion; should remain zero.
analysis_dataset_promotion_alb2002_climate_linkage_ready_rows,0,ALB_2002 climate-linkage rows ready for promotion; should remain zero.
analysis_dataset_promotion_limited_harmonized_core_rows,3599,Rows written to data/harmonized_household.csv under limited scope.
analysis_dataset_promotion_limited_harmonized_core_data_write_ready_rows,3599,Rows allowed for data/ write only as limited harmonized household core.
analysis_dataset_promotion_limited_harmonized_core_final_outcome_ready_rows,0,Rows ready for final outcomes; should remain zero.
analysis_dataset_promotion_limited_harmonized_core_climate_linkage_ready_rows,0,Rows ready for climate linkage; should remain zero.
analysis_dataset_promotion_limited_climate_exposure_rows,384,Rows written to data/climate_exposures_nasa_power.csv under limited fallback scope.
analysis_dataset_promotion_limited_climate_exposure_data_write_ready_rows,384,Rows allowed for data/ write only as limited fallback climate exposures.
analysis_dataset_promotion_limited_climate_exposure_climate_linkage_ready_rows,0,Rows ready for final climate linkage; should remain zero.
analysis_dataset_promotion_current_decision,limited_core_financial_outcomes_climate_exposures_and_linked_diagnostics_promoted_models_still_blocked,Current fail-closed analysis dataset promotion decision.
minimum_viable_acquisition_targets,35,Metadata-only acquisition target rows.
minimum_viable_download_bundles,23,Unique manual-download bundle rows.
sdg382_denominator_requirement_rows,207,SDG 3.8.2 denominator requirement rows.
sdg382_denominator_ready_rows,0,Rows ready for household denominator value audit.
climate_linkage_requirement_rows,253,Climate linkage requirement rows.
climate_linkage_ready_value_rows,0,Rows ready for climate linkage value audit.
mechanism_requirement_rows,1449,Mechanism pathway concept requirement rows.
mechanism_readiness_rows,161,Country-wave pathway readiness rows.
mechanism_ready_rows,0,Rows ready for mechanism analysis design.
mechanism_blocked_rows,161,Rows blocked by raw evidence or upstream gates.
empirical_dashboard_rows,23,Consolidated empirical readiness dashboard rows.
empirical_no_go_rows,8,Go/no-go threshold status rows.
empirical_no_go_pass_rows,2,Go/no-go threshold rows currently passing.
