component,status,raw_variables_or_source,aggregate_evidence,decision,remaining_blocker
official_indicator_definition,source_checked_current_2026_metadata,https://unstats.un.org/sdgs/metadata/files/Metadata-03-08-02.pdf,last_update=2026-03-27; series=SH_OOP_XPD_EARNNET40; threshold=0.40; denominator=household_discretionary_budget,use_current_40pct_discretionary_budget_definition_for_sdg382_gate,
oop_health_expenditure,raw_internal_input_complete,ihs2_pov.dta rexp_cat06,label=Health(real) Annual HH exp; nonmissing_rows=11280; positive_oop_rows=7765; positive_oop_percent=68.8387,oop_health_input_ready_for_parameterized_sdg382_test,Need final 2017 PPP/CPI/SPL parameterization before SDG 3.8.2 indicator can be accepted.
total_consumption_or_income,raw_internal_input_complete,ihs2_pov.dta rexpagg,label=Total Annual HH exp; positive_total_consumption_rows=11280; weighted_median_daily_total_pc_raw=42.6362,consumption_welfare_input_ready_for_parameterized_sdg382_test,Confirm real-currency base and 2017 PPP/CPI conversion before final SPL local-currency mapping.
household_size_population_weight,raw_internal_input_complete,ihs2_pov.dta hhsize; hhwght,"hhsize_label=HH Size (based on hh members b08, see IHS2_individ.dta); hhwght_label=IHS2 HH weight; analytic_households=11280; weighted_population=1.23285e+07",person_weighting_input_ready_for_aggregate_sdg382_rate_after_parameter_lock,No person-level SDG 3.8.2 rate should be published until the denominator parameter policy is accepted.
consumption_excluding_oop_for_spl_median,raw_internal_derivation_complete,rexpagg - rexp_cat06; hhsize; hhwght,weighted_median_daily_consumption_excluding_oop_pc_raw=41.9651; nonpositive_excluding_oop_rows=0,median_component_ready_but_currency_conversion_missing,Need verified conversion from survey real local currency to 2017 PPP international dollars before SPL can be final.
survey_poverty_line_context,diagnostic_context_not_official_spl,ihs2_pov.dta povline,label=Poverty Line MK pp pa; nonmissing_rows=11280; weighted_median_daily_povline_pc_raw=44.2877; daily_range_raw=44.2877-44.2877,use_as_context_only_not_sdg382_spl,"Official 2026 SDG 3.8.2 SPL is max(2017 IPL, relative SPL formula), not the survey national poverty line by itself."
survey_price_index_context,diagnostic_context_not_complete_cpi_bridge,ihs2_pov.dta price_index,label=Spatial and temporal deflator with base national February/March 2004; nonmissing_rows=11280; observed_range=86.1-128.6,use_as_context_only_until_cpi_ppp_bridge_is_documented,Need locked conversion from February/March 2004 real local currency to 2017 PPP terms.
external_2017_ppp_parameter,blocked_external_parameter_not_verified,World Bank/ICP 2017 PPP private consumption conversion factor,not_stored_in_project_artifacts,sdg382_not_ready,"Fetch, source, and freeze the official 2017 PPP conversion factor appropriate for household consumption/income."
external_cpi_or_deflator_bridge,blocked_external_parameter_not_verified,CPI or price-deflator bridge from Malawi 2004 survey real-currency base to 2017,not_stored_in_project_artifacts,sdg382_not_ready,"Fetch, source, and freeze the CPI/deflator bridge consistent with rexpagg/rexp_cat06 real currency base."
official_spl_local_currency,blocked_until_ppp_cpi_policy_locked,"max(2.15 2017 PPP IPL, 1.15 2017 PPP + 50% median consumption/income excluding OOP)",median_excluding_oop_raw_available=41.9651; ppp_verified=0; cpi_bridge_verified=0,sdg382_not_ready,Cannot compute final SPL in Malawi survey local currency until PPP and CPI/deflator parameters are verified.
sdg382_indicator_final,blocked_external_parameters,rexp_cat06; rexpagg; hhsize; hhwght; verified SPL local-currency parameter,raw_internal_inputs_complete=1; external_ppp_cpi_parameters_verified=0; spl_verified=0,keep_sdg382_ready_0,Do not mark SDG 3.8.2 ready until current 2026 metadata parameters are frozen and the final population-weighted 40% discretionary-budget indicator is validated.
