metric,value,interpretation
priority_lsms_minimum_endpoint_dataset_rows,11,Minimum threshold batch country-waves with refreshed official endpoint probes.
priority_lsms_minimum_endpoint_country_rows,6,Countries represented in the minimum endpoint refresh.
priority_lsms_minimum_endpoint_rows,88,Official endpoint probes across the minimum threshold batch.
priority_lsms_minimum_endpoint_public_metadata_endpoint_rows,44,Dataset-level count of successful public metadata endpoint hits.
priority_lsms_minimum_endpoint_variable_api_dataset_rows,11,Minimum-batch datasets with a public variable metadata API endpoint.
priority_lsms_minimum_endpoint_get_microdata_gate_dataset_rows,11,Minimum-batch datasets whose official get-microdata endpoint shows an access gate.
priority_lsms_minimum_endpoint_raw_download_candidate_rows,0,Raw download candidate endpoints detected without accepting them as usable.
priority_lsms_minimum_endpoint_credentialed_download_required_rows,11,Minimum-batch datasets requiring credentialed download after endpoint refresh.
priority_lsms_minimum_endpoint_handoff_readmes_written,11,Per-wave endpoint-refresh handoffs written.
priority_lsms_minimum_endpoint_data_write_status,blocked_no_raw_package_receipt,Endpoint refresh never writes promoted data.
modeling_gate_status,blocked,"Models remain blocked until 6 countries, 10 country-waves, and accepted CHIRPS/ERA5 linkage are value-verified."
priority_lsms_minimum_endpoint_classification_empty_download_route_not_raw_package,11,Endpoint classification count.
priority_lsms_minimum_endpoint_classification_http_error_not_public_endpoint,11,Endpoint classification count.
priority_lsms_minimum_endpoint_classification_idno_route_returns_catalog_or_search_html_not_raw_package,11,Endpoint classification count.
priority_lsms_minimum_endpoint_classification_official_get_microdata_access_gate,11,Endpoint classification count.
priority_lsms_minimum_endpoint_classification_public_metadata_endpoint_not_raw_package,44,Endpoint classification count.
