outcome_id,outcome_label,outcome_family,denominator_definition,source_fields,household_rows,denominator_rows,missing_rows,event_rows,event_rate,weighted_event_rate,low_event_rate_flag,ready_for_outcome,ready_for_recipe,sdg382_ready,climate_linkage_ready,promotion_status,blocking_reason
uhc_double_failure_che10_or_access_candidate,CHE10 or any access barrier,double_failure,Financial denominator and broad access denominator both valid.,che10_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,2004,0.556821,0.570531,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
uhc_double_failure_che25_or_access_candidate,CHE25 or any access barrier,double_failure,Financial denominator and broad access denominator both valid.,che25_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,1889,0.524868,0.537554,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
financial_only_che10_candidate,CHE10 without access barrier,financial_only,Financial denominator and broad access denominator both valid.,che10_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,143,0.0397333,0.0415783,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
access_only_vs_che10_candidate,Access barrier without CHE10,access_only,Financial denominator and broad access denominator both valid.,che10_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,1180,0.327869,0.333871,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
both_che10_access_candidate,CHE10 and access barrier,both_financial_and_access,Financial denominator and broad access denominator both valid.,che10_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,681,0.189219,0.195082,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
financial_only_che25_candidate,CHE25 without access barrier,financial_only,Financial denominator and broad access denominator both valid.,che25_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,28,0.00777994,0.00860196,1,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
access_only_vs_che25_candidate,Access barrier without CHE25,access_only,Financial denominator and broad access denominator both valid.,che25_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,1599,0.44429,0.451651,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
both_che25_access_candidate,CHE25 and access barrier,both_financial_and_access,Financial denominator and broad access denominator both valid.,che25_total_budget_candidate;composite_any_access_barrier_candidate,3599,3599,0,262,0.072798,0.0773017,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
composite_cost_barrier_candidate,Composite access cost barrier,access_cost,Financial denominator and broad access denominator both valid.,composite_cost_barrier_candidate,3599,3599,0,1661,0.461517,0.476346,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
coping_health_cost_candidate,Money raising for health care,coping_failure,Financial denominator and broad access denominator both valid.,money_raising_any_candidate,3599,3599,0,1476,0.410114,0.434768,0,0,0,0,0,temp_only_uhc_composite_candidate_not_promoted,"Composite UHC failure candidates combine temp-only ALB_2002 CHE and access candidates, but they remain outside data/ because financial outcomes, access outcomes, harmonization recipe, SDG denominator, benchmark, and climate-geography gates have not passed together."
