download_rank,country,wave,idno,catalog_id,official_get_microdata_url,local_target_folder,launchpad_html_path,target_readme_path,current_progress_status,target_file_count,incoming_file_rows,expected_file_rows,missing_expected_file_rows,present_expected_file_rows,requirement_gate_rows,blocked_requirement_rows,ready_requirement_rows,expected_core_file_rows,missing_core_file_rows,post_download_receipt_status,first_validation_command,execute_validation_command,canonical_post_download_sequence,next_action,promotion_unlock_condition,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,68,68,0,7,7,0,36,36,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,68,68,0,7,7,0,35,35,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,103,103,0,7,7,0,26,26,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,104,104,0,7,7,0,26,26,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,99,99,0,7,7,0,27,27,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,61,61,0,7,7,0,35,35,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,95,95,0,7,7,0,38,38,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,80,80,0,7,7,0,33,33,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,109,109,0,7,7,0,39,39,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,https://microdata.worldbank.org/catalog/1000/get-microdata,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,report/priority_lsms_isa_manual_download_launchpad.html,temp/raw_downloads/NPL_2010_LSS-III_v01_M/_PRIORITY_LSMS_ISA_DOWNLOAD_ACCEPTANCE.md,blocked_no_local_or_incoming_files,0,0,51,51,0,7,7,0,28,28,blocked_no_target_files,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M,python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M --execute,python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NPL_2010_LSS-III_v01_M --execute; python script/182_build_priority_lsms_isa_download_acceptance_matrix.py; python script/183_build_priority_lsms_isa_local_target_readmes.py; python script/199_build_priority_lsms_isa_acquisition_to_promotion_handoff.py; python script/200_build_priority_lsms_isa_dataset_scope_lock.py; python script/201_build_priority_lsms_isa_acquisition_route_decision.py; python script/202_build_priority_lsms_isa_scoped_incoming_package_router.py; python script/203_build_priority_lsms_isa_webgpt_download_control_manifest.py; python script/204_build_priority_lsms_isa_manual_download_launchpad.py; python script/205_build_priority_lsms_isa_post_download_receipt_handoff.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Place the complete official raw package in the target folder, then run the first validation command.","No missing expected files, no missing requirement-linked core files, raw values/semantics/timing/geography accepted, and promotion packet refreshed.",blocked_no_data_write,blocked
