download_rank,country,wave,idno,requirement,core_file_rows,core_matched_file_rows,core_missing_file_rows,unique_expected_core_files,top_variable_names,requirement_acceptance_status,post_download_requirement_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,6,0,6,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta,saq19__Latitude;saq19__Longitude;cs10q05__Latitude;cs10q05__Longitude;s3q09__Latitude;s3q09__Longitude,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,consumption_or_income,1,0,1,cons_agg_w5.dta,nonfood_cons2;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons2;food_cons_ann;nom_foodcons_aeq;fafh_cons_ann;spat_totcons_aeq;educ_cons_ann;nom_educcons_aeq;nom_totcons_aeq;total_cons_ann,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,health_need_and_access,3,0,3,sect3_hh_w5.dta;sect04_com_w5.dta;sect3_pp_w5.dta,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;cs4q37;cs4q34;cs4q35;cs4q28;s3q15_1;s3q15_2,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,household_person_keys,8,0,8,sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta;sect1_ph_w5.dta;sect2_pp_w5.dta;sect3_pp_w5.dta;sect4_pp_w5.dta;sect6c_hh_w5.dta,individual_id;household_id;household_id;individual_id,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,oop_health_expenditure,2,0,2,sect8_3_ls_w5.dta;sect3_hh_w5.dta,ls_s8_3q04;ls_s8_3q22;ls_s8_3q24;ls_s8_3q03;ls_s8_3q05;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;s3q17;s3q18,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,8,0,8,sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect12b1_hh_w5.dta;sect7b_hh_w5.dta;eth_householdgeovariables_y5.dta;sect_cover_hh_w5.dta;eth_plotgeovariables_y5.dta,InterviewDate;s12bq08a;s12bq08b;item_cd_12months;s7q04;wetQ_avgstart;saq19__Timestamp,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,weights_and_design,8,0,8,sect_cover_hh_w5.dta;sect6b2_hh_w5.dta;sect6b3_hh_w5.dta;sect6b4_hh_w5.dta;sect6c_hh_w5.dta;sect7a_hh_w5.dta;sect7b_hh_w5.dta;sect8_hh_w5.dta,pw_w5;ea_id;pw_w5,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,6,0,6,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta,saq19__Latitude;saq19__Longitude;ea_id;saq19__Latitude;saq19__Longitude;s3q09__Latitude;s3q09__Longitude;cs10q05__Latitude;cs10q05__Longitude;ea_id,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,2,0,2,sect7a_hh_w4.dta;cons_agg_w4.dta,ea_id;household_id;item_cd_30day;pw_w4;s7q01;s7q02;saq01;saq02;saq03;nom_nonfoodcons_aeq;nonfood_cons_ann;food_cons_ann,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,2,0,2,sect3_hh_w4.dta;sect04_com_w4.dta,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q06_1;s3q06_2;s3q06_os;s3q09a;s3q09b;cs4q37,blocked_missing_core_files,"After placing the complete official package, confirm all requirement-linked core files are present.",blocked_no_data_write,blocked
