batch_rank,country,survey_name,wave,idno,included_acquisition_sets,raw_file_inventory_rows,raw_variable_catalog_rows,required_concept_rows,concepts_with_metadata_support,concepts_missing_metadata,critical_concepts_missing_metadata,concepts_ready_for_recipe_promotion,current_gate_status,next_action,guardrail
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,46,1187,13,12,insurance,,9,blocked_candidate_file_or_variable_not_matched,map downloaded raw filenames/variables to candidate metadata and rerun workbook,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,13,,,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,13,,,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,financial_6_country_probe;double_failure_10_wave_probe,0,0,13,12,household_id,household_id,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,financial_6_country_probe;double_failure_10_wave_probe,0,0,13,10,insurance;psu_cluster;strata,psu_cluster;strata,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,financial_6_country_probe;double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,11,insurance;strata,strata,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,12,insurance,,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,financial_6_country_probe;double_failure_10_wave_probe,0,0,13,11,household_id;insurance,household_id,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,12,strata,strata,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,double_failure_10_wave_probe;multi_wave_panel_sequence_probe,0,0,13,12,strata,strata,0,blocked_raw_files_absent,download complete original raw package into local target folder,do not write data outputs or temp/harmonization_recipe.csv until all critical raw evidence fields pass
