exposure_family,exposure_name,primary_source,fallback_or_robustness_source,window,raw_source_variable_or_product,unit_or_scale,construction_rule,minimum_inputs_required,current_status
rainfall,rainfall_total,CHIRPS daily/global precipitation,NASA POWER daily point API,1m,daily precipitation,mm over window,sum daily precipitation over the pre-interview window at verified point or admin aggregation,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_total,CHIRPS daily/global precipitation,NASA POWER daily point API,3m,daily precipitation,mm over window,sum daily precipitation over the pre-interview window at verified point or admin aggregation,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_total,CHIRPS daily/global precipitation,NASA POWER daily point API,6m,daily precipitation,mm over window,sum daily precipitation over the pre-interview window at verified point or admin aggregation,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_total,CHIRPS daily/global precipitation,NASA POWER daily point API,12m,daily precipitation,mm over window,sum daily precipitation over the pre-interview window at verified point or admin aggregation,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_z_score,CHIRPS daily/global precipitation,NASA POWER daily point API,1m,daily/monthly precipitation baseline,standard deviations,standardize window rainfall against local historical baseline after baseline period is documented,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_z_score,CHIRPS daily/global precipitation,NASA POWER daily point API,3m,daily/monthly precipitation baseline,standard deviations,standardize window rainfall against local historical baseline after baseline period is documented,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_z_score,CHIRPS daily/global precipitation,NASA POWER daily point API,6m,daily/monthly precipitation baseline,standard deviations,standardize window rainfall against local historical baseline after baseline period is documented,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,rainfall_z_score,CHIRPS daily/global precipitation,NASA POWER daily point API,12m,daily/monthly precipitation baseline,standard deviations,standardize window rainfall against local historical baseline after baseline period is documented,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,drought_indicator,CHIRPS daily/global precipitation,SPEI drought index,1m,rainfall z-score or SPEI,binary,"1 if rainfall z-score < -1, with severe drought at < -1.5; use SPEI as robustness only after scale is documented",verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,drought_indicator,CHIRPS daily/global precipitation,SPEI drought index,3m,rainfall z-score or SPEI,binary,"1 if rainfall z-score < -1, with severe drought at < -1.5; use SPEI as robustness only after scale is documented",verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,drought_indicator,CHIRPS daily/global precipitation,SPEI drought index,6m,rainfall z-score or SPEI,binary,"1 if rainfall z-score < -1, with severe drought at < -1.5; use SPEI as robustness only after scale is documented",verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,drought_indicator,CHIRPS daily/global precipitation,SPEI drought index,12m,rainfall z-score or SPEI,binary,"1 if rainfall z-score < -1, with severe drought at < -1.5; use SPEI as robustness only after scale is documented",verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,extreme_wet_indicator,CHIRPS daily/global precipitation,NASA POWER daily point API,1m,rainfall z-score or percentile,binary,1 if rainfall z-score > 1.5 or percentile threshold is passed after local baseline construction,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,extreme_wet_indicator,CHIRPS daily/global precipitation,NASA POWER daily point API,3m,rainfall z-score or percentile,binary,1 if rainfall z-score > 1.5 or percentile threshold is passed after local baseline construction,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,extreme_wet_indicator,CHIRPS daily/global precipitation,NASA POWER daily point API,6m,rainfall z-score or percentile,binary,1 if rainfall z-score > 1.5 or percentile threshold is passed after local baseline construction,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
rainfall,extreme_wet_indicator,CHIRPS daily/global precipitation,NASA POWER daily point API,12m,rainfall z-score or percentile,binary,1 if rainfall z-score > 1.5 or percentile threshold is passed after local baseline construction,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
temperature,temperature_mean,ERA5-Land daily statistics or reanalysis,NASA POWER daily point API,1m,daily mean temperature,Celsius after unit conversion if raw product is Kelvin,average daily mean temperature over the pre-interview window,verified latitude/longitude or admin geography; verified interview date/month; geolocation quality flag,blocked_until_verified_geography_and_timing
