metric,value,interpretation
alb2002_period_aligned_che_policy_rows,3,Period-aligned ALB_2002 CHE stress-test policies.
alb2002_period_aligned_che_household_rows,3599,Household rows evaluated by the period-aligned CHE audit.
alb2002_period_aligned_che_denominator_rows,3599,Rows with positive documented total-budget denominator candidate.
alb2002_period_aligned_che_denominator_documented_rows,3,Rows where the monthly total-budget denominator evidence is documented for this policy row.
alb2002_period_aligned_che_zero_skip_ready_rows,4,Existing narrow zero-skipped-payment decision rows carried into this audit.
alb2002_period_aligned_che_period_alignment_ready_rows,3,Policy rows with denominator period and no-positive-leakage skip evidence ready for stress testing.
alb2002_period_aligned_che_combined_che10_rows,824,CHE10 rows under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_combined_che10_rate,0.228952,Unweighted CHE10 rate under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_combined_che10_weighted_rate,0.23666,Weighted CHE10 rate under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_combined_che25_rows,290,CHE25 rows under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_combined_che25_rate,0.0805779,Unweighted CHE25 rate under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_combined_che25_weighted_rate,0.0859036,Weighted CHE25 rate under the combined monthly-equivalent no-gifts-with-transport policy.
alb2002_period_aligned_che_outcome_ready_rows,0,Rows promoted to final household outcomes by this audit; intentionally zero.
alb2002_period_aligned_che_recipe_ready_rows,0,Rows promoted to harmonized recipe status by this audit; intentionally zero.
alb2002_period_aligned_che_sdg382_ready_rows,0,Rows promoted to SDG 3.8.2 status by this audit; intentionally zero.
alb2002_period_aligned_che_climate_linkage_ready_rows,0,Rows ready for climate linkage by this audit; intentionally zero.
alb2002_period_aligned_che_current_decision,blocked_alb2002_period_aligned_che_policy_not_outcome_ready,Current fail-closed decision for ALB_2002 period-aligned CHE policy.
