country,wave,idno,raw_dist_code,raw_dist_label,normalized_adm2_name,household_rows,interview_month_count,interview_month_min,interview_month_max,boundary_match_status,boundary_source,route_role
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,101,Chitipa,Chitipa,240,12,2004-03,2005-02,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,102,Karonga,Karonga,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,103,Nkhata Bay,Nkhata Bay,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,104,Rumphi,Rumphi,240,12,2004-03,2005-02,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,105,Mzimba/Mzuzu City,Mzimba,720,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,201,Kasungu,Kasungu,480,12,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,202,Nkhotakota,Nkhotakota,240,11,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,203,Ntchisi,Ntchisi,240,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,204,Dowa,Dowa,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,205,Salima,Salima,240,12,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,206,Lilongwe/Lilongwe City,Lilongwe,1440,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,207,Mchinji,Mchinji,240,12,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,208,Dedza,Dedza,480,13,2004-03,2005-03,matched_to_geoboundaries_adm2,"geoBoundaries gbOpen MWI ADM2 2020, source National Statistics Office of Malawi and OCHA ROSEA",sampled_raw_district
