column_name,storage_type,source,definition,analysis_note
country,object,constant,Country name.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
wave,object,constant,Survey wave/year label.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
idno,object,constant,World Bank Microdata Library study identifier.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
case_id,object,ihs2_pov.dta/ihs2_household.dta/sec_d.dta,Household identifier used for promoted household-level joins.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
household_weight,float64,ihs2_pov.dta hhwght,Household survey weight.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
strata,object,ihs2_pov.dta strata,Survey stratum code.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
psu,object,ihs2_household.dta V51,Household EA/PSU code accepted for this household-level dataset.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
raw_dist_code,object,ihs2_pov.dta dist,Raw district code in the Malawi 2004 microdata.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
raw_dist_label,category,ihs2_household.dta dist label,Raw district value label from the household file.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
adm2_name,object,mwi2004_chirps_admin2_crosswalk.csv,Matched Malawi ADM2 boundary name used for CHIRPS aggregation.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
ta,object,ihs2_pov.dta ta,Traditional authority code.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
ea,object,ihs2_pov.dta ea,Enumeration area code.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
interview_date,object,ihs2_household.dta idate,Interview date converted from Stata days since 1960-01-01.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
interview_month,object,ihs2_household.dta idate,Interview month used as the lag-window anchor.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
total_consumption_rexpagg,float64,ihs2_pov.dta rexpagg,Survey-team total annual household expenditure denominator for CHE10/CHE25.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
oop_health_rexp_cat06,float64,ihs2_pov.dta rexp_cat06,Annual real household health OOP expenditure aggregate.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
oop_health_share_total,float64,constructed,oop_health_rexp_cat06 divided by total_consumption_rexpagg.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
che10_total_budget,int64,constructed,Indicator for OOP health share of total consumption greater than 10 percent.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
che25_total_budget,int64,constructed,Indicator for OOP health share of total consumption greater than 25 percent.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
sdg382_ready,int64,policy flag,Always 0 in this release; SDG 3.8.2 discretionary-budget denominator remains blocked.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
health_person_rows_matched,int64,sec_d.dta and ihs2_individ.dta,Roster-matched health-module person rows in the household.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
acute_need_persons,int64,sec_d.dta d04,"Roster-matched persons with acute illness/injury need, d04==1.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
cost_barrier_forgone_care_persons,int64,sec_d.dta d07a/d07b,Acute-need persons with no-money no-action code in d07a or d07b.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
household_any_acute_need,int64,constructed,Household indicator for at least one acute-need person.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
household_any_cost_barrier_forgone_care,int64,constructed,Household indicator for at least one cost-barrier forgone-care person.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
uhc_failure_che10_or_cost_barrier,int64,constructed,Household indicator for CHE10 or any cost-barrier forgone care.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
uhc_failure_che25_or_cost_barrier,int64,constructed,Household indicator for CHE25 or any cost-barrier forgone care.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
both_che10_and_cost_barrier,int64,constructed,Household indicator for both CHE10 and any cost-barrier forgone care.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
both_che25_and_cost_barrier,int64,constructed,Household indicator for both CHE25 and any cost-barrier forgone care.,Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_total_1m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Total CHIRPS monthly precipitation in the 1-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_mean_1m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Mean monthly CHIRPS precipitation in the 1-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_total_3m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Total CHIRPS monthly precipitation in the 3-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_mean_3m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Mean monthly CHIRPS precipitation in the 3-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_total_6m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Total CHIRPS monthly precipitation in the 6-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_mean_6m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Mean monthly CHIRPS precipitation in the 6-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_total_12m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Total CHIRPS monthly precipitation in the 12-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
chirps_precip_mean_12m_mm,float64,mwi2004_chirps_admin2_lag_window_exposure.csv,"Mean monthly CHIRPS precipitation in the 12-month window before interview month, ADM2 average.",Promoted for descriptive dataset synthesis only; predictive/reduced-form/causal ML gates remain blocked.
