download_rank,country,wave,idno,incoming_relative_path,incoming_file_name,incoming_bytes,incoming_kind,archive_read_status,route_score,expected_file_name_matches,core_file_name_matches,idno_hint_match,catalog_hint_match,country_year_hint_match,matched_expected_file_names,matched_core_file_names,evidence_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,,,,,,,,,,,,,,waiting_for_incoming_package
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,,,,,,,,,,,,,,waiting_for_incoming_package
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,,,,,,,,,,,,,,waiting_for_incoming_package
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,,,,,,,,,,,,,,waiting_for_incoming_package
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,,,,,,,,,,,,,,waiting_for_incoming_package
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,,,,,,,,,,,,,,waiting_for_incoming_package
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,,,,,,,,,,,,,,waiting_for_incoming_package
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,,,,,,,,,,,,,,waiting_for_incoming_package
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,,,,,,,,,,,,,,waiting_for_incoming_package
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,,,,,,,,,,,,,,waiting_for_incoming_package
