metric,value,interpretation
priority_download_execution_packet_rows,13,Dataset-level manual credentialed download execution packets.
priority_download_execution_priority_10_wave_rows,10,Phase-1 priority waves covered by execution packets.
priority_download_execution_backup_wave_rows,3,Sixth-country backup waves covered by execution packets.
priority_download_execution_distinct_countries,8,Distinct countries covered by execution packets.
priority_download_execution_core_file_rows,156,Core file/module acceptance rows across execution packets.
priority_download_execution_first_pass_requirement_rows,104,First-pass requirement rows carried into execution packets.
priority_download_execution_first_pass_variable_rows,465,First-pass selected variable rows carried into execution packets.
priority_download_execution_raw_package_received_rows,0,Execution-packet datasets with any original package receipt.
priority_download_execution_handoff_readmes_written,13,Per-wave download execution handoff files written.
modeling_gate_status,blocked,Models remain blocked until raw-backed promotion thresholds and accepted climate linkage pass.
download_execution_status_ready_for_manual_credentialed_download_no_raw_receipt,13,Dataset download execution status count.
download_file_acceptance_status_blocked_no_raw_or_archive_file,156,Core file acceptance status count.
