country,wave,idno,priority_country,minimum_batch_row,official_url,local_target_folder,analysis_ready_status,raw_like_file_count,local_raw_presence_status,handoff_stage,next_required_action,manual_download_action,post_placement_validation_sequence,promotion_refresh_sequence,expected_full_file_rows,core_file_rows,requirements_covered,data_write_gate_status,modeling_gate_status
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,1,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\ETH_2021_ESPS-W5_v02_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2021_ESPS-W5_v02_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,68,36,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,1,1,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/ETH_2018_ESS_v04_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\ETH_2018_ESS_v04_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno ETH_2018_ESS_v04_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,68,35,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,1,0,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,promoted_analysis_ready,1,raw_present_promoted,promoted_keep_current,Keep promoted dataset and registry; no modeling until threshold is met.,,python script/17_audit_raw_downloads.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,,,,open_only_for_existing_promoted_scope,blocked
Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,1,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2012_GHSP-W2_v02_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2012_GHSP-W2_v02_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,103,26,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,1,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2015_GHSP-W3_v02_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2015_GHSP-W3_v02_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,104,26,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,1,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\NGA_2010_GHSP-W1_v03_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno NGA_2010_GHSP-W1_v03_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,99,27,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,1,1,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2008_NPS-R1_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2008_NPS-R1_v03_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2008_NPS-R1_v03_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,61,35,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1,1,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2010_NPS-R2_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2010_NPS-R2_v03_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2010_NPS-R2_v03_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,95,38,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,1,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/TZA_2012_NPS-R3_v01_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\TZA_2012_NPS-R3_v01_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno TZA_2012_NPS-R3_v01_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,80,33,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
Uganda,2019-2020,UGA_2019_UNPS_v03_M,1,1,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,not_promoted,0,raw_absent_blocks_promotion,acquire_official_raw_package,Download or manually place the complete unchanged official raw package and documentation.,"Open the official get-microdata URL, accept required World Bank terms, download the complete unchanged official package and documentation, then place all files under temp/raw_downloads/UGA_2019_UNPS_v03_M/. Verify with: Get-ChildItem -Recurse -File 'D:\GlobalHealthPolicy Dropbox\Fan Bowei\nh_staffing\climate_uhc_ml\temp\raw_downloads\UGA_2019_UNPS_v03_M'",python script/177_build_priority_lsms_isa_manual_download_progress_tracker.py; python script/198_build_priority_lsms_isa_local_raw_presence_audit.py; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M; python script/178_build_priority_lsms_isa_post_download_validation_runner.py --idno UGA_2019_UNPS_v03_M --execute,python script/173_build_priority_lsms_isa_promotion_gate_dashboard.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,109,39,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,blocked_no_data_write,blocked
