download_rank,country,wave,idno,scope_role,priority_country,sixth_country_candidate,local_target_folder,acquisition_route_decision,expected_core_file_rows,incoming_file_rows,route_status,top_incoming_relative_path,top_incoming_file_name,top_route_score,second_route_score,matched_expected_file_names,matched_core_file_names,copy_command_powershell,post_copy_validation_commands,next_action,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,download_required_priority_country_wave,1,0,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,browser_manual_terms_acceptance_required,36,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,download_required_priority_country_wave,1,0,temp/raw_downloads/ETH_2018_ESS_v04_M/,browser_manual_terms_acceptance_required,35,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,download_required_priority_country_wave,1,0,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,browser_manual_terms_acceptance_required,26,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,download_required_priority_country_wave,1,0,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,browser_manual_terms_acceptance_required,26,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,download_required_priority_country_wave,1,0,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,browser_manual_terms_acceptance_required,27,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,download_required_priority_country_wave,1,0,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,browser_manual_terms_acceptance_required,35,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,download_required_priority_country_wave,1,0,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,browser_manual_terms_acceptance_required,38,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,download_required_priority_country_wave,1,0,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,browser_manual_terms_acceptance_required,33,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,download_required_priority_country_wave,1,0,temp/raw_downloads/UGA_2019_UNPS_v03_M/,browser_manual_terms_acceptance_required,39,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,download_required_sixth_country_candidate,0,1,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,browser_manual_terms_acceptance_required,28,0,waiting_for_incoming_package,,,,,,,,,Place the complete unchanged official package in temp/raw_downloads/_incoming or the exact target folder.,blocked_no_data_write,blocked
