download_priority_order,queue_role,country,wave,idno,requirement,variable_decision_rows,mechanical_pass_rows,documentation_code_match_rows,documentation_label_match_rows,variables_with_value_labels,variables_with_nonmissing_values,possible_missing_code_variables,possible_skip_pattern_variables,detected_recall_periods,detected_units_or_scales,top_candidate_variables,mechanical_raw_check_decision,final_verification_decision,remaining_blocker,next_action
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,104,104,104,0,0,104,,,,,hhid,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,12,12,0,12,2,12,ea,wt_combined; wt_w1_w2_w3; wt_w1_w3; wt_w1v1; wt_w1v2; wt_w2_w3,,survey_weight,ea; hhweight; wt_combined; wt_w1_w2_w3; wt_w1_w3; wt_w1v1; wt_w1v2; wt_w2_w3,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,12,12,1,10,1,12,ea,,,local_currency_amount_needs_unit_confirmation,totcons; nfdfoth; fdfishpr; fdothpr; fdrestby; ea; hhid,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,6,6,0,6,5,6,s4aq20,s4aq20; s4aq13; s4aq35a; s4aq35b; s4aq35c,,local_currency_amount_needs_unit_confirmation,s4aq20; s4aq20b; s4aq13; s4aq35a; s4aq35b; s4aq35c,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,12,12,0,12,6,12,s4aq6a; s4aq6b; s4aq3b,s4aq16; s4aq17; s4aq6a; s4aq6b; s4aq3b,past_4_weeks,month,s3q9b; s4aq15; s4aq16; s4aq17; s4aq1; s4aq6a; s4aq6a_os; s4aq6b; s4aq6b_os; s4aq3; s4aq3b; s4aq3b_os,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,12,12,0,12,0,12,,saq14ah; saq14am; saq14bh; saq14bm; saq17ah; saq17am; saq17bh; saq17bm; saq20ah; saq20am,,,saq14ah; saq14am; saq14bh; saq14bm; saq17ah; saq17am; saq17bh; saq17bm; saq20ah; saq20am; saq20bh; saq20bm,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,122,122,2,21,48,122,ea; s1q31a,s1q31b; s1q31d; lga,,,ea; LAT_DD_MOD; LON_DD_MOD; s1q31a; s1q31b; s1q31c; s1q31d; lga,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_keys,16,16,0,5,0,16,,,,year,y2_hhid; hhid_2008; hhid,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_design,8,8,0,7,0,8,id_04,,,survey_weight,id_04; strataid; y2_weight,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income,4,4,0,4,2,4,itemcode,hh_l01_2; hh_l02,,year,hh_l01_2; hh_l02; itemcode; y2_hhid,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,8,8,0,8,1,8,,hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d29_1,,local_currency_amount_needs_unit_confirmation,hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d29_1,mechanical_raw_profile_plus_documentation_hits_needs_reviewer_acceptance,blocked_manual_acceptance_required,"reviewer must confirm raw file, variable, value labels, units, recall periods, missing codes, skip patterns, merge level, and outcome/climate role",Use the focused variable-decision rows and original PDF documentation to make a reviewer acceptance decision; rerun promotion packets after acceptance.
