artifact_group,relative_path,exists,bytes,rows,sha256,role,current_status
entry_reports,README.md,1,5700,82,de44706b9dc6e3ae267460dbcacc5eeb7b3527f730754c6e7c089664d7ef6bbc,GitHub repository entry point and current status,present_nonempty
entry_reports,report/WEB_GPT_START_HERE.md,1,11691,224,a0431a28100e501525eb03a8b18344da5c764d7b62a382e8ec53b3c9984ba09a,short Web GPT starting point,present_nonempty
entry_reports,report/README.md,1,19860,192,79c6679af11cd608da142c8cf21ac7a1d611cdd5fef54e58dceba73d47d10d0f,human entry point and reproduction instructions,present_nonempty
entry_reports,report/final_report.md,1,197483,3632,d8afc8aa1190fc9e84d0b3b628348564280355f7c4e91eb16e5479654f28714e,current empirical judgment,present_nonempty
entry_reports,report/source_audit.md,1,3951,43,28ce252443ee0470d91d50a9dcf709a92d6fd377a630113422cfe2ec686ddb9b,official-source verification,present_nonempty
entry_reports,report/objective_traceability_audit.md,1,66135,537,853d2111b5a820ece20d9c36561bdc29c46932d257503f149d7f58596726b465,objective-to-artifact evidence map,present_nonempty
entry_reports,report/workspace_validation.md,1,356,14,ffb6f4fb417d2d8ecee37dc9ab09e63d8e9202c8a275390b20ba50c27740c63d,workspace validation status,present_nonempty
entry_reports,report/empirical_readiness_dashboard.md,1,9714,101,b729db9f0b84dd3a4f22dde2b74d478c8967a7fb2a48aa938fd19c500f742872,consolidated empirical readiness narrative,present_nonempty
entry_reports,report/direct_read_audit_bundle.md,1,122251,1132,,single direct-read audit bundle,present_nonempty
dataset_promotion,report/country_wave_promotion_registry.md,1,16573,114,9b27e52c8846e548d89fa0504016fc76e6e922055c90da61a0c5965d5c03c8c8,dataset-promotion registry report and modeling gate,present_nonempty
dataset_promotion,result/promoted_country_wave_registry.csv,1,31235,19,ce62f0f4b8b5212c362d984beb06dbecac81d538069797e5a06fb5489dd8cb11,fail-closed country-wave promotion registry,present_nonempty
dataset_promotion,result/country_wave_promotion_gate_audit.csv,1,113421,361,eb087a17e04b0b2e2062a91c72b349371e19bc4335094c5540862dea5dede068,country-wave promotion gate audit,present_nonempty
dataset_promotion,result/country_wave_promotion_summary.csv,1,1940,19,c0e2d7f1be3af1971c19fc15404450d3538e9fbd53e016b271cf0ca95dacfc7f,country-wave promotion threshold summary,present_nonempty
dataset_promotion,result/priority_country_wave_download_queue.csv,1,7917,18,3f10468ba6ada7785494db5ce8a518c3b53c95fb8ca428e1ae2ef3d04e3477d5,priority-country raw package download and promotion queue,present_nonempty
dataset_promotion,report/priority_promotion_acquisition_plan.md,1,5320,82,08a78c75879a95f0b67efe7f199042d1277a4bcd30564d151695739c9b8801e3,priority-first raw acquisition and verification plan,present_nonempty
dataset_promotion,result/priority_promotion_acquisition_wave_plan.csv,1,18835,13,e31e58cdea5715c1aeafa550d0fda6d9d3285378decf8b2e27c0f1fdf5c6a3e1,priority 10-wave raw acquisition wave plan,present_nonempty
dataset_promotion,result/priority_promotion_acquisition_file_queue.csv,1,65214,156,8bf2ffc0ce24cb0c8ee9c6de105da5d1b06705599032a3d6bec295722ea0b24e,top core files/modules to verify after priority raw downloads,present_nonempty
dataset_promotion,result/priority_promotion_acquisition_summary.csv,1,964,9,871a3b4b62ef960f98b77caef60cdd08a01b165370a5004743c54dbd0f070553,priority acquisition plan summary,present_nonempty
dataset_promotion,report/priority_official_raw_access_probe.md,1,5146,66,67de24be04041e2ead9aaa45cb219e27685ab4552c13a3aa66245736216885ca,priority-batch official raw access probe report,present_nonempty
dataset_promotion,temp/priority_official_raw_access_probe.csv,1,29799,13,409bc2c2a943e18414c36657419c4a1d3ed74c317a292b963d5717924f5fbd8d,priority-batch official raw access probe rows,present_nonempty
dataset_promotion,result/priority_official_raw_access_summary.csv,1,907,9,5797739273219389fe5d042d6d63e22cd3dfb680f389e8d6e754f8dec6cbce29,priority-batch official raw access summary,present_nonempty
dataset_promotion,report/priority_raw_intake_gate.md,1,8812,87,fb8a85cf70e985a52774c2c73337a0ca66574c675c654797027e6e03880123f7,priority raw package intake gate report,present_nonempty
dataset_promotion,temp/priority_raw_intake_gate.csv,1,18599,13,572ce45ab8ef26b8b3e83e6384d7aad1773ddddb578eba47f48c3a74d55441ca,priority raw package intake gate rows,present_nonempty
dataset_promotion,temp/priority_raw_file_targets.csv,1,77404,156,98eb70751dc0c68411b3f5f9a30807d6c4fa68f370e3c77e69627e8d42000944,priority raw file target gate rows,present_nonempty
dataset_promotion,result/priority_raw_intake_gate_summary.csv,1,1068,10,f720f8a0106ae8409777a988c74561c15ea3f8625c5e0133326b9b15870509ac,priority raw package intake gate summary,present_nonempty
dataset_promotion,report/priority_archive_member_preflight.md,1,8883,89,a0cd8e9b2ec1cdaf7e214fafab597183e07d15c55b330bd0941344239262e2db,priority archive/direct-file completeness preflight report,present_nonempty
dataset_promotion,temp/priority_archive_member_inventory.csv,1,225,0,510f6a8566533c8d9102b2896f5939835fd716bd25f80c79e578e80fdd4800d4,priority archive member inventory,present_nonempty
dataset_promotion,temp/priority_archive_completeness_matrix.csv,1,29929,156,aef2d64bba46a3d49968730710d84ed21a4a223eada8d4f82312b83fcd8c2c97,priority direct/archive file target completeness matrix,present_nonempty
dataset_promotion,result/priority_archive_member_preflight_summary.csv,1,1229,11,7801e68d91dae2e1280222d4c049b0d30ce7b95d10353e5332b9a358518417a7,priority archive member preflight summary,present_nonempty
dataset_promotion,report/priority_climate_linkage_preflight.md,1,11417,89,e9e33235ee5727816a7389fb595dd148b4a0512fa79a3ff790624f479a96430e,priority climate linkage preflight report,present_nonempty
dataset_promotion,temp/priority_climate_linkage_preflight.csv,1,19244,13,f7ff9512094be46b62e8917ac65d1aedb6b8cb0470f0d3372700811125feecb3,priority climate linkage preflight rows,present_nonempty
dataset_promotion,temp/priority_climate_linkage_requirements.csv,1,83517,143,a119a952686f5b647f75ecbce85f0ac0c310d9ce9dfae20d33ca91bad45ede6a,priority climate linkage requirement rows,present_nonempty
dataset_promotion,result/priority_climate_linkage_preflight_summary.csv,1,1521,12,8ef10c4f037e985a230349604b632be767e21cd8ce3cba887b11f77e056baa85,priority climate linkage preflight summary,present_nonempty
dataset_promotion,report/priority_raw_verification_workbook.md,1,12908,124,e52647a0ccc4038e3c95562b09e9c8417902395688edae9dc0bd93c27460205c,priority raw verification workbook report,present_nonempty
dataset_promotion,result/priority_dataset_verification_gate.csv,1,8542,13,00085ae515d1684418c6af261b9ed8cee722f5de0606bad1f04fafb840e39f08,priority dataset verification gate rows,present_nonempty
dataset_promotion,temp/priority_promotion_verification_checklist.csv,1,47182,104,96a78eb5e6475e578c0bb5d10e5aa90368feb1f0e1ac22e7929cbad44185507d,priority objective-aligned verification checklist,present_nonempty
dataset_promotion,temp/priority_concept_verification_template.csv,1,98744,169,dd031a652fb63b0ad66b5c3362b59d898b3ffe10b2edf9fda24c75433a6316a2,priority concept-level raw verification template,present_nonempty
dataset_promotion,temp/priority_variable_verification_template.csv,1,741332,1214,073ccb6f6284a87d5aa026b24e16f91794f29b16e278f18ce3ceed3e508d2f71,priority variable-level raw verification template,present_nonempty
dataset_promotion,result/priority_raw_verification_workbook_summary.csv,1,1823,19,4fdf0bd2d875f464d8c36da2291a1b950f465d8183ee4719113d3cdcfd3e3f2e,priority raw verification workbook summary,present_nonempty
dataset_promotion,report/priority_manual_verification_decision_gate.md,1,4445,59,504b4b57d0444c14d764ca2978d16da6aed299f59390aa5418391f2c9d8cddc2,priority manual verification decision gate report,present_nonempty
dataset_promotion,temp/priority_manual_verification_decision_gate.csv,1,9339,13,ec797594ea83baa1f13df35563f8952984ec8d7d3e8f08cd0923c4e0cff57714,priority dataset manual verification decision rows,present_nonempty
dataset_promotion,temp/priority_manual_requirement_decision_audit.csv,1,37606,104,29bf5342da00e2d8f194cf0840dc6cb6872fde49e694ef2d85641e4b35e9d331,priority requirement manual verification audit rows,present_nonempty
dataset_promotion,temp/priority_manual_concept_decision_audit.csv,1,59534,169,c3c2ad2454205dd4738deea68674b72c3bda288bd63d2f6fc176bc4a170ef63e,priority concept manual verification audit rows,present_nonempty
dataset_promotion,temp/priority_manual_variable_decision_audit.csv,1,513199,1214,7561905874befa591003aaf80386ff4fb9979c1dc54d146558ab6f245c6010b3,priority variable manual verification audit rows,present_nonempty
dataset_promotion,result/priority_manual_verification_decision_summary.csv,1,1710,16,5039453988155ce37e734f3ada71ae5fdf2180e73c7c567fe005421ea9b691d1,priority manual verification decision summary,present_nonempty
dataset_promotion,report/priority_raw_package_receipt_ledger.md,1,4532,58,307b0df7792b183c1d7c537bf81cc57e56bad2cf596e86fa5ced29afa8dc2c83,priority raw package receipt ledger report,present_nonempty
dataset_promotion,temp/priority_raw_package_receipt_ledger.csv,1,20862,13,ff7964928aada46f7798c473bc45e8d995b381cdb579cedeb3709e712499c543,priority dataset-level raw package receipt ledger,present_nonempty
dataset_promotion,temp/priority_raw_package_file_manifest.csv,1,136,0,3f8fda5ccdee92e25f1662f63bedeb890ae37e19517527ad69727c584ad188f2,priority original package/file checksum manifest,present_nonempty
dataset_promotion,temp/priority_raw_package_missing_targets.csv,1,29574,156,ffc8f7816cec15881691b87e5d15ab51b802e842b54797f5784946f89c921325,priority raw package missing target rows,present_nonempty
dataset_promotion,result/priority_raw_package_receipt_summary.csv,1,1837,16,627a1c68e7a7fadfff8ae9a209dfb38549fc9bc0742738abb170d3f0abfd236a,priority raw package receipt summary,present_nonempty
dataset_promotion,report/priority_official_download_dossier.md,1,4130,54,d35ca5998a508d72cfbd5f7c0e5150c58eb14670d11b61280e43e6cf1cc59c3c,priority official download dossier report,present_nonempty
dataset_promotion,temp/priority_official_download_dossier.csv,1,23208,13,b35264e390375b8a0f290ed937dbfa72387a08e43e2f2d2f530eab94e2de615d,priority dataset-level official download dossier,present_nonempty
dataset_promotion,temp/priority_official_full_file_inventory.csv,1,465787,965,c52b960a277244648daf9e6804ba46defb01d2f76882a099d07c954cf8379ee8,priority full official metadata file inventory,present_nonempty
dataset_promotion,temp/priority_official_documentation_links.csv,1,29277,100,343c90e8a80168b4830cb00482767793a3120654d9a11ce3cef27dff2ba03492,priority official documentation and access workflow links,present_nonempty
dataset_promotion,result/priority_official_download_dossier_summary.csv,1,1285,12,71051bf7f977ead865e48255170b1eb8320662a790dc4f3d80f5655e8bf884cd,priority official download dossier summary,present_nonempty
dataset_promotion,report/priority_public_documentation_receipt.md,1,5642,69,865c29496fa402e59e81498512eb0a9feb2256d84bfba2474b1ad2a5f74dd447,priority public documentation receipt report,present_nonempty
dataset_promotion,temp/priority_public_documentation_receipt.csv,1,76183,78,1afa360f6844a59ce1fd4feebff050c538d0352126dc7be62446fa4a76c0ffd7,priority public documentation resource receipt,present_nonempty
dataset_promotion,temp/priority_public_documentation_dataset_receipt.csv,1,4320,13,f20ce29c311c0813f20c51b6cac16671088b9861a58260578c6eb6bcc000dc91,priority dataset-level public documentation receipt,present_nonempty
dataset_promotion,result/priority_public_documentation_receipt_summary.csv,1,2714,22,a9fa2c363b8bb8b18870ca2439bb3b45c75410b5ba9b7fc045a698458d3cbc84,priority public documentation receipt summary,present_nonempty
dataset_promotion,report/priority_official_metadata_evidence_extract.md,1,5833,82,3c89d06929406c06e690728d61cd8fe166efe921776d92b37e87f395c2b05e4a,priority official DDI/XML metadata evidence report,present_nonempty
dataset_promotion,temp/priority_official_metadata_variable_evidence.csv,1,953039,1214,d14eb653cb7ffe6490c6d47e258ba51571e04e7a515bcb8fa9493b4ce25421af,priority official metadata candidate-variable evidence,present_nonempty
dataset_promotion,temp/priority_official_metadata_category_evidence.csv,1,687401,4512,a830f443c1fcf4ff23707e27674e8fc87ac0fd4c2508bc9a59aee3d47cb62ae4,priority official metadata category/value-label evidence,present_nonempty
dataset_promotion,temp/priority_official_metadata_dataset_evidence.csv,1,5667,13,fa096ac45445269286d44a13804d63452331e66d8d07e09bd553d18a03aede7b,priority official metadata dataset-level evidence,present_nonempty
dataset_promotion,result/priority_official_metadata_evidence_summary.csv,1,2242,18,44c93dbce34b2966ec6e306fe72fd9ae995d540d871cc356041854ae248a14a3,priority official metadata evidence summary,present_nonempty
dataset_promotion,report/priority_credentialed_raw_acquisition_ledger.md,1,14588,93,552da2fe1d01d413ba8116d3df1c829dcecf386ee02b3a70b438a7f806a9b43c,priority credentialed raw acquisition ledger report,present_nonempty
dataset_promotion,temp/priority_credentialed_raw_acquisition_ledger.csv,1,23947,13,c7743ad4d110d158cc5f71323aa720946a661715a6df5a20fe796625ce5195a3,priority credentialed raw acquisition dataset ledger,present_nonempty
dataset_promotion,temp/priority_credentialed_raw_full_file_manifest.csv,1,508566,965,9d3988f1e120ead61b23f60ad1d82bddb4c7deb1c8c0eea54f0e54e18ec4e844,priority credentialed raw full official file manifest,present_nonempty
