acquisition_batch_rank,batch_role,country,wave,idno,file_rank,file_name,module_priority_role,candidate_categories,candidate_harmonized_variables,candidate_variable_count,candidate_raw_variables_examples,download_priority_reason
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,1,sect8_3_ls_w5.dta,core_main_sample_module_candidate,geography;health_expenditure;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_sought;hhid;household_weight_or_person_weight;oop_health_expenditure;psu_or_cluster_id;rural;shock_module_variable;strata,94,ls_s8_3q04;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;ls_s8_3q12_2;ls_s8_3q14;ls_s8_3q17_1;ls_s8_3q17_10;ls_s8_3q17_11;ls_s8_3q17_2,OOP spending; need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,2,sect11_ph_w5.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural,59,s11q16;s11q17;s11q17b;saq01;saq14;ea_id;pw_w5;saq07;saq08;harvestedcrop_id;s11q00a;s11q01b,need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,3,sect3_pp_w5.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;hhid;household_weight_or_person_weight;latitude_or_longitude;psu_or_cluster_id;reason_not_sought_distance;rural,48,s3q31e2;s3q08;s3q09__Accuracy;s3q09__Altitude;s3q09__Latitude;s3q09__Longitude;s3q09__Timestamp;s3q37;saq01;saq14;ea_id;pw_w5,need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,4,sect06_com_w5.dta,core_main_sample_module_candidate,geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;coping_borrowed;psu_or_cluster_id;reason_not_sought_distance;rural;shock_module_variable,44,cs6q09;saq01;saq14;ea_id;saq07;cs6q01;cs6q02_1;cs6q02_2;cs6q02_3;cs6q03_1;cs6q03_2;cs6q03_3,need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,5,sect04_com_w5.dta,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;asset_index_or_asset_variable;care_sought;psu_or_cluster_id;reason_not_sought_distance;rural;sex;shock_module_variable,42,cs4q04__0;cs4q04__1;cs4q04__10;cs4q04__11;cs4q04__12;cs4q04__13;cs4q04__2;cs4q04__3;cs4q04__4;cs4q04__5;cs4q04__6;cs4q04__7,need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6,sect4_pp_w5.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,39,saq01;saq14;ea_id;pw_w5;saq07;saq08;crop_id;s4q01a;s4q01b;s4q02;s4q03;s4q04,climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,7,sect9_ph_w5.dta,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;rural;shock_module_variable,36,saq01;saq14;ea_id;pw_w5;saq07;saq08;crop_id;s9q00b;s9q01;s9q02;s9q03;s9q04,climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,8,sect8_2_ls_w5.dta,core_main_sample_module_candidate,consumption;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_distance;rural;total_consumption_or_income,32,ls_s8_2q14;ls_s8_2q18;ls_s8_2q19;ls_s8_2q20;saq01;saq14;ea_id;pw_w5;saq07;saq08;ls_code;ls_s8_2q01,financial denominator; need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,9,sect3_hh_w5.dta,core_main_sample_module_candidate,demographics;geography;health_expenditure;health_need_access;survey_design,admin1_or_admin2;age;care_not_sought_reason;care_sought;health_insurance;hhid;household_weight_or_person_weight;illness_or_injury_need;oop_health_expenditure;pid;psu_or_cluster_id;reason_not_sought_distance;rural,31,s3q18;s3q19;s3q05;s3q06_1;s3q06_2;s3q06_os;s3q07;s3q09a;s3q09b;s3q10a;s3q10a;s3q10b,OOP spending; need/access; climate geography; weights/design/keys
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,10,sect7_pp_w5.dta,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;care_not_sought_reason;coping_borrowed;education;household_weight_or_person_weight;psu_or_cluster_id,28,s7q03;s7q05;s7q08;saq01;ea_id;pw_w5;s7q37;saq07;s7q41;s7q42;s7q01;s7q02,need/access; climate geography; weights/design/keys
