metric,value,interpretation
credentialed_download_handoff_mode,dry_run,Runner mode for this invocation.
credentialed_download_handoff_rows,10,Minimum-batch credentialed download handoff rows.
credentialed_download_handoff_cookie_file_present,0,Whether temp/private/worldbank_session_cookies.txt exists and was loaded.
credentialed_download_handoff_header_file_present,0,Whether temp/private/worldbank_session_headers.txt exists and was loaded.
credentialed_download_handoff_request_attempted_rows,0,Rows where the credentialed download URL was requested.
credentialed_download_handoff_raw_payload_detected_rows,0,Rows where response headers looked like a raw downloadable payload.
credentialed_download_handoff_saved_raw_file_rows,0,Rows where --execute saved a raw payload into the target folder.
credentialed_download_handoff_missing_session_rows,10,Rows blocked because no local World Bank session file was present.
credentialed_download_handoff_access_gate_rows,0,Rows where World Bank still returned login/terms HTML.
data_write_gate_status,blocked_no_data_write,Credentialed download handoff never writes promoted analysis data.
modeling_gate_status,blocked,"No predictive, reduced-form, causal ML, or policy learning until registry thresholds pass."
credentialed_download_handoff_status_blocked_missing_worldbank_session,10,Handoff row count by response classification.
