metric,value,interpretation
priority_lsms_minimum_batch_country_wave_rows,11,Minimum batch country-waves requiring complete official raw package intake.
priority_lsms_minimum_batch_country_rows,6,Countries represented in the minimum threshold batch.
priority_lsms_minimum_batch_expected_full_file_rows,890,Official DDI file rows expected across the minimum batch.
priority_lsms_minimum_batch_matched_full_file_rows,52,Expected full official files currently matched locally.
priority_lsms_minimum_batch_missing_full_file_rows,838,Expected full official files still missing locally.
priority_lsms_minimum_batch_expected_core_file_rows,360,Core requirement-linked official files expected across the minimum batch.
priority_lsms_minimum_batch_matched_core_file_rows,37,Core requirement-linked official files currently matched locally.
priority_lsms_minimum_batch_missing_core_file_rows,323,Core requirement-linked official files still missing locally.
priority_lsms_minimum_batch_expected_manifest_rows,890,Rows written to the minimum-batch expected full-file manifest.
priority_lsms_minimum_batch_core_manifest_rows,360,Rows written to the minimum-batch core-file manifest.
priority_lsms_minimum_batch_handoff_readmes_written,11,Per-wave raw intake guides written under temp/raw_downloads.
priority_lsms_minimum_batch_data_write_status,blocked_no_value_verified_raw_packages,The minimum-batch intake guide never writes promoted data.
modeling_gate_status,blocked,"Models remain blocked until 6 countries, 10 country-waves, and accepted CHIRPS/ERA5 linkage are value-verified."
priority_lsms_minimum_batch_receipt_status_blocked_no_original_package,10,Minimum batch rows by current official file receipt status.
priority_lsms_minimum_batch_receipt_status_official_file_receipt_complete_pending_schema_value_review,1,Minimum batch rows by current official file receipt status.
