section,item,status,value,evidence_artifacts,interpretation
state,allowed_claim_boundary,raw_schema_claims_only_no_analysis_dataset_claims,raw_file_inventory_rows=209; raw_variable_catalog_rows=5410,report/final_report.md;result/empirical_readiness_dashboard.csv,"The workspace can support raw schema and variable-label claims for inspected files only; it still cannot support harmonized-data, outcome, climate-linkage, model, mechanism, causal, or policy-value claims."
state,raw_microdata_gate,raw_schema_inspected_harmonization_pending,raw_file_inventory_rows=209; raw_variable_catalog_rows=5410,temp/raw_schema_inventory/raw_file_inventory.csv;temp/raw_schema_inventory/raw_variable_catalog.csv,"Raw files have been schema-inspected, but harmonization still requires verified raw values, units, recall periods, missing codes, and merge keys."
state,analysis_ready_data,not_available,data_files=1; csv_rows=0,data,"No clean analysis-ready household, outcome, climate-exposure, or climate-linked dataset is available."
coverage,source_inventory,complete,141,temp/source_inventory.csv,Official/public source inventory rows.
coverage,country_wave_screening,complete,1088,temp/country_wave_screening.csv,Broad country-wave screening rows before final sample selection.
coverage,manual_download_manifest,complete,37,temp/manual_download_manifest.csv,"Raw-data sources requiring login, terms acceptance, or manual download."
coverage,first_batch_raw_acquisition,manual_download_required,datasets=10; countries=7; file_targets=183,temp/first_batch_raw_acquisition_checklist.csv;temp/first_batch_raw_file_targets.csv;result/first_batch_raw_acquisition_summary.csv;report/first_batch_raw_acquisition_checklist.md,Smallest current manual download batch for testing the 6-country financial-protection and 10-wave double-failure gates.
raw_acquisition_gate,first_batch_current_raw_files,blocked_raw_microdata,raw_tabular=0; archives=1,result/first_batch_raw_acquisition_summary.csv,First-batch folders currently contain no raw tabular/archive evidence sufficient to start raw schema inspection.
raw_access_gate,first_batch_official_raw_access_probe,manual_review_required,probe_rows=10; access_gate_rows=10; possible_direct_rows=0,temp/first_batch_official_raw_access_probe.csv;result/first_batch_official_raw_access_summary.csv;report/first_batch_official_raw_access_probe.md,"Official get-microdata page probe; does not download raw files or bypass login, registration, request, or terms gates."
priority_bundle,priority_raw_intake_gate,manual_raw_package_required,gate_rows=13; priority_10_rows=10; backup_rows=3; file_targets=156; manual_blocked=13; schema_ready=0; handoffs=13,temp/priority_raw_intake_gate.csv;temp/priority_raw_file_targets.csv;result/priority_raw_intake_gate_summary.csv;report/priority_raw_intake_gate.md,Priority 10-wave and backup raw-intake gate converts the acquisition plan into per-folder handoff files and fail-closed post-download promotion checks.
priority_bundle,priority_archive_member_preflight,blocked_no_raw_or_archive_file,datasets=13; targets=156; archives=0; members=0; direct_covered=0; archive_covered=0; missing=156,temp/priority_archive_member_inventory.csv;temp/priority_archive_completeness_matrix.csv;result/priority_archive_member_preflight_summary.csv;report/priority_archive_member_preflight.md,Archive/direct-file preflight checks whether placed raw archives or tabular files cover priority modules before any raw value verification or data promotion.
priority_bundle,priority_climate_linkage_preflight,blocked_raw_timing_geography_not_verified,preflight_rows=13; priority_10_rows=10; backup_rows=3; requirements=143; source_ready=13; accepted_routes=0; handoffs=13,temp/priority_climate_linkage_preflight.csv;temp/priority_climate_linkage_requirements.csv;result/priority_climate_linkage_preflight_summary.csv;report/priority_climate_linkage_preflight.md,"Priority climate preflight keeps CHIRPS/ERA5 linkage fail-closed until raw timing/geography, geolocation quality, units, lag windows, and source validation pass."
priority_bundle,priority_raw_verification_workbook,blocked_raw_files_absent,dataset_gates=13; requirements=104; concepts=169; variables=1214; dataset_ready=0; requirements_ready=0; handoffs=13,result/priority_dataset_verification_gate.csv;temp/priority_promotion_verification_checklist.csv;temp/priority_concept_verification_template.csv;temp/priority_variable_verification_template.csv;result/priority_raw_verification_workbook_summary.csv;report/priority_raw_verification_workbook.md,"Priority raw verification workbook converts the objective's required checks into fillable dataset, requirement, concept, and variable gates; all remain fail-closed until raw evidence is placed and audited."
priority_bundle,priority_manual_verification_decision_gate,blocked_manual_verification_incomplete,datasets=13; requirements=104; concepts=169; variables=1214; requirements_verified=0; concepts_verified=0; variables_verified=0; financial_ready_countries=0; double_failure_ready_waves=0; analysis_ready=0,temp/priority_manual_verification_decision_gate.csv;temp/priority_manual_requirement_decision_audit.csv;temp/priority_manual_concept_decision_audit.csv;temp/priority_manual_variable_decision_audit.csv;result/priority_manual_verification_decision_summary.csv;report/priority_manual_verification_decision_gate.md,"Priority manual verification decision gate consumes preserved fill-field evidence from the workbook and blocks promotion until source-backed manual requirement, concept, and variable checks pass."
