metric,value,interpretation
alb2002_linked_candidate_descriptive_input_rows,14396,Input temp-only household-window rows screened.
alb2002_linked_candidate_descriptive_household_rows,3599,Deduplicated households used for household-level candidate outcome rates.
alb2002_linked_candidate_descriptive_window_rows,4,Diagnostic exposure windows represented.
alb2002_linked_candidate_descriptive_audit_rows,7,Audit rows for temp-only descriptive screen guardrails.
alb2002_linked_candidate_descriptive_cell_rows,108,Readable diagnostic cell rows written.
alb2002_linked_candidate_descriptive_household_outcome_cell_rows,4,Overall deduplicated-household candidate outcome cells.
alb2002_linked_candidate_descriptive_subgroup_outcome_cell_rows,24,Subgroup candidate outcome cells.
alb2002_linked_candidate_descriptive_climate_flag_cell_rows,16,Window-specific diagnostic climate flag cells.
alb2002_linked_candidate_descriptive_outcome_by_climate_flag_cell_rows,64,Candidate outcome-by-diagnostic-climate-flag cells.
alb2002_linked_candidate_descriptive_che10_or_access_households,2004,Deduplicated households with CHE10-or-access candidate flag.
alb2002_linked_candidate_descriptive_che25_or_access_households,1889,Deduplicated households with CHE25-or-access candidate flag.
alb2002_linked_candidate_descriptive_both_che10_access_households,681,Deduplicated households with both CHE10 and access candidate flag.
alb2002_linked_candidate_descriptive_coping_households,1476,Deduplicated households with health-cost coping candidate flag.
alb2002_linked_candidate_descriptive_low_rain_rows,1008,Long rows with diagnostic low-rain flag.
alb2002_linked_candidate_descriptive_extreme_wet_rows,1398,Long rows with diagnostic extreme-wet flag.
alb2002_linked_candidate_descriptive_extreme_heat_rows,1694,Long rows with diagnostic extreme-heat flag.
alb2002_linked_candidate_descriptive_combined_stress_rows,3092,Long rows with any diagnostic combined-stress flag.
alb2002_linked_candidate_descriptive_climate_linkage_ready_rows,0,Rows ready for promoted climate linkage; should remain zero.
alb2002_linked_candidate_descriptive_outcome_promotion_ready_rows,0,Rows ready for promoted outcomes; should remain zero.
alb2002_linked_candidate_descriptive_harmonized_recipe_ready_rows,0,Rows ready for harmonized recipe promotion; should remain zero.
alb2002_linked_candidate_descriptive_data_write_ready_rows,0,Rows allowed to be written to data/; should remain zero.
alb2002_linked_candidate_descriptive_source_linked_decision,blocked_alb2002_climate_outcome_linked_candidate_not_promoted_due_recipe_outcome_geography_source_baseline_gates,Upstream linked-candidate decision consumed.
alb2002_linked_candidate_descriptive_current_decision,blocked_alb2002_linked_candidate_descriptive_screen_not_promoted_due_unpromoted_inputs,Current temp-only descriptive screen decision.
