guardrail_id,guardrail,status,evidence,evidence_artifacts,gap
no_raw_in_data,Do not put raw files in data/.,satisfied,raw-like files in data=0,data,
no_messy_report_files,Do not put machine-readable logs or tables in report/.,satisfied,messy report files=0,report,
no_false_analysis_ready_data,Do not create outcome-ready or climate-linked datasets while upstream gates are blocked; limited core/outcome/exposure/linked files must stay marked as non-final.,satisfied,harmonized=True; limited_harmonized_ok=True; climate_exposure=True; limited_climate_ok=True; outcomes=True; limited_outcome_ok=True; climate_linked=True; limited_linked_ok=True; raw files=209,data/harmonized_household.csv;data/climate_exposures_nasa_power.csv;data/household_outcomes.csv;data/climate_linked_household.csv,
no_causal_overclaim,"Do not call climate estimates causal unless placebo, seasonality, geography, and timing checks support the design.",satisfied,final report preserves no-go language for SDG/access/climate/modeling,report/final_report.md;report/identification_audit.md,
causal_ml_after_identification,Do not use causal ML to compensate for weak identification.,satisfied,rejected_designs and modeling_report reject premature causal ML/policy learning,temp/rejected_designs.md;report/modeling_report.md;result/policy_learning_plan.csv,
no_post_treatment_mechanism_controls,Do not use post-shock mechanism variables as controls in the main climate-effect model.,satisfied,mechanism requirement rows=1449; mechanism readiness rows=161; mechanism ready rows=0,report/mechanism_analysis_protocol.md;temp/mechanism_variable_requirements.csv;result/mechanism_readiness_matrix.csv,
sdg382_denominator_guard,Do not treat SDG 3.8.2 as fully constructed unless the discretionary-budget denominator is correct.,satisfied,outcome reports keep SDG 3.8.2 denominator guarded; denominator requirement rows=207; ready rows=0,report/manual_data_access_guide.md;report/outcome_denominator_plan.md;report/sdg382_denominator_audit_plan.md;temp/outcome_denominator_plan.csv;temp/sdg382_denominator_requirements.csv,
no_final_sample_before_raw,Do not select final countries until inventory and raw/variable screening support it.,satisfied,screening rows=1088; raw-final candidates=0,temp/country_wave_screening.csv;result/sample_selection_gate_audit.csv,
manual_download_only_for_gated_sources,"If raw data cannot be auto-downloaded, use manual manifests and continue metadata auditing.",satisfied,manual manifest rows=37; metadata priority rows=28; intake targets=37; raw-like files=4,temp/manual_download_manifest.csv;temp/metadata_quality_download_priority.csv;temp/raw_download_intake_manifest.csv;report/manual_data_access_guide.md,
raw_lineage_before_harmonization,Never overwrite original variables; keep raw variable lineage before harmonization.,satisfied,raw variables=5410; harmonization audit rows=5; verification protocol rows=2571; scaffold rows=1204; verified candidate rows=0,temp/raw_schema_inventory/raw_variable_catalog.csv;temp/harmonized_lineage.csv;temp/harmonization_audit.csv;temp/raw_variable_verification_protocol.csv;temp/harmonization_recipe_scaffold.csv;temp/harmonization_recipe_verified_candidates.csv,
no_scaffold_to_recipe_shortcut,Do not create a harmonization recipe from metadata scaffold rows before raw value audits pass.,satisfied,harmonization_recipe.csv exists=False; verified candidate rows=0; recipe gate rows=1204,temp/harmonization_recipe_scaffold.csv;temp/harmonization_recipe_gate.csv;temp/harmonization_recipe_verified_candidates.csv;temp/harmonization_recipe.csv,
climate_linkage_before_claims,Never claim climate exposure construction without verified timing/geography and climate-linkage diagnostics.,satisfied,climate exposure rows=384; limited climate marker=1; limited climate rows=384; climate-linked rows=14396; limited linked rows=14396; limited linked marker=1; climate-linkage-ready rows=0; limited linked final-analysis-ready rows=0,data/climate_exposures_nasa_power.csv;data/climate_linked_household.csv;result/climate_linkage_readiness.csv;report/climate_validation_protocol.md,
