metric,value,interpretation
country_wave,MWI_2004_IHS-II_v01_M,Country-wave covered by this promoted household-climate synthesis.
analysis_ready_status,promoted_analysis_ready,Promotion status after household financial/access/climate synthesis validation.
promoted_rows,11280,Household rows in the promoted analysis-ready dataset.
data_path,data/mwi2004_household_climate_analysis.csv,Local promoted dataset path; raw/household-level data may remain local for publication control.
data_sha256,bef48328a2953c1400edd0deaf27d01bf95da2ab50bdf303e06aa138cddd3d45,SHA-256 of the local promoted household-climate dataset.
data_bytes,3155221,Size of the local promoted household-climate dataset.
financial_rows,11280,Rows from the verified financial-protection household universe.
che10_rows,208,Households with CHE10 total-budget financial hardship.
che25_rows,17,Households with CHE25 total-budget financial hardship.
sdg382_ready,0,SDG 3.8.2 remains blocked by discretionary-budget/societal-poverty-line policy.
health_person_rows_matched,51286,Roster-matched health-module person rows aggregated to households.
acute_need_persons,14143,Roster-matched acute need persons in promoted households.
cost_barrier_forgone_care_persons,631,Acute-need persons with no-money forgone care.
households_any_acute_need,7749,Households with at least one acute-need person.
households_any_cost_barrier_forgone_care,519,Households with at least one cost-barrier forgone-care person.
uhc_failure_che10_or_cost_barrier_rows,721,Households with CHE10 or cost-barrier forgone care.
uhc_failure_che25_or_cost_barrier_rows,534,Households with CHE25 or cost-barrier forgone care.
both_che10_and_cost_barrier_rows,6,Households with both CHE10 and cost-barrier forgone care.
both_che25_and_cost_barrier_rows,2,Households with both CHE25 and cost-barrier forgone care.
climate_exposure_complete_rows,11280,Household rows with complete CHIRPS 1/3/6/12 month exposure windows.
adm2_districts_linked,26,Matched ADM2 districts represented in the promoted household dataset.
validation_pass_rows,12,Promotion validation checks passing.
validation_fail_rows,0,Promotion validation checks failing.
upstream_financial_che10_che25_ready,1,Financial input gate consumed by this synthesis.
upstream_access_cost_barrier_ready,1,Access input gate consumed by this synthesis.
upstream_missing_units_recall_skip_ready,1,Missing/unit/recall/skip gate consumed by this synthesis.
upstream_climate_chirps_admin2_ready,1,CHIRPS ADM2 extraction gate consumed by this synthesis.
data_write_gate_status,open_promoted_dataset_written,Controlled data/ write gate outcome for this synthesis.
modeling_gate_status,blocked,"No predictive ML, reduced-form, causal ML, or policy learning is opened by one promoted country-wave."
