intake_rank,country,wave,idno,locked_download_target,external_candidate_folder,document_file_name,document_relative_path,document_extension,document_bytes,document_evidence_role
10,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2004,IHS-2 HH questionnaire final draft.pdf,IHS-2 HH questionnaire final draft.pdf,.pdf,470617,questionnaire_or_household_interview_document
10,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2015,PH_W3_Household_Quest.pdf,PH_W3_Household_Quest.pdf,.pdf,1850071,questionnaire_or_household_interview_document
10,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2015,PP_W3_Household_Quest.pdf,PP_W3_Household_Quest.pdf,.pdf,1594221,questionnaire_or_household_interview_document
10,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_10,NPS_Household_Qx_English_Year_2.pdf,NPS_Household_Qx_English_Year_2.pdf,.pdf,1121873,questionnaire_or_household_interview_document
10,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_12,NPS_Household_Qx_Y3_Final_English.pdf,NPS_Household_Qx_Y3_Final_English.pdf,.pdf,2163777,questionnaire_or_household_interview_document
10,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_12,NPS_Wave_3 _Final _Report.pdf,NPS_Wave_3 _Final _Report.pdf,.pdf,1893792,other_documentation
30,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,GHS_PANEL_HOUSEHOLD_POST_HARVEST_FINAL.pdf,NGA_2010_GHSP_v02_M_STATA\GHS_PANEL_HOUSEHOLD_POST_HARVEST_FINAL.pdf,.pdf,577427,questionnaire_or_household_interview_document
30,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,Panel_Household_Questionnaire_FINAL.pdf,NGA_2010_GHSP_v02_M_STATA\Panel_Household_Questionnaire_FINAL.pdf,.pdf,440831,questionnaire_or_household_interview_document
30,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,PostHarvesQuestionnaire.pdf,PostHarvesQuestionnaire.pdf,.pdf,625255,questionnaire_or_household_interview_document
30,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2010,PostPLantingQuestionnaire.pdf,PostPLantingQuestionnaire.pdf,.pdf,440831,questionnaire_or_household_interview_document
30,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2012,AGHS_Panel_PP_Household.pdf,AGHS_Panel_PP_Household.pdf,.pdf,1847212,questionnaire_or_household_interview_document
30,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\nigeria_2012,AW2_PH_HH_Questionnaire.pdf,AW2_PH_HH_Questionnaire.pdf,.pdf,2486843,questionnaire_or_household_interview_document
30,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,1,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\tanzania_NPS_08_10_12_14\NPS_08,TZNPS_Geovariables_Y1.pdf,TZNPS_Geovariables_Y1.pdf,.pdf,452209,other_documentation
60,Malawi,2010-2011,MWI_2010_IHS-III_v01_M,0,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2010,IHS3.Household.Qx.FINAL.pdf,IHS3.Household.Qx.FINAL.pdf,.pdf,1138439,questionnaire_or_household_interview_document
60,Malawi,2016-2017,MWI_2016_IHS-IV_v04_M,0,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\malawi_2016,fourth_integrated_household_survey_2016_2017_household_questionnaire.pdf,fourth_integrated_household_survey_2016_2017_household_questionnaire.pdf,.pdf,1517936,questionnaire_or_household_interview_document
60,Uganda,2011-2012,UGA_2011_UNPS_v02_M,0,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\uganda_2011,Note_Consumption_Aggregate.txt,Note_Consumption_Aggregate.txt,.txt,376,other_documentation
60,Uganda,2011-2012,UGA_2011_UNPS_v02_M,0,D:\GlobalHealthPolicy Dropbox\Fan Bowei\HEALTH EXPENDITURE MEASUREMENT\HEALTH VS CONSUMPTION\Data\uganda_2011,Uganda2011-12HouseholdQuestionnaire.pdf,Uganda2011-12HouseholdQuestionnaire.pdf,.pdf,1497477,questionnaire_or_household_interview_document
