metric,value,interpretation
priority_climate_preflight_rows,13,Priority acquisition and backup waves with climate-linkage preflight rows.
priority_climate_preflight_priority_10_rows,10,Immediate priority waves covered by climate preflight.
priority_climate_preflight_priority_10_countries,5,Priority countries covered by climate preflight.
priority_climate_preflight_backup_rows,3,Sixth-country backup rows covered by climate preflight.
priority_climate_requirement_rows,143,Filtered climate linkage requirement rows for priority acquisition waves.
priority_chirps_era5_source_route_ready_rows,13,Rows where CHIRPS/ERA5 source probes are ready at source-documentation level.
priority_accepted_chirps_era5_route_rows,0,Rows with accepted CHIRPS/ERA5 linkage route after raw timing/geography and validation. Must remain zero until raw gates pass.
priority_climate_blocked_raw_timing_geography_rows,13,Rows blocked because raw timing/geography have not been verified even though source probes are ready.
priority_climate_handoff_readmes_written,13,Per-wave climate handoff README files written under temp/raw_downloads.
climate_source_route_groups_ready,3,"Ready source groups among CHIRPS, ERA5, and NASA POWER."
modeling_gate_status,blocked,Models remain blocked until promoted registry thresholds and accepted climate linkage pass.
