country,survey_name,wave,idno,feasibility_score,metadata_has_budget,metadata_has_oop,metadata_has_weight,metadata_has_timing,metadata_has_geography,metadata_has_financial_core,metadata_has_access_core,metadata_has_main_sample_core,raw_file_inspected,raw_variable_verified,harmonization_value_audit_ready,eligible_for_final_sample,eligible_for_access_secondary_sample,status,gap
Malawi,"Integrated Household Panel Survey 2010-2013-2016-2019 (Long-Term Panel, 102 EAs)",2010-2019,MWI_2010-2019_IHPS_v06_M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Integrated Household Panel Survey 2010-2013-2016 (Long-Term Panel, 102 EAs)",2010-2016,MWI_2010-2016_IHPS_v03_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Integrated Household Panel Survey 2010-2013 (Short-Term Panel, 204 EAs)",2010-2013,MWI_2010-2013_IHPS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Fifth Integrated Household Survey 2019-2020,2019-2020,MWI_2019_IHS-V_v06_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Fourth Integrated Household Survey 2016-2017,2016-2017,MWI_2016_IHS-IV_v04_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Third Integrated Household Survey 2010-2011,2010-2011,MWI_2010_IHS-III_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,5,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Nigeria,Living Standards Survey 2018-2019,2018-2019,NGA_2018_LSS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"Measuring Living Standards within Cities, Dar es Salaam 2014-2015",2014-2015,TZA_2014_DAR-LSMS_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Serbia and Montenegro,"Living Standards Measurement Survey 2003 (General Population, Wave 2 Panel) and Roma Settlement Survey 2003",2003,SCG_2003_LSMS_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Serbia and Montenegro,"Living Standards Measurement Survey 2002 (General Population, Wave 1 Panel) and Family Income Support Survey 2002",2002,SCG_2002_LSMS_v01_M,4,1,1,1,0,1,1,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,timing_missing_or_metadata_weak;raw_microdata_not_inspected
Albania,Living Standards Measurement Survey 2003 (Wave 2 Panel),2003,ALB_2003_LSMS_v01_M,2,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ghana,Living Standards Survey II 1988-1989,1988-1989,GHA_1988_GLSS_v02_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
