download_rank,country,wave,idno,catalog_id,scope_role,priority_country,sixth_country_candidate,official_get_microdata_url,credentialed_download_url,local_target_folder,browser_open_command,prepare_target_folder_command,open_target_folder_command,python_probe_command,python_execute_command,curl_cookiejar_execute_command,post_download_validation_commands,acquisition_route_decision,incoming_route_status,command_packet_status,session_bootstrap_status,expected_full_file_rows,expected_core_file_rows,target_file_count,incoming_file_rows,requirements_covered,core_file_preview,webgpt_download_status,next_human_action,post_download_success_condition,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,6161,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/catalog/6161/download,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/6161/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',Invoke-Item 'temp/raw_downloads/ETH_2021_ESPS-W5_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2021_ESPS-W5_v02_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_credentialed_payloads/ETH_2021_ESPS-W5_v02_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/6161/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,68,36,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_hh_w5.dta;sect10a_com_w5.dta;sect_cover_pp_w5.dta;sect_cover_ph_w5.dta;sect_cover_ls_w5.dta;sect3_pp_w5.dta;cons_agg_w5.dta;sect3_hh_w5.dta;sect04_com_w5.dta;sect1_hh_w5.dta;sect12b1_hh_w5.dta;sect1_pp_w5.dta,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
2,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,3823,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/catalog/3823/download,temp/raw_downloads/ETH_2018_ESS_v04_M/,Start-Process 'https://microdata.worldbank.org/catalog/3823/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/ETH_2018_ESS_v04_M',Invoke-Item 'temp/raw_downloads/ETH_2018_ESS_v04_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno ETH_2018_ESS_v04_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/ETH_2018_ESS_v04_M/_credentialed_payloads/ETH_2018_ESS_v04_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/3823/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,68,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta;sect7a_hh_w4.dta;cons_agg_w4.dta;sect3_hh_w4.dta;sect04_com_w4.dta;sect1_hh_w4.dta;sect11b1_hh_w4.dta,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
3,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,1952,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/catalog/1952/download,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/1952/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',Invoke-Item 'temp/raw_downloads/NGA_2012_GHSP-W2_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2012_GHSP-W2_v02_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_credentialed_payloads/NGA_2012_GHSP-W2_v02_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/1952/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,103,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HHTrack;secta_harvestw2;NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2;sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2;sect1_plantingw2;sect1_harvestw2,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
4,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,2734,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/catalog/2734/download,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,Start-Process 'https://microdata.worldbank.org/catalog/2734/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',Invoke-Item 'temp/raw_downloads/NGA_2015_GHSP-W3_v02_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2015_GHSP-W3_v02_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_credentialed_payloads/NGA_2015_GHSP-W3_v02_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/2734/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,104,26,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,sect1_harvestw3;NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3;sect4a_harvestw3;sect3_plantingw3;sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
5,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,1002,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/catalog/1002/download,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/1002/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',Invoke-Item 'temp/raw_downloads/NGA_2010_GHSP-W1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NGA_2010_GHSP-W1_v03_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_credentialed_payloads/NGA_2010_GHSP-W1_v03_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/1002/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,99,27,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2;sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
6,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,76,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/catalog/76/download,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/76/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',Invoke-Item 'temp/raw_downloads/TZA_2008_NPS-R1_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2008_NPS-R1_v03_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_credentialed_payloads/TZA_2008_NPS-R1_v03_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/76/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,61,35,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HH.Geovariables_Y1;SEC_A_T_English_Labels;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
7,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,1050,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/catalog/1050/download,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/1050/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',Invoke-Item 'temp/raw_downloads/TZA_2010_NPS-R2_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2010_NPS-R2_v03_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_credentialed_payloads/TZA_2010_NPS-R2_v03_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/1050/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,95,38,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,HH_SEC_A;TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2;HH_SEC_L;HH_SEC_D;FS_H2;FS_N2;HH_SEC_G;HH_SEC_B,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
8,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,2252,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/catalog/2252/download,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,Start-Process 'https://microdata.worldbank.org/catalog/2252/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',Invoke-Item 'temp/raw_downloads/TZA_2012_NPS-R3_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno TZA_2012_NPS-R3_v01_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_credentialed_payloads/TZA_2012_NPS-R3_v01_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/2252/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,80,33,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,COM_SEC_A1A2.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;HH_SEC_K.NSDstat;HH_SEC_L.NSDstat;HH_SEC_D.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;HH_SEC_G.NSDstat;AG_SEC_11.NSDstat,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
9,Uganda,2019-2020,UGA_2019_UNPS_v03_M,3902,download_required_priority_country_wave,1,0,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/catalog/3902/download,temp/raw_downloads/UGA_2019_UNPS_v03_M/,Start-Process 'https://microdata.worldbank.org/catalog/3902/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/UGA_2019_UNPS_v03_M',Invoke-Item 'temp/raw_downloads/UGA_2019_UNPS_v03_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno UGA_2019_UNPS_v03_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/UGA_2019_UNPS_v03_M/_credentialed_payloads/UGA_2019_UNPS_v03_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/3902/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,109,39,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,pov2019_20.NSDstat;GSEC1.NSDstat;CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;GSEC15B.NSDstat;CSEC4B.NSDstat;CSEC4L.NSDstat;GSEC6_1.NSDstat,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
10,Nepal,2010-2011,NPL_2010_LSS-III_v01_M,1000,download_required_sixth_country_candidate,0,1,https://microdata.worldbank.org/catalog/1000/get-microdata,https://microdata.worldbank.org/catalog/1000/download,temp/raw_downloads/NPL_2010_LSS-III_v01_M/,Start-Process 'https://microdata.worldbank.org/catalog/1000/get-microdata',New-Item -ItemType Directory -Force -Path 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',Invoke-Item 'temp/raw_downloads/NPL_2010_LSS-III_v01_M',python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --probe,python script/180_build_priority_lsms_isa_credentialed_download_handoff.py --idno NPL_2010_LSS-III_v01_M --execute,curl.exe --location --fail --cookie temp/private/worldbank_session_cookies.txt --output temp/raw_downloads/NPL_2010_LSS-III_v01_M/_credentialed_payloads/NPL_2010_LSS-III_v01_M_worldbank_download_payload.bin https://microdata.worldbank.org/catalog/1000/download,python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/157_build_priority_lsms_isa_received_raw_schema_audit.py; python script/158_build_priority_lsms_isa_received_raw_value_profile.py; python script/159_build_priority_lsms_isa_received_raw_semantics_review.py,browser_manual_terms_acceptance_required,waiting_for_incoming_package,blocked_missing_worldbank_session,blocked_missing_worldbank_session_material,51,28,0,0,climate_geography;consumption_or_income;health_need_and_access;household_person_keys;oop_health_expenditure;survey_timing;weights_and_design,S00;FINAL_PREF;S04;S01;S21;S06B;S06A;S08;S19;S09B;S03;S21x,browser_manual_terms_acceptance_required,"Open the official get-microdata URL, accept World Bank terms, download the complete unchanged package, and place it in the local target folder or _incoming.","Target folder contains the official package/files and post-download receipt, schema, value, semantics, timing/geography, climate-linkage, and promotion gates pass.",blocked_no_data_write,blocked
