metric,value,interpretation
alb2005_outcome_semantics_raw_value_audit_rows,53,Rows in the ALB_2005 raw value/semantics audit.
alb2005_outcome_semantics_source_files_scanned,2,Raw health modules scanned for outcome semantics.
alb2005_outcome_semantics_financial_oop_candidate_rows,36,Raw OOP payment/gift candidate rows.
alb2005_outcome_semantics_gift_candidate_rows,7,Raw gift-value rows whose inclusion in OOP requires review.
alb2005_outcome_semantics_access_candidate_rows,8,Raw access/affordability candidate rows.
alb2005_outcome_semantics_need_candidate_rows,2,Raw health-need proxy rows.
alb2005_outcome_semantics_coping_candidate_rows,5,Raw health-payment coping proxy rows.
alb2005_outcome_semantics_rows_with_value_labels,17,Candidate rows with SPSS value-label metadata.
alb2005_outcome_semantics_rows_with_positive_numeric_values,53,Candidate rows with at least one positive numeric value.
alb2005_outcome_semantics_rows_with_complete_household_merge_coverage,53,Candidate rows whose source module covers all base households.
alb2005_outcome_semantics_conditional_reason_rows,3,Reason variables that are conditional on access-barrier events and need denominator review.
alb2005_outcome_semantics_outcome_ready_rows,0,No ALB_2005 raw value/semantics row is ready for final outcome promotion.
alb2005_outcome_semantics_sdg382_ready_rows,0,No ALB_2005 row establishes the SDG 3.8.2 discretionary-budget denominator.
alb2005_outcome_semantics_climate_linkage_ready_rows,0,No ALB_2005 row has verified timing/geography for climate linkage.
alb2005_outcome_semantics_current_decision,blocked_timing_geography_outcome_semantics_units_recall_skip_patterns,Current fail-closed decision for ALB_2005 raw outcome semantics.
