target,model,validation,fold,train_rows,test_rows,event_rate_test,auroc,auprc,brier,calibration_intercept,calibration_slope,notes
che10_total_budget,logistic_l2,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.28280773143438453,0.6011888361651104,0.3490674980178039,0.24065042058858013,-0.9079911101586482,0.7010291551141437,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,random_forest,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.28280773143438453,0.5644305831930201,0.3177206863406622,0.22824257259023037,-0.8233557521206977,0.35327154064126787,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.28280773143438453,0.5650626307464667,0.32728587609631066,0.20798413595890017,-0.43037480082401514,0.368643815747238,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,logistic_l2,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.2151639344262295,0.5860732935471838,0.28105070982430447,0.23398624206893337,-1.2338120348075479,0.609175111288334,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,random_forest,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.2151639344262295,0.5445185254258361,0.2297595710772317,0.21177311317467826,-1.175051427056202,0.26315717121230353,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.2151639344262295,0.564533600646525,0.284593990097161,0.16738396726740862,-0.5493743298707128,0.5509792425965723,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,logistic_l2,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.23214285714285715,0.5833827717133365,0.2714116989166858,0.24607729461150388,-1.1906969944239438,0.5979698547775053,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,random_forest,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.23214285714285715,0.5672757475083057,0.26479048582021203,0.2304768621202948,-1.1130619267729,0.4910938227560572,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.23214285714285715,0.5876405571173013,0.2913845430995771,0.1758450703434233,-0.25806667438073677,0.769797635016968,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,logistic_l2,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.14919354838709678,0.5880805086781093,0.2001319329042423,0.22051203293978985,-1.6180252446916392,0.8215051518054464,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,random_forest,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.14919354838709678,0.597453607339567,0.19378397178767792,0.20900829058914114,-1.5874719408848466,0.6082767963953638,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.14919354838709678,0.5913558144934034,0.1870181742918169,0.13363579684796922,-0.8920815598637098,0.6986339240156207,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,logistic_l2,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.271505376344086,0.6179647254393336,0.36174061398847257,0.22593911465277286,-0.8599034818430266,0.9279338725240001,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,random_forest,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.271505376344086,0.5662959313689672,0.32327713586283935,0.21027682245744567,-0.7759524746513742,0.34885692048990236,limited diagnostic grouped geography validation; not transportable or deployable
che10_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.271505376344086,0.5855182035731249,0.3314232719860679,0.20401200796110408,0.08387931274060895,0.6705253658866335,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,logistic_l2,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.10376398779247202,0.5715854588146269,0.12808620263075016,0.1926757508059348,-1.9879316475660764,0.46594855226073356,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,random_forest,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.10376398779247202,0.5276952438182991,0.11216775079714153,0.12759233903043246,-2.0015136866368697,0.14222158416060382,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_1_of_5,10464,3932,0.10376398779247202,0.549708163628675,0.11365170458518947,0.09616913884916564,-1.4687401550194445,0.23580896948746136,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,logistic_l2,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.06147540983606557,0.6882596433770015,0.1272736162103748,0.17929905502538285,-2.3558717203543855,1.3331340715228017,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,random_forest,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.06147540983606557,0.5931131732168851,0.07881256358155797,0.11015708766933087,-2.2237751621176947,0.4912231231020733,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_2_of_5,12444,1952,0.06147540983606557,0.6295282933042212,0.09034462409614256,0.05711076367709698,-0.30672533470391056,0.8816372025521463,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,logistic_l2,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.0663265306122449,0.47109473518284994,0.061794590527337864,0.231481558796339,-2.7010734658924065,-0.25901139788845023,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,random_forest,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.0663265306122449,0.4298878205128205,0.05691603947189573,0.1629855469626631,-2.82235210564759,-0.25231032845018636,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_3_of_5,12828,1568,0.0663265306122449,0.45610682009247583,0.06018993088992483,0.0636906659600821,-3.6499879249490297,-0.3696745595799379,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,logistic_l2,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.04939516129032258,0.6306025061137923,0.07608985986608108,0.18328585179057216,-2.6367582907618123,1.110904831158212,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,random_forest,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.04939516129032258,0.5803050674140282,0.06069177111830233,0.10653323221895578,-2.2811440706390727,0.7480948867033657,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_4_of_5,10428,3968,0.04939516129032258,0.595886445776614,0.07368775688070658,0.04716704999289228,-0.812546855517864,0.7966423821722856,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,logistic_l2,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.11155913978494623,0.5973880392978875,0.14502632242272873,0.20111746914726714,-1.9101039672838716,0.5784486419881985,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,random_forest,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.11155913978494623,0.551388230683703,0.12595877741690686,0.12881524976334702,-1.746168090442803,0.28453509832634066,limited diagnostic grouped geography validation; not transportable or deployable
che25_total_budget,gradient_boosting,limited_leave_admin2_group_out,group_5_of_5,11420,2976,0.11155913978494623,0.577835927674389,0.13281851497819622,0.10418384017772453,-1.3110616401465596,0.27508409835436876,limited diagnostic grouped geography validation; not transportable or deployable
