metric,value,interpretation
alb2002_limited_climate_exposure_promotion_audit_rows,6,Rows in the limited climate exposure promotion audit.
alb2002_limited_climate_exposure_rows,384,Rows written to data/climate_exposures_nasa_power.csv.
alb2002_limited_climate_exposure_distinct_district_rows,36,Distinct ALB_2002 admin2 district codes.
alb2002_limited_climate_exposure_window_rows,4,Exposure lag windows.
alb2002_limited_climate_exposure_precip_nonmissing_rows,384,Rows with nonmissing precipitation totals.
alb2002_limited_climate_exposure_temp_nonmissing_rows,384,Rows with nonmissing mean temperature.
alb2002_limited_climate_exposure_precip_z_rows,384,Rows with within-candidate diagnostic rainfall z-scores.
alb2002_limited_climate_exposure_temp_z_rows,384,Rows with within-candidate diagnostic temperature z-scores.
alb2002_limited_climate_exposure_limited_data_write_ready_rows,384,Rows allowed in data/ only under limited fallback exposure scope.
alb2002_limited_climate_exposure_primary_chirps_ready_rows,0,Rows ready with primary CHIRPS rainfall extraction.
alb2002_limited_climate_exposure_primary_era5_ready_rows,0,Rows ready with primary ERA5-Land temperature extraction.
alb2002_limited_climate_exposure_historical_baseline_ready_rows,0,Rows with accepted historical local climate baseline.
alb2002_limited_climate_exposure_climate_linkage_ready_rows,0,Rows ready for final climate-linked household data.
alb2002_limited_climate_exposure_final_analysis_ready_rows,0,Rows ready for final empirical analysis.
alb2002_limited_climate_exposure_current_decision,limited_nasa_admin2_centroid_climate_exposures_promoted_linkage_still_blocked,Current limited climate exposure promotion decision.
alb2002_limited_climate_exposure_data_use_limit,climate_exposure_admin2_centroid_only_not_for_final_climate_linkage,Guardrail embedded in every output row.
