acquisition_batch_rank,batch_role,country,wave,idno,survey_name,official_url,local_target_folder,quality_rank,priority_country,country_coverage_role,raw_package_status,raw_tabular_file_count,archive_file_count,documentation_file_count,expected_core_module_rows,top_core_files,missing_required_concepts,required_manual_action,post_download_verification_commands,promotion_stop_rule
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,1,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,66,sect8_3_ls_w5.dta; sect11_ph_w5.dta; sect3_pp_w5.dta; sect06_com_w5.dta; sect04_com_w5.dta; sect4_pp_w5.dta; sect9_ph_w5.dta; sect8_2_ls_w5.dta; sect3_hh_w5.dta; sect7_pp_w5.dta,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,2,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,66,sect8_3_ls_w4.dta; sect10c_hh_w4.dta; sect11_ph_w4.dta; sect04_com_w4.dta; sect06_com_w4.dta; sect3_pp_w4.dta; sect5b2_hh_w4.dta; sect4_pp_w4.dta; sect3_hh_w4.dta; sect8_2_ls_w4.dta,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
3,priority_10_wave_batch,Malawi,2007-2009,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",https://microdata.worldbank.org/catalog/3462/get-microdata,temp/raw_downloads/MWI_2007-2009_MTM_v01_M/,3,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,102,hh2_cmty; pi_s5a; p2_s14a; p2_s13; p2_s10; p2_s11; hh2p3_s17; hh3p3_s15; p2_s9; hh2p2_s10,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,4,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,100,secta1_harvestw2; sect11b1_plantingw2; sect11h_plantingw2; sect4a_harvestw2; secta3_harvestw2; sect11d_plantingw2; sect9_harvestw2; sect11e_plantingw2; secta2_harvestw2; sect6_plantingw2,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,5,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,102,sect11b1_plantingw3; secta3ii_harvestw3; secta1_harvestw3; secta11d_harvestw3; sect4a_harvestw3; secta2_harvestw3; sect11f_plantingw3; secta3i_harvestw3; sect11_plantingw3; NGA_HouseholdGeovars_Y3,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,6,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,98,secta1_harvestw1; sect11h_plantingw1; sect11c_plantingw1; sect11b_plantingw1; secta3_harvestw1; sect11e_plantingw1; sect4a_harvestw1; sect8_harvestw1; secta2_harvestw1; sect11d_plantingw1,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,7,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,61,SEC_3A_English_Labels; SEC_3B_English_Labels; SEC_B_C_D_E1_F_G1_U_English_Labels; HH.Geovariables_Y1; SEC_4A_English_Labels; SEC_A_T_English_Labels; SEC_H1_J_K2_O2_P1_Q1_S1_English_Labels; TZY1.HH.Consumption; SEC_S2_English_Labels; SECTCEFG,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,8,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,27,AG_SEC3A; AG_SEC3B; HH.Geovariables_Y2; TZY1.HH.Consumption; HH_SEC_D; TZY2.HH.Consumption; COMSEC_CD; COMSEC_CE; COMSEC_CI; HH_SEC_B,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,9,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,79,AG_SEC_3A; AG_SEC_3B; HouseholdGeovars_Y3; AG_SEC_5A; AG_SEC_5B; COM_SEC_CE; AG_SEC_4A; AG_SEC_4B; COM_SEC_CF_ID; HH_SEC_A,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
10,priority_10_wave_batch,Uganda,2014,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",https://microdata.worldbank.org/catalog/2654/get-microdata,temp/raw_downloads/UGA_2014_SAGE-EL_v01_M/,12,1,priority_country,documentation_or_placeholder_only_no_raw_microdata,0,0,1,32,int_welfare_hh; int_access_fin; sage_labourintermed; int_access_health; int_cohesion; int_access_educ18plus; int_demographics_mem; int_consexp; int_access_school; int_operational,household_id; total_consumption_or_income; oop_health_expenditure; survey_weight; survey_timing; climate_geography; health_need; care_or_barrier; psu_cluster; strata; demographics; insurance; shocks_or_livelihood,"Complete the official account/terms workflow, download the complete original raw package plus documentation, and place the unchanged files in local_target_folder.",python script/17_audit_raw_downloads.py; python script/03_inspect_raw_schemas.py; python script/29_build_raw_variable_verification_protocol.py; python script/33_build_harmonization_recipe_gate.py; python script/121_build_country_wave_promotion_registry.py; python script/122_build_priority_promotion_acquisition_plan.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this wave into data/ until raw package, merge keys, weights/design, consumption/OOP, access, timing/geography, value semantics, and CHIRPS/ERA5 linkage gates pass."
