outcome_id,outcome_label,outcome_family,denominator_definition,numerator_definition,source_fields,household_rows,denominator_rows,missing_rows,event_rows,event_rate,weighted_event_rate,low_event_rate_flag,ready_for_outcome,ready_for_recipe,sdg382_ready,climate_linkage_ready,promotion_status,blocking_reason
person_need_proxy_candidate,Any chronic/disability or sudden-illness need proxy,need_denominator,Any Health B access trigger is nonmissing.,Any Health A person need proxy is observed in the household.,m5a_q01;m5a_q07,3599,3599,0,2202,0.611837,0.63232,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
q01_family_healthcare_need_candidate,Family health-care need denominator from q01,need_denominator,Any Health B access trigger is nonmissing.,m5b_q01 is not coded as no-one-needed-health-care.,m5b_q01,3599,3599,0,3247,0.902195,0.908742,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
q01_cost_difficulty_candidate,Difficulty paying for family health care among q01 need,cost_barrier,m5b_q01 indicates a household health-care need.,m5b_q01 is very difficult or difficult.,m5b_q01,3599,3247,352,1623,0.499846,0.51424,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
money_raising_any_candidate,Any money-raising method for health care,coping_barrier,m5b_q01 is very difficult or difficult.,Any m5b_q02 method indicator equals 1.,m5b_q02_;m5b_q021;m5b_q022;m5b_q023;m5b_q024,3599,1623,1976,1476,0.909427,0.93036,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
delayed_help_any_candidate,Delayed or did not seek help after illness,forgone_or_delayed_care,m5b_q01 indicates a household health-care need.,m5b_q03 is once or more.,m5b_q03,3599,3247,352,144,0.0443486,0.0389328,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
hospital_referral_not_gone_candidate,Hospital referral not gone,forgone_or_delayed_care,m5b_q01 indicates a household health-care need.,m5b_q05 is once or more.,m5b_q05,3599,3247,352,161,0.0495842,0.0445007,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
refused_health_services_candidate,Any health-service refusal,forgone_or_delayed_care,Any Health B access trigger is nonmissing.,m5b_q07 is yes.,m5b_q07,3599,3599,0,68,0.0188941,0.0176393,1,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
medicine_discount_any_barrier_candidate,Medicine discount entitlement not always exercisable,medicine_access_barrier,m5b_q09 indicates medicine-discount entitlement.,m5b_q10 is any no/other category rather than always able.,m5b_q09;m5b_q10,3599,2044,1555,493,0.241194,0.226843,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
composite_cost_barrier_candidate,Composite cost barrier,cost_barrier,Any Health B access/cost trigger is nonmissing.,"Any affordability, delayed-care cost, referral cost, refusal cost, or medicine-discount cost barrier is observed.",m5b_q01;m5b_q04;m5b_q06;m5b_q08;m5b_q10,3599,3599,0,1661,0.461517,0.476346,0,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
composite_distance_barrier_candidate,Composite distance barrier,distance_barrier,Any Health B access/distance trigger is nonmissing.,"Any delayed-care, referral, or refusal distance barrier is observed.",m5b_q04;m5b_q06;m5b_q08,3599,3599,0,34,0.00944707,0.00951398,1,0,0,0,0,temp_only_access_candidate_outcomes_not_promoted,"Household-level access candidate outcomes are built from raw ALB_2002 Health A/B variables, but they remain temp-only because final access outcomes require a selected denominator, trigger-specific skip/missing policy, low-event handling, financial-outcome alignment, and climate-ready geography."
