metric,value,interpretation
priority_lsms_receipt_checklist_dataset_rows,19,Refocused LSMS/ISA dataset-level raw package receipt checklist rows.
priority_lsms_receipt_checklist_requirement_rows,152,Requirement-level receipt checklist rows joined to raw-value workbook gates.
priority_lsms_receipt_checklist_package_received_rows,1,Datasets with at least one original non-generated package or documentation file in the target folder.
priority_lsms_receipt_checklist_public_documentation_snapshot_rows,133,Saved official public documentation snapshots used as documentation evidence.
priority_lsms_receipt_checklist_complete_package_received_rows,1,Datasets whose local receipt appears complete enough for raw value review.
priority_lsms_receipt_checklist_ready_for_raw_value_review_rows,1,Dataset rows ready to proceed to raw value workbook review.
priority_lsms_receipt_checklist_blocked_no_original_package_rows,18,Dataset rows still missing original official packages.
priority_lsms_receipt_checklist_blocked_requirement_rows,144,Requirement rows blocked before raw value review.
priority_lsms_receipt_checklist_handoff_readmes_written,19,Per-wave raw-folder receipt checklist handoffs written.
priority_lsms_receipt_checklist_data_write_status,blocked_no_promoted_rows,No country-wave may write to data/ from an unaccepted receipt checklist.
modeling_gate_status,blocked,"Models remain blocked until receipt, raw-value, climate-linkage, and promoted-registry thresholds pass."
priority_lsms_receipt_checklist_dataset_status_blocked_no_original_package,18,Dataset receipt status count.
priority_lsms_receipt_checklist_dataset_status_ready_for_raw_value_review,1,Dataset receipt status count.
priority_lsms_receipt_checklist_requirement_status_blocked_no_original_package,144,Requirement receipt status count.
priority_lsms_receipt_checklist_requirement_status_ready_for_raw_value_review,8,Requirement receipt status count.
