refocused_rank,original_acquisition_batch_rank,batch_role,country,wave,idno,survey_name,official_url,local_target_folder,current_survey_family,refocused_selection_status,supersedes_idno,supersedes_survey_name,replacement_reason,metadata_feasibility_score,metadata_requirement_score,download_scope,raw_package_status,promotion_stop_rule
1,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,lsms_isa_socioeconomic_survey,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
2,2,priority_10_wave_batch,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,lsms_isa_socioeconomic_survey,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
3,3,priority_10_wave_batch,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,lsms_isa_integrated_household_survey,selected_replacement_for_off_family_core_wave,MWI_2007-2009_MTM_v01_M,"Marriage Transitions in Malawi 2007-2009, Panel Data",Replaces MWI_2007-2009_MTM_v01_M because the current core wave is non_lsms_specialized_panel; replacement is lsms_isa_integrated_household_survey.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
4,4,priority_10_wave_batch,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,lsms_isa_general_household_panel,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
5,5,priority_10_wave_batch,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,lsms_isa_general_household_panel,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
6,6,priority_10_wave_batch,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,lsms_isa_general_household_panel,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
7,7,priority_10_wave_batch,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,lsms_isa_national_panel_survey,selected_current_aligned_or_backup,,,Current campaign row retained.,2,1,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
8,8,priority_10_wave_batch,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,lsms_isa_national_panel_survey,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
9,9,priority_10_wave_batch,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,lsms_isa_national_panel_survey,selected_current_aligned_or_backup,,,Current campaign row retained.,5,7,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
10,10,priority_10_wave_batch,Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,lsms_isa_national_panel_survey,selected_replacement_for_off_family_core_wave,UGA_2014_SAGE-EL_v01_M,"Social Assistance Grants for Empowerment  Programme 2014, Endline: Impact After Two Years of Programme Operations",Replaces UGA_2014_SAGE-EL_v01_M because the current core wave is non_lsms_social_protection_evaluation; replacement is lsms_isa_national_panel_survey.,4,5,complete_official_raw_package_plus_all_documentation,not_received_no_original_raw_package,"Do not write into data/ until original package receipt, raw schema inspection, manual value/unit/key review, outcome readiness, and accepted CHIRPS/ERA5 linkage pass."
