country,wave,idno,survey_name,priority_country,source,official_url,local_target_folder,rows,outcome_ready_status,sdg382_ready_status,che10_che25_ready_status,access_forgone_care_ready_status,climate_linkage_ready_status,analysis_ready_status,raw_package_status,raw_value_verification_status,promotion_packet,remaining_blockers
Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/6161/get-microdata,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/ETH_2021_ESPS-W5_v02_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/3823/get-microdata,temp/raw_downloads/ETH_2018_ESS_v04_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/ETH_2018_ESS_v04_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/2307/get-microdata,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,ready_che10_che25,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,ready_for_raw_value_review,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/MWI_2004_IHS-II_v01_M.md,"failed_gates=8 (raw_value_verification_household_person_keys; raw_value_verification_health_need_and_access; raw_value_verification_missing_codes_units_recall_skip_patterns; all_required_raw_values_verified; access_forgone_care_inputs_ready; accepted_chirps_or_era5_linkage_route; analysis_dataset_synthesis_ready; promoted_registry_write_gate); required_actions=Use the health exception audit to decide whether nonroster health rows can be excluded, reconciled, or documented as valid exceptions.; Review the candidate construction policy, then resolve d07a skip leakage, classify remaining manual-review care-action labels, and accept double-count/formal-care/provider-grouping rules.; Write variable-level policy table and rerun requirement acceptance.; Complete raw-backed verification for every required promotion requirement.; Verify illness/need and care-seeking/access variables before double-failure readiness can be claimed.; focused_raw_acceptance_blockers=household_person_keys: blocked_person_join_exception_review_required - Resolve or document health-module person keys absent from the roster before full double-failure person-level verification; raw IDs are not exported.; health_need_and_access: blocked_health_access_policy_ready_active_exceptions - Health/access construction policy status=candidate_policy_ready_active_skip_and_provider_blockers; final_health_access_verified=0; label-skip status=label_skip_mapping_has_skip_or_manual_review_blockers; exception_status=policy_pending_exception_unresolved; manual_review_rows=88; d07 skip leakage is not resolved by person-join exceptions unless explained_by_nonroster=1.; missing_codes_units_recall_skip_patterns: blocked_manual_policy_required - Missing-code, skip-pattern, recall-period, and unit policy must be accepted before any data write.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/1952/get-microdata,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/NGA_2012_GHSP-W2_v02_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/2734/get-microdata,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/NGA_2015_GHSP-W3_v02_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/1002/get-microdata,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/NGA_2010_GHSP-W1_v03_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/76/get-microdata,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/TZA_2008_NPS-R1_v03_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/1050/get-microdata,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/TZA_2010_NPS-R2_v03_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/2252/get-microdata,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/TZA_2012_NPS-R3_v01_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,1,priority_lsms_isa_refocused_acquisition_queue,https://microdata.worldbank.org/catalog/3902/get-microdata,temp/raw_downloads/UGA_2019_UNPS_v03_M/,0,blocked_raw_value_verification_required,blocked_poverty_line_ppp_cpi_discretionary_budget_not_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,report/priority_lsms_isa_country_wave_promotion_packets/UGA_2019_UNPS_v03_M.md,"complete original raw package not received; failed_gates=17 (complete_original_raw_package; archive_or_direct_file_preflight; raw_value_verification_household_person_keys; raw_value_verification_weights_and_design; raw_value_verification_consumption_or_income; raw_value_verification_oop_health_expenditure; raw_value_verification_health_need_and_access; raw_value_verification_survey_timing); required_actions=Download/place the complete unchanged official raw package and all documentation in the target folder.; Confirm readable archive/direct raw and documentation files before schema inspection.; Verify this requirement against raw files, value labels, units, recall periods, skip patterns, and merge level.; Complete raw-backed verification for every required promotion requirement.; Verify financial-protection inputs before CHE10/CHE25 or SDG 3.8.2 readiness can be claimed.; no accepted CHIRPS or ERA5 climate-linkage route; raw values, labels, units, recall periods, missing codes, skip patterns, and merge keys not verified"
