download_priority_order,country,wave,idno,file_id,expected_file_name,priority_core_target,core_requirements,external_candidate_folder,external_match_status,external_matched_file_name,external_matched_file_path,data_write_gate_status,modeling_gate_status
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F1,sect_cover_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F2,sect1_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F3,sect2_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F4,sect3_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F5,sect3b_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F6,sect4_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F7,sect5a_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F8,sect5b_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F9,sect6a_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F10,sect6b2_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F11,sect6b3_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F12,sect6b4_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F13,sect6c_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F14,sect7a_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F15,sect7b_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F16,sect8_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F17,sect9_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F18,sect10a_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F19,sect11_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F20,sect12a_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F21,sect12b1_hh_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F22,sect12b2_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F23,sect12c_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F24,sect12c_q1_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F25,sect12d_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F26,sect12e_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F27,sect12f_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F28,sect13_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F29,sect14_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F30,sect15a_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F31,sect15b_hh_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F32,sect01a_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F33,sect01b_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F34,sect02_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F35,sect03_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F36,sect04_com_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F37,sect05_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F38,sect06_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F39,sect07_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F40,sect08_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F41,sect09_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F42,sect10a_com_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F43,sect10b_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F44,sect11_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F45,sect12_com_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F46,sect_cover_pp_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F47,sect1_pp_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F48,sect2_pp_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F49,sect3_pp_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F50,sect4_pp_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F51,sect5_pp_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F52,sect7_pp_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F53,sect9a_pp_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F54,sect_cover_ph_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F55,sect1_ph_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F56,sect9_ph_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F57,sect10_ph_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F58,sect11_ph_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F59,sect_cover_ls_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F60,sect8_1_ls_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F61,sect8_2_ls_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F62,sect8_3_ls_w5.dta,1,,,external_file_name_missing,,,blocked_no_data_write,blocked
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F63,sect8_4_ls_w5.dta,0,,,external_file_name_missing,,,blocked_no_data_write,blocked
