outcome,outcome_family,formula_or_rule,required_harmonized_fields,external_inputs_required,audit_requirements,priority_status
sdg382_discretionary_40,financial_protection,OOP health expenditure > 40% of household discretionary budget; discretionary budget = total consumption/income minus societal poverty line,oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,cpi_or_price_adjustment;ppp_conversion;societal_poverty_line,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,preferred_after_denominator_audit
che10_total_budget,financial_protection,OOP health expenditure > 10% of total consumption or income,oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che10_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,primary_fallback_until_sdg382_denominator_verified
che25_total_budget,financial_protection,OOP health expenditure > 25% of total consumption or income,oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che25_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,primary_fallback_until_sdg382_denominator_verified
oop_share_total,financial_protection,OOP health expenditure / total consumption or income,oop_health_expenditure;total_consumption or total_income,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,diagnostic_continuous_outcome
log_oop_plus_one,financial_protection,"log(OOP health expenditure + 1), using raw local-currency units after recall-period checks",oop_health_expenditure,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,diagnostic_continuous_outcome
capacity_to_pay_40,financial_protection,OOP health expenditure > 40% of capacity to pay; construct only if capacity/subsistence denominator is documented,oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,capacity_to_pay_method,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_after_method_audit
impoverishing_health_spending,financial_protection,Household above poverty line before OOP and below after OOP,oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,cpi_or_price_adjustment;poverty_line;ppp_conversion,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_after_poverty_line_audit
forgone_care_conditional_need,access,Health need observed and care was not sought,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,primary_access_outcome
forgone_care_cost_barrier,access,Health need or non-care episode with cost as reason for not seeking care,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,access_barrier_outcome
forgone_care_distance_barrier,access,Health need or non-care episode with distance/transport as reason for not seeking care,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,access_barrier_outcome
forgone_care_supply_barrier,access,Health need or non-care episode with provider/drug/staff/facility availability as reason for not seeking care,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,access_barrier_outcome
delayed_or_unmet_care,access,"Delayed care or unmet care, only where an exact survey module supports this construct",care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_access_outcome_if_exact_module_exists
uhc_double_failure,composite,Financial hardship OR forgone care conditional on need,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che10_country_reference;che25_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_until_10_country_waves_pass
financial_only_failure,composite,Financial hardship observed and no observed forgone care,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che10_country_reference;che25_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_composite
access_only_failure,composite,Forgone care conditional on need and no observed catastrophic OOP,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che10_country_reference;che25_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_composite
both_financial_and_access_failure,composite,Financial hardship AND forgone care conditional on need,care_sought/care_not_sought or reason_not_sought_*;illness_or_injury_need;oop_health_expenditure;household_weight or person_weight;total_consumption or total_income,che10_country_reference;che25_country_reference,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,secondary_composite
coping_failure,mechanism_or_composite,"Borrowing, selling assets, or reducing essential spending due to health costs if module supports it",coping_borrowed/coping_sold_assets/food_insecurity or health-specific coping variables;household_weight or person_weight,,raw variable lineage; unit/recall-period check; missingness; event rate; weighted prevalence; country-wave comparability,mechanism_only_if_health_specific
