metric,value,interpretation
registry_rows,19,Country-waves currently tracked in the promoted registry.
refocused_queue_rows,19,Refocused LSMS/ISA acquisition queue rows that should be represented in the registry.
refocused_registry_coverage_rows,19,Refocused queue rows covered by the promoted registry.
refocused_missing_from_registry_rows,0,Refocused queue rows missing from the promoted registry; must be zero.
registry_extra_non_refocused_rows,0,Registry rows outside the current refocused LSMS/ISA target; should be zero for this campaign.
priority_country_rows,16,"Rows from Ethiopia, Nigeria, Malawi, Tanzania, and Uganda."
refocused_core_country_wave_rows,10,Core country-waves in the refocused LSMS/ISA plan.
refocused_backup_country_wave_rows,9,Backup waves retained for raw-review failure risk and sixth-country coverage.
promoted_analysis_ready_rows,0,Rows allowed into promoted analysis data.
financial_protection_ready_countries,0,Countries meeting value-verified CHE financial-protection requirements.
double_failure_ready_country_waves,0,Country-waves with both financial protection and access/forgone-care ready.
accepted_chirps_era5_climate_linkage_rows,0,Country-waves with accepted CHIRPS or ERA5 linkage route.
raw_package_received_rows,0,Registry rows with some non-generated raw package receipt evidence.
raw_value_verified_rows,0,Registry rows with accepted raw-value verification.
gate_pass_rows,38,Promotion gate rows passing in the refocused packet matrix.
gate_fail_rows,323,Promotion gate rows failing in the refocused packet matrix.
albania_main_case_rows,0,Albania rows in the main refocused promoted registry; should remain zero.
promoted_registry_data_write_status,blocked_no_promoted_rows,Data write gate implied by the promoted registry.
modeling_gate_status,blocked,"Do not run predictive, reduced-form, causal ML, or policy-learning models until registry thresholds pass."
