metric,value,interpretation
bundle_rows,198,Rows in result/direct_read_audit_bundle.csv.
manifest_rows,876,Curated artifact rows in result/direct_read_artifact_manifest.csv.
manifest_present_nonempty,872,Curated artifacts present and non-empty.
manifest_missing_or_empty,4,Curated artifacts missing or empty.
raw_file_inventory_rows,209,Raw tabular files inspected.
raw_variable_catalog_rows,5410,Raw variables inspected.
analysis_ready_data_files,1,"Dataset-like files currently present in data/, excluding README/.gitkeep."
promoted_data_gate_status,open_registry_has_promoted_rows,Current promoted-data write gate status.
promoted_data_gate_registry_promoted_rows,1,Registry rows currently allowed to write promoted datasets into data/.
promoted_data_gate_quarantined_files,0,Pre-promotion diagnostic files moved from data/ to temp/.
priority_lsms_isa_public_documentation_dataset_rows,19,Refocused LSMS/ISA waves covered by the public documentation receipt.
priority_lsms_isa_public_documentation_core_complete_rows,19,Refocused LSMS/ISA waves with all core public metadata/documentation resources saved.
priority_lsms_isa_public_documentation_file_inventory_rows,1597,Official DDI file-description rows extracted into a compact GPT-readable table.
priority_lsms_isa_public_documentation_access_gate_rows,19,Refocused LSMS/ISA waves whose official get-microdata page still shows credentialed access language.
priority_lsms_isa_variable_evidence_candidate_rows,1531,Concept-level official metadata candidate variables shortlisted for raw review.
priority_lsms_isa_variable_evidence_requirement_rows,152,Requirement-by-wave variable evidence coverage rows.
priority_lsms_isa_variable_evidence_file_shortlist_rows,629,Official DDI files shortlisted by concept for raw package checking.
priority_lsms_isa_raw_value_workbook_requirement_rows,152,Requirement-level raw value verification workbook rows.
priority_lsms_isa_raw_value_workbook_variable_rows,1531,Variable-level raw value verification workbook rows.
priority_lsms_isa_raw_value_workbook_file_rows,629,File-level raw value verification workbook rows.
priority_lsms_isa_received_raw_schema_file_rows,52,Received official raw archive files included in the metadata-only schema audit.
priority_lsms_isa_received_raw_schema_readable_file_rows,52,Received official raw files readable by the schema audit.
priority_lsms_isa_received_raw_schema_variable_rows,1901,Variables extracted from the received official raw archive schema.
priority_lsms_isa_received_raw_schema_candidate_present_rows,84,Requirement candidate variables present in the received official raw archive.
priority_lsms_isa_received_raw_value_profile_variable_rows,84,Candidate requirement variables with received raw value-profile evidence.
priority_lsms_isa_received_raw_value_profile_nonmissing_variable_rows,84,Candidate variables with at least one nonmissing raw value.
priority_lsms_isa_received_raw_key_design_geography_profile_rows,459,"Utility key, design, and geography variables profiled from received raw files."
priority_lsms_isa_received_raw_value_profile_requirements_with_profiles,7,Requirements with value-profile evidence available for manual review.
priority_lsms_isa_received_raw_semantics_variable_rows,543,Variable-level semantics review rows from value and utility profiles.
priority_lsms_isa_received_raw_semantics_ddi_documented_variable_rows,543,Profiled variables matched to official DDI documentation.
priority_lsms_isa_received_raw_semantics_requirement_rows,8,Requirement-level semantics review rows.
priority_lsms_isa_received_raw_semantics_missing_codes_units_recall_skip_requirement_rows,1,Documentation-semantics gate rows backed by review evidence.
mwi2004_raw_requirement_verification_requirements,8,Malawi 2004 promotion requirements with focused raw-backed verification evidence.
mwi2004_raw_requirement_verification_key_or_join_checks,10/11,Malawi 2004 mechanical uniqueness and join checks passing in focused raw review.
mwi2004_raw_requirement_verification_decision,not_final_verified,Focused Malawi 2004 decision; it should remain not_final_verified until manual construct and climate-linkage acceptance pass.
mwi2004_requirement_acceptance_decision_rows,8,Malawi 2004 requirement-level accept/block decisions.
mwi2004_requirement_acceptance_mechanical_pass_or_partial,8,Requirements with mechanical raw evidence that passes but remains short of final verification.
mwi2004_requirement_acceptance_final_verified,8,Requirements accepted as final verified for their stated scope; this does not by itself open data writes.
mwi2004_financial_policy_status,che10_che25_financial_inputs_verified_sdg382_blocked,Malawi 2004 CHE10/CHE25 financial policy status.
mwi2004_financial_policy_household_rows,11280,Household rows with verified financial inputs for CHE10/CHE25 candidates.
mwi2004_financial_policy_che10_rows,208,Candidate CHE10 rows from accepted financial inputs.
mwi2004_financial_policy_che25_rows,17,Candidate CHE25 rows from accepted financial inputs.
mwi2004_financial_policy_sdg382_ready,0,Whether SDG 3.8.2 is ready; should remain zero.
mwi2004_sdg382_parameter_internal_inputs_complete,1,"Whether Malawi 2004 has raw OOP, consumption, household size, and weights needed before parameterizing current SDG 3.8.2."
mwi2004_sdg382_parameter_external_ppp_cpi_verified,0,Whether 2017 PPP and CPI/deflator parameters have been frozen for Malawi 2004 SDG 3.8.2.
mwi2004_sdg382_parameter_sdg382_ready,0,Current Malawi 2004 SDG 3.8.2 readiness under the 2026 discretionary-budget metadata.
mwi2004_sdg382_external_parameter_ppp_private_2017,249.104888916,World Bank private-consumption PPP candidate captured for Malawi 2017.
mwi2004_sdg382_external_parameter_cpi_ratio_candidate,6.11673829608,Annual CPI candidate bridge from 2004 to 2017; not final.
mwi2004_sdg382_external_parameter_bridge_accepted,0,Whether the external PPP/CPI bridge is accepted for final SDG 3.8.2 classification.
mwi2004_sdg382_candidate_precheck_nonpositive_discretionary_rows,9073,Rows with nonpositive candidate discretionary budget under Malawi 2004 candidate SPL.
mwi2004_sdg382_candidate_precheck_strict_candidate_rows,119,Candidate SDG 3.8.2 household rows under the strict positive-discretionary-budget diagnostic variant.
mwi2004_sdg382_candidate_precheck_floor_candidate_rows,122,Candidate SDG 3.8.2 household rows under the denominator-floor sensitivity variant.
mwi2004_sdg382_candidate_precheck_written_to_data,0,Whether household-level candidate SDG 3.8.2 classifications were written to data; should remain zero.
mwi2004_sdg382_official_denominator_rule_accepted,1,Whether the official nonpositive-discretionary-budget rule is accepted from UNSD metadata.
mwi2004_sdg382_official_rule_candidate_rows,6437,Aggregate candidate SDG 3.8.2 rows using the official denominator rule plus the candidate SPL bridge.
mwi2004_sdg382_official_rule_candidate_rate,0.641627388522,Weighted candidate rate under the official rule; not final because the SPL bridge is not accepted.
mwi2004_sdg382_official_rule_bridge_accepted,0,Whether the Malawi local-currency SPL bridge is accepted; should remain zero.
mwi2004_timing_geography_policy_status,raw_timing_admin_ea_geography_verified_climate_route_blocked,Malawi 2004 timing/geography raw-value policy status.
mwi2004_timing_geography_idate_rows,11280,Rows with verified raw household interview date.
mwi2004_timing_geography_months,13,Distinct interview months for climate-window anchoring.
mwi2004_timing_geography_household_ea,564,Distinct household EA/admin keys.
mwi2004_timing_geography_ready_for_route_review,1,Whether raw timing and geography are ready for climate-route review.
mwi2004_timing_geography_accepted_chirps_era5_route,0,Whether CHIRPS/ERA5 route is accepted; should remain zero.
mwi2004_chirps_admin2_route_design_ready,1,Whether Malawi 2004 has a CHIRPS ADM2 route design ready for raster extraction.
mwi2004_chirps_admin2_raw_boundary_matches,26,Raw Malawi 2004 district labels matched to ADM2 boundary names.
