metric,value,interpretation
priority_lsms_archive_preflight_dataset_rows,19,Refocused LSMS/ISA targets checked by archive/direct-file preflight.
priority_lsms_archive_preflight_direct_file_rows,0,Direct non-generated original candidate files found under target folders.
priority_lsms_archive_preflight_direct_archive_rows,0,Direct archive/compressed package candidates found.
priority_lsms_archive_preflight_direct_raw_tabular_rows,0,Direct raw tabular/workbook candidates found.
priority_lsms_archive_preflight_direct_documentation_rows,0,Direct documentation candidates found.
priority_lsms_archive_preflight_archive_member_rows,0,Readable archive member rows found without extraction.
priority_lsms_archive_preflight_archive_raw_tabular_member_rows,0,Raw tabular-like archive members found.
priority_lsms_archive_preflight_archive_documentation_member_rows,0,Documentation-like archive members found.
priority_lsms_archive_preflight_ready_dataset_rows,0,Targets ready for schema and manual raw review.
priority_lsms_archive_preflight_blocked_dataset_rows,19,Targets still blocked before schema/manual raw review.
priority_lsms_archive_preflight_requirement_rows,152,Requirement rows covered by archive/direct-file preflight.
priority_lsms_archive_preflight_blocked_requirement_rows,152,Requirement rows blocked because no archive/direct raw evidence is available.
priority_lsms_archive_preflight_handoff_readmes_written,19,Per-target archive preflight handoff files written.
priority_lsms_archive_preflight_data_write_status,blocked_no_promoted_rows,No country-wave may write to data/ from archive preflight alone.
modeling_gate_status,blocked,Models remain blocked until raw-backed promotion thresholds and accepted climate linkage pass.
priority_lsms_archive_preflight_queue_role_core_replacement_primary,2,Archive preflight target count by refocused queue role.
priority_lsms_archive_preflight_queue_role_core_selected_lsms_isa_aligned,8,Archive preflight target count by refocused queue role.
priority_lsms_archive_preflight_queue_role_replacement_backup_wave,6,Archive preflight target count by refocused queue role.
priority_lsms_archive_preflight_queue_role_sixth_country_backup_candidate,3,Archive preflight target count by refocused queue role.
priority_lsms_archive_preflight_status_blocked_no_original_archive_or_direct_files,19,Archive preflight dataset status count.
