download_rank,country,wave,idno,file_id,expected_file_name,file_description,priority_core_target,core_requirements,core_top_variable_names,current_official_file_match_status,matched_local_locations,acceptance_gate_status,post_download_acceptance_action
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F1,sect_cover_hh_w5.dta,Household Data - Cover page,1,climate_geography;survey_timing;weights_and_design,saq19__Latitude;saq19__Longitude;saq19__Timestamp;pw_w5;ea_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F2,sect1_hh_w5.dta,Household Data - Roster,1,household_person_keys,individual_id;household_id,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F4,sect3_hh_w5.dta,Household Data - Health,1,health_need_and_access;oop_health_expenditure,s3q14;s3q15;s3q05;s3q17;s3q13;s3q18;s3q17;s3q18,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F10,sect6b2_hh_w5.dta,Household Data - Food shared by non-household members (Filter Question),1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F11,sect6b3_hh_w5.dta,Household Data - Food shared by non-household members,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F12,sect6b4_hh_w5.dta,Household Data - Food consumed outside home,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F13,sect6c_hh_w5.dta,Household Data - Dietary quality,1,household_person_keys;weights_and_design,individual_id;pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F14,sect7a_hh_w5.dta,"Household Data - Nonfood expenditure, one month",1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F15,sect7b_hh_w5.dta,"Household Data - Nonfood expenditure, 12 months",1,survey_timing;weights_and_design,item_cd_12months;s7q04;pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
1,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,F16,sect8_hh_w5.dta,Household Data - Food insecurity experience scale,1,weights_and_design,pw_w5,missing_expected_official_file,,missing_required_official_file,Confirm this file or its archive member is present after placing the complete official package locally.
