design_id,country_scope,outcome,exposure,data_coverage,outcome_validity,exposure_precision,sample_size,event_rate,climate_geography_linkage_quality,identifying_variation,pre-trend/placebo credibility,model_stability,policy_relevance,ML usefulness,journal potential,go/no-go,reason
ALB_2005_LSMS_v01_M_financial_access_climate,Albania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,3,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
BEN_2021_EHCVM-2_v01_M_financial_access_climate,Benin,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
BGR_1995_IHS_v01_M_financial_access_climate,Bulgaria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,1,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
BGR_1997_IHS_v01_M_financial_access_climate,Bulgaria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,1,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
CIV_2021_EHCVM-2_v01_M_financial_access_climate,Côte d'Ivoire,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
ETH_2016-2020_FJW_v01_M_financial_access_climate,Ethiopia,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,2,4,2,0,4,3,0,0,4,0,1,no-go for estimation; go for manual raw access/schema inspection,financial-protection design not yet supported by metadata hits for both total consumption/income and OOP health spending
ETH_2018_ESS_v04_M_financial_access_climate,Ethiopia,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
ETH_2021_ESPS-W5_v02_M_financial_access_climate,Ethiopia,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
GNB_2021_EHCVM-2_v01_M_financial_access_climate,Guinea-Bissau,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",2,5,4,5,0,4,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
JAM_1997_SLC_v01_M_financial_access_climate,Jamaica,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",2,5,3,5,0,3,1,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
KGZ_1993_KMPS_v01_M_financial_access_climate,Kyrgyz Republic,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,3,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
MLI_2021_EHCVM-2_v01_M_financial_access_climate,Mali,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,2,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
MWI_2004_IHS-II_v01_M_financial_access_climate,Malawi,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,1,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
MWI_2007-2009_MTM_v01_M_financial_access_climate,Malawi,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
NER_2021_EHCVM-2_v01_M_financial_access_climate,Niger,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
NGA_2010_GHSP-W1_v03_M_financial_access_climate,Nigeria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
NGA_2011-2016_YouWiNIE_v02_M_financial_access_climate,Nigeria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,2,3,3,0,3,2,0,0,4,0,1,no-go for estimation; go for manual raw access/schema inspection,financial-protection design not yet supported by metadata hits for both total consumption/income and OOP health spending
NGA_2012_GHSP-W2_v02_M_financial_access_climate,Nigeria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
NGA_2015_GHSP-W3_v02_M_financial_access_climate,Nigeria,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
NPL_2010_LSS-III_v01_M_financial_access_climate,Nepal,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,3,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
SEN_2021_EHCVM-2_v01_M_financial_access_climate,Senegal,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
SLE_2011_SLIHS_v01_M_financial_access_climate,Sierra Leone,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TGO_2021_EHCVM-2_v01_M_financial_access_climate,Togo,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TLS_2007_TLSLS_v01_M_financial_access_climate,Timor-Leste,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",2,5,3,5,0,3,3,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2008_NPS-R1_v03_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",2,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2010_NPS-R2_v03_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2012_NPS-R3_v01_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2014_NPS-R4_v03_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2014_NPS-R4_v03_M_v03_A_EXT_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2019_NPS-SDD_v06_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,2,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
TZA_2020_NPS-R5_v02_M_financial_access_climate,Tanzania,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
UGA_2012_SAGE-BL_v01_M_financial_access_climate,Uganda,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
UGA_2013_SAGE-ML_v01_M_financial_access_climate,Uganda,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
UGA_2014_SAGE-EL_v01_M_financial_access_climate,Uganda,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,4,5,0,4,3,0,0,4,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
VNM_2002_VHLSS_v01_M_financial_access_climate,Viet Nam,financial hardship plus access outcomes if raw variables verify,"pre-interview CHIRPS/ERA5/NASA POWER climate anomaly, not yet extracted",5,5,3,5,0,3,2,0,0,3,0,2,no-go for estimation; go for manual raw access/schema inspection,"metadata-only score; raw microdata access, event rates, climate linkage, and placebo tests are still missing"
current_alb2002_temp_linked_candidate_financial_access_climate,Albania ALB_2002 only,"Temp-only CHE10/CHE25-or-access candidate, both-failure candidate, and coping candidate; not promoted final outcomes",NASA POWER fallback district-centroid within-candidate 1/3/6/12 month rainfall and temperature diagnostics; not CHIRPS/ERA5 historical anomalies,4,3,1,3,4,1,1,0,1,3,1,1,no-go for estimation; go for source/boundary/baseline/outcome-resolution work,Temp candidate is mechanically rich but not promoted: linked_rows=14396; households=3599; windows=4; combined_stress=3092; descriptive_cells=108; harmonized_ready=0; outcome_ready=0; climate_ready=0; data_write_ready=0.
current_multi_country_financial_protection_main,multi-country,"Official SDG 3.8.2 plus CHE10/CHE25 financial-protection outcomes, preferred with access outcomes",Primary CHIRPS rainfall and ERA5-Land temperature historical anomalies at verified GPS/admin geography,2,1,0,2,0,0,0,0,0,4,0,1,no-go for main multi-country paper under current evidence,"Main go/no-go gates fail because promoted data_files=4, promoted_rows=4, failed_no_go_rules=3, and no value-verified six-country financial-protection sample exists."
current_alb2002_descriptive_resource_candidate,Albania ALB_2002 only,Candidate UHC outcome-rate screen for audit readability only,Diagnostic climate flags by household-window; no accepted climate exposure,3,2,1,3,4,1,0,0,0,2,0,1,go for internal audit screen only; no-go for publishable descriptive estimates,"Candidate screen has cell_rows=108, CHE10-or-access households=2004, CHE25-or-access households=1889, but descriptive_data_write_ready=0."
