metric,value,interpretation
alb2005_timing_geography_source_search_rows,11,Rows in the ALB_2005 timing/geography source-search audit.
alb2005_timing_geography_source_search_target_concepts,5,Climate-linkage concepts searched locally.
alb2005_timing_geography_source_search_local_files_scanned,46,Local ALB_2005 raw/schema file rows scanned.
alb2005_timing_geography_source_search_local_variables_scanned,1187,Local ALB_2005 raw-variable rows scanned.
alb2005_timing_geography_source_search_questionnaire_workbooks_scanned,2,Local ALB_2005 questionnaire workbooks scanned.
alb2005_timing_geography_source_search_raw_targets_with_hits,4,Target concepts with raw-schema phrase hits.
alb2005_timing_geography_source_search_questionnaire_targets_with_hits,5,Target concepts with questionnaire phrase hits.
alb2005_timing_geography_source_search_legacy_questionnaire_timing_rows,83,Legacy questionnaire timing/control rows observed upstream.
alb2005_timing_geography_source_search_verified_household_timing_rows,0,Verified ALB_2005 household interview timing rows; should remain zero.
alb2005_timing_geography_source_search_coordinate_candidate_rows,0,Raw coordinate/GPS candidate rows; should remain zero.
alb2005_timing_geography_source_search_partial_district_variable_rows,2,Partial current district variables observed upstream.
alb2005_timing_geography_source_search_partial_district_name_nonmissing_rows,1899,Nonmissing partial district-name rows observed upstream.
alb2005_timing_geography_source_search_partial_district_code_nonmissing_rows,329,Nonmissing partial district-code rows observed upstream.
alb2005_timing_geography_source_search_required_value_key_timing_rows,0,Verified interview timing rows observed in required value/key audit; should remain zero.
alb2005_timing_geography_source_search_required_value_key_coordinate_rows,0,Coordinate-ready rows observed in required value/key audit; should remain zero.
alb2005_timing_geography_source_search_geography_crosswalk_ready_rows,0,Rows promoted to geography crosswalk readiness by this audit; intentionally zero.
alb2005_timing_geography_source_search_interview_timing_ready_rows,0,Rows promoted to interview timing readiness by this audit; intentionally zero.
alb2005_timing_geography_source_search_climate_linkage_ready_rows,0,Rows promoted to climate linkage after this audit; intentionally zero.
alb2005_timing_geography_source_search_current_decision,blocked_alb2005_timing_geography_source_search_not_ready,Current fail-closed decision for ALB_2005 timing/geography source-search evidence.
