bundle_rank,country,survey_name,wave,idno,climate_plan_status,requirement_rows,metadata_supported_requirement_rows,raw_verified_requirement_rows,source_ready_requirement_rows,blocked_requirement_rows,readiness_status,next_action
1,Albania,Living Standards Measurement Survey 2005,2005,ALB_2005_LSMS_v01_M,ready_for_climate_linkage_input_build,11,11,11,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
2,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
3,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
4,Jamaica,Survey of Living Conditions 1997,1997,JAM_1997_SLC_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
5,Kyrgyz Republic,Multipurpose Poverty Survey 1993,1993,KGZ_1993_KMPS_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
6,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
7,Malawi,Second Integrated Household Survey 2004-2005,2004-2005,MWI_2004_IHS-II_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
8,Nepal,"Living Standards Survey 2010-2011, Third Round",2010-2011,NPL_2010_LSS-III_v01_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
9,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
10,Nigeria,"General Household Survey, Panel  2015-2016, Wave 3",2015-2016,NGA_2015_GHSP-W3_v02_M,metadata_ready_raw_unverified,11,11,0,11,11,blocked_until_raw_timing_geography_and_validation_inputs,"place raw files, inspect timing/geography variables, document geolocation quality, then extract pilot climate values"
