country,wave,idno,member,variable_name,variable_label,variable_role,raw_value,value_label,raw_count,construct_mapping,proposed_indicator_use,denominator_rule,skip_rule,acceptance_status,remaining_blocker
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d04,During the past 2 weeks have you suffered an illness/injury,acute_illness_or_injury_need,2,No,36739,acute_illness_or_injury_need_no,candidate_negative_or_no_event_signal,exclude from positive numerator; may remain in denominator depending construct,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final denominator and skip/universe rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d04,During the past 2 weeks have you suffered an illness/injury,acute_illness_or_injury_need,1,Yes,14143,acute_illness_or_injury_need_yes,candidate_denominator_or_event_signal,include when the relevant construct is used,binary yes/no field; check upstream universe before use,mapping_ready_policy_pending,Needs final construct inclusion rule and universe confirmation.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d04,During the past 2 weeks have you suffered an illness/injury,acute_illness_or_injury_need,Sysmiss,Sysmiss,410,acute_illness_or_injury_need_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,Sysmiss,Sysmiss,37181,care_seeking_action_problem_1_system_missing,missing_or_skip_review,exclude unless skip/universe rule requires structural missing,requires upstream skip/universe review,requires_manual_review,System missing values require skip/universe classification.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,9,Went to local grocery for medicine,5291,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,5,Sought treatment at gvt health fac.,4298,formal_care_sought_candidate,candidate_care_sought_signal,illness/injury respondents with formal facility care,should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final provider grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,1,"Did nothing, not serious",1260,no_care_no_serious_need_or_other_no_action_candidate,not_financial_access_failure_by_default,illness/injury respondents; classify separately from no-money barrier,should be conditional on d04==Yes; avoid double-counting d07a and d07b,mapping_ready_policy_pending,Need final nonfinancial/no-need classification rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,7,Sought treatment atpvt health facility,791,formal_care_sought_candidate,candidate_care_sought_signal,illness/injury respondents with formal facility care,should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final provider grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,2,"Did nothing, no money",610,forgone_care_financial_barrier_candidate,candidate_access_failure_numerator,illness/injury respondents with no-money no-action response,should be conditional on d04==Yes; avoid double-counting d07a and d07b,mapping_ready_double_count_policy_pending,Need final double-count policy across problem 1 and problem 2 actions.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,10,Sought treatment with trad. healer,479,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,6,Sought treatment at church/mission facility,461,care_seeking_action_problem_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,4,Personally known remedies,393,care_seeking_action_problem_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,3,Used medicine had in stock,365,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,8,Went to local pharmacy,55,care_seeking_action_problem_1_review,context_or_review_only,retain for manual construct review,review raw universe and upstream skips before use,requires_manual_review,No automatic construct mapping accepted.
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,sec_d.dta,d07a,What action did you take to find relief for illness:Problem1,care_seeking_action_problem_1,11,Sought treatment with faith healer,54,informal_or_self_care_candidate,candidate_care_action_not_formal_facility,"illness/injury respondents with self-care, medicine purchase, or traditional care",should be conditional on d04==Yes; care-seeking categories may be multi-response,mapping_ready_policy_pending,Need final formal-vs-informal care grouping rule.
