outcome_family,outcome_variable_name,raw_or_constructed,exact_inputs,period_available,level_of_observation,interpretation,policy_proximity,should_be_primary,limitations,source_evidence
Staffing behavior / staffing reliability,zero_rn_day_share,constructed,Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,2017Q1 onward,facility-day aggregated to facility-period,Share of resident days/weekend days with no RN hours.,close staffing reliability,yes,Sensitive to reporting artifacts and 2021Q4 truncation; not resident clinical quality.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Staffing behavior / staffing reliability,rn_lt8h_day_share,constructed,Hrs_RNDON; Hrs_RNadmin; Hrs_RN; MDScensus,2017Q1 onward,facility-day aggregated to facility-period,Share of days with RN hours below eight.,close staffing reliability,yes,Threshold is research-defined and should be justified.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Staffing behavior / staffing reliability,weekend_p10_total_hprd,constructed,weekend total nurse hours; MDScensus,2017Q1 onward,facility-weekend/day aggregated,Lower-tail weekend staffing intensity.,directly targeted by July weekend measure,yes,Extreme values need cleaning rules.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Staffing behavior / staffing reliability,worst_weekend_total_hprd,constructed,weekend total nurse hours; MDScensus,2017Q1 onward,facility-period,Minimum weekend staffing intensity.,directly targeted by July weekend measure,yes,Can be noisy; pair with percentile outcomes.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Staffing mix / contract labor / reallocation,contract_share,constructed,nursing *_ctr fields; total nursing hours,2017Q1 onward,facility-day or facility-period,Reliance on contract labor among nursing hours.,staffing mix not direct rating score,no,"Useful mechanism, not primary quality outcome.",PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Staffing mix / contract labor / reallocation,weekend_share_of_total_hours,constructed,WorkDate; total nurse hours,2017Q1 onward,facility-period,Allocation of nurse hours toward weekends.,metric-salience/reallocation,secondary,Interpret with total hours to distinguish reallocation from expansion.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Demand / operation,avg_daily_census,raw/constructed from MDScensus,MDScensus,2017Q1 onward,facility-day aggregated,Resident census / demand scale.,not direct staffing policy outcome,no,Can be affected by occupancy/demand shocks.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Ratings,staffing_rating,direct official ProviderInfo field,Staffing Rating,Provider snapshots,facility-snapshot,Public staffing star label.,direct policy label,secondary,Rating outcome is partly mechanical under the July formula.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Ratings,overall_rating,direct official ProviderInfo field,Overall Rating,Provider snapshots,facility-snapshot,Overall public star label.,formula-mediated public label,secondary,"Formula-induced changes are labels, not clinical quality.",PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Ratings,rn_staffing_rating,direct official ProviderInfo field where present,RN Staffing Rating,pre-July Provider snapshots; absent in audited July onward snapshots,facility-snapshot,Separate RN staffing star under old method.,old-method rating context,secondary,Not the July six-measure score.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Deficiencies / downstream quality,health_deficiency_score,direct official ProviderInfo field,Rating Cycle 1/2/3 Total Health Score; Total Weighted Health Survey Score,Provider snapshots,facility-snapshot,Inspection/survey deficiency score.,downstream/secondary,no_primary,Not immediate staffing behavior; timing and survey cycles complicate causal attribution.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
Deficiencies / downstream quality,quality_measure_rating,direct official ProviderInfo field,QM Rating,Provider snapshots,facility-snapshot,Quality measure star domain.,secondary public quality domain,no_primary,Do not describe as resident clinical quality improvement without separate clinical outcome evidence.,PBJ Daily raw fields; Provider Data Catalog ProviderInfo fields; project V2/V3 outcome scripts
