period_id,source_file_or_doc,exact_raw_variable_name,exact_label_or_description,job_code_if_applicable,staff_type_if_applicable,unit,frequency_or_unit_of_observation,first_available_period_verified,last_available_period_verified,appears_before_jan2022,appears_after_jan2022,notes,source_evidence
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,PROVNUM,Medicare provider number,,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,PROVNAME,Provider name,,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,CITY,Provider city,,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,STATE,Postal abbreviation for state,,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,COUNTY_NAME,"Name of provider county, unique within state",,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,COUNTY_FIPS,"FIPS code for provider county, unique within state",,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,CY_Qtr,Calendar quarter,,,,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,WorkDate,Day for reported hours,,,YYYYMMDD,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,MDScensus,Resident census from MDS,,,resident count,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNDON,Total hours for RN Director of Nursing,5,RN director of nursing,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNDON_emp,Employee hours for RN Director of Nursing,5,RN director of nursing,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNDON_ctr,Contract hours for RN Director of Nursing,5,RN director of nursing,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNadmin,Total hours for RN with administrative duties,6,RN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNadmin_emp,Employee hours for RN with administrative duties,6,RN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RNadmin_ctr,Contract hours for RN with administrative duties,6,RN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RN,Total hours for registered nurse,7,registered nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RN_emp,Employee hours for registered nurse,7,registered nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_RN_ctr,Contract hours for registered nurse,7,registered nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPNadmin,Total hours for LPN with administrative duties,8,LPN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPNadmin_emp,Employee hours for LPN with administrative duties,8,LPN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPNadmin_ctr,Contract hours for LPN with administrative duties,8,LPN administrative,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPN,Total hours for licensed practical/vocational nurse,9,licensed practical/vocational nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPN_emp,Employee hours for licensed practical/vocational nurse,9,licensed practical/vocational nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_LPN_ctr,Contract hours for licensed practical/vocational nurse,9,licensed practical/vocational nurse,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_CNA,Total hours for certified nurse aide,10,certified nurse aide,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_CNA_emp,Employee hours for certified nurse aide,10,certified nurse aide,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_CNA_ctr,Contract hours for certified nurse aide,10,certified nurse aide,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_NAtrn,Total hours for nurse aide in training,11,nurse aide trainee,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_NAtrn_emp,Employee hours for nurse aide in training,11,nurse aide trainee,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_NAtrn_ctr,Contract hours for nurse aide in training,11,nurse aide trainee,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_MedAide,Total hours for medication aide/technician,12,medication aide/technician,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
2017Q1_to_current,CMS PBJ Daily Nurse Staffing API data-viewer and PBJ PUF April 2022 technical specifications,Hrs_MedAide_emp,Employee hours for medication aide/technician,12,medication aide/technician,hours,facility-day,2017Q1,current CMS API/sample or PBJ PUF documentation: PBJ daily PUF official fields,yes,yes,Raw official PBJ daily nursing public-use field; not a project-constructed HPRD or outcome.,CMS PBJ Daily data-viewer headers; PBJ PUF April 2022 technical specifications Table 1; CMS PBJ staffing data submission page
