action_rank,dataset_idno,dataset,local_target_folder,expected_file_name,module_priority_role,candidate_categories,candidate_harmonized_variables,candidate_variable_count,candidate_raw_variables_examples,expected_file_status,present_matching_files,verification_action
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,community_all,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_not_sought_reason;coping_borrowed;education;interview_date_or_survey_month;pid;psu_or_cluster_id;reason_not_sought_distance;rural;sex,135,m06q05;m2_q05_1;m2_q05_2;m2_q05_3;m2_q05_4;m2_q05_5;m2_q05_6;m3a02_01;m3a02_02;m3a02_03;m3a02_04;m3a02_05,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,community_dups,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;age;agriculture_livelihood;asset_index_or_asset_variable;care_not_sought_reason;coping_borrowed;education;interview_date_or_survey_month;pid;psu_or_cluster_id;reason_not_sought_distance;rural;sex,135,m06q05;m2_q05_1;m2_q05_2;m2_q05_3;m2_q05_4;m2_q05_5;m2_q05_6;m3a02_01;m3a02_02;m3a02_03;m3a02_04;m3a02_05,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,agriculture_hhlevel,core_main_sample_module_candidate,demographics;geography;health_need_access;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;asset_index_or_asset_variable;coping_borrowed;hhid;household_weight_or_person_weight;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;rural;strata,91,fallow_expmachines;fallow_expseeds;fallow_toofar;cropland_b;distcode;districtmarket_cropsold;districtmarket_treesold;fallow_b;hhplots_b;ilandcul_b;ilandlen_b;irrigated_b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,healthA_cl,core_main_sample_module_candidate,demographics;health_expenditure;health_need_access;shocks;survey_design,age;hhid;illness_or_injury_need;oop_health_expenditure;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,49,m9a_q16;m9a_q20;m9a_q22;m9a_q23;m9a_q28;m9a_q32;m9a_q34;m9a_q35;m9a_q38;m9a_q41;m9a_q42;m9a_q43,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,dwellingA_cl,core_main_sample_module_candidate,demographics;health_need_access;shocks;survey_design,asset_index_or_asset_variable;hhid;psu_or_cluster_id;reason_not_sought_cost;reason_not_sought_distance;shock_module_variable,31,m13a_q13a;m13a_q13b;m13a_q13c;m13a_q34b;m13a_q34e;hhid;m0_q00;m0_q01;m13a_q01;m13a_q04;m13a_q06;m13a_q07,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,dwellingB_cl,core_main_sample_module_candidate,demographics;health_need_access;shocks;survey_design,asset_index_or_asset_variable;care_not_sought_reason;hhid;psu_or_cluster_id;reason_not_sought_distance;shock_module_variable,26,m13b_q04;m13b_q08;m13b_q09;m13b_q26;hhid;m0_q00;m0_q01;m13b_q03;m13b_q12a;m13b_q12b;m13b_q12c;m13b_q12d,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,poverty,core_main_sample_module_candidate,consumption;demographics;geography;survey_design,admin1_or_admin2;asset_index_or_asset_variable;education;food_consumption;hhid;household_size;household_weight_or_person_weight;nonfood_consumption;psu_or_cluster_id;rural;strata;total_consumption_or_income,19,food;nfood05;nfood05;nfoodc;nfoodc;totcons;totcons05;area;m0_ur;region;hhid;m0_stratum,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,educationB_cl,core_main_sample_module_candidate,demographics;health_need_access;survey_design,age;asset_index_or_asset_variable;care_not_sought_reason;education;hhid;psu_or_cluster_id;reason_not_sought_distance,16,m2b_q10;m2b_q20;m2b_q22;m2b_q23;m2b_q24;m2b_q25;hhid;m0_q00;m0_q01;m2b_q05;m2b_q12;m2b_q20,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,fertility_cl,core_main_sample_module_candidate,demographics;health_need_access;survey_design,age;care_not_sought_reason;care_sought;hhid;household_weight_or_person_weight;pid;psu_or_cluster_id,15,m10_q06;m10_q07;m10_q07;m10_q08;m10_q10a;m10_q10b;hhid;m0_q00;m0_q01;m10_q00;m10_q13a;m10_q13b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,household_rosterA_cl,core_main_sample_module_candidate,demographics;survey_design,age;education;hhid;psu_or_cluster_id;sex,15,hhid;m0_q00;m0_q01;m1a_q02;m1a_q13;m1a_q15;m1a_q16;m1a_q19;m1a_q21;m1a_q22;m1a_q4d;m1a_q4m,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,migrationA_cl,core_main_sample_module_candidate,geography;survey_design,admin1_or_admin2;hhid;psu_or_cluster_id,13,m6a_q02;m6a_q03;m6a_q08;m6a_q09;m6a_q14;m6a_q15;m6a_q19;m6a_q20;m6a_q23;m6a_q24;hhid;m0_q00,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,migrationC_cl,core_main_sample_module_candidate,demographics;geography;survey_design,admin1_or_admin2;age;education;hhid;pid;psu_or_cluster_id;sex,12,m6c_q15;m6c_q16;m6c_q46;m6c_q47;hhid;m0_q00;m0_q01;m6c_q00;m6c_q63a;m6c_q02;m6c_q03;m6c_q05,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,filters,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,11,p11_q5a;p11_q5b;p0_q00;p0_q01;p1_q01;p1_q7b;p2_q01;p3_q01;p3_q10;p4_q01;p5_q01,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,identification_cl,core_main_sample_module_candidate,geography;survey_design,admin1_or_admin2;hhid;interview_date_or_survey_month;psu_or_cluster_id;rural;strata,9,m0_q1a;m0_q1b;m0_ur;hhid;m0_q00;m0_q01;m0_q8m;m0_stratum;oversample,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part1_roster_a,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,9,p1a_q03;p1a_q05;hhid;p0_q00;p0_q01;p1a_q00;p1a_q02;p1a_q12a;p1a_q12b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part1_roster_b,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,9,p1b_q03;p1b_q05;hhid;p0_q00;p0_q01;p1b_q00;p1b_q02;p1b_q12a;p1b_q12b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,id_agric_household_cl,core_main_sample_module_candidate,shocks;survey_design,agriculture_livelihood;hhid;psu_or_cluster_id,8,hhid;m0_q00;m0_q01;m17_q00;m17_q03;m17_q04;m17_q6a;m17_q6b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part2_roster,core_main_sample_module_candidate,geography;shocks;survey_design,admin1_or_admin2;agriculture_livelihood;hhid;psu_or_cluster_id,7,p2_q03;p2_q05;hhid;p0_q00;p0_q01;p2_q00;p2_q02,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part4_roster,core_main_sample_module_candidate,demographics;shocks;survey_design,age;agriculture_livelihood;hhid;psu_or_cluster_id,7,hhid;p0_q00;p0_q01;p4_q11;p4_q00;p4_q2a;p4_q2b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,filters_cl,core_main_sample_module_candidate,shocks;survey_design,agriculture_livelihood;hhid;psu_or_cluster_id,6,hhid;m0_q00;m0_q01;m17_q01;m17_q02;m17_q07,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,migrationD2_cl,core_main_sample_module_candidate,demographics;survey_design,age;hhid;pid;psu_or_cluster_id;sex,6,hhid;m0_q00;m0_q01;m6d_q13a;m6d_q14;m6d_q15,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,migrationE_cl,core_main_sample_module_candidate,shocks;survey_design,hhid;psu_or_cluster_id;shock_module_variable,6,hhid;m0_q00;m0_q01;m6e_q00;m6e_q01;m6e_q0a,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part3_roster,core_main_sample_module_candidate,shocks;survey_design,agriculture_livelihood;hhid;psu_or_cluster_id,6,hhid;p0_q00;p0_q01;p3_q00;p3_q2a;p3_q2b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,healthB_cl,core_main_sample_module_candidate,health_need_access;survey_design,care_not_sought_reason;hhid;psu_or_cluster_id,5,m9b_q05;m9b_q06;hhid;m0_q00;m0_q01,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,labourC_cl,core_main_sample_module_candidate,health_need_access;shocks;survey_design,agriculture_livelihood;hhid;psu_or_cluster_id;reason_not_sought_distance,5,m4c_q23;hhid;m0_q00;m0_q01;m4c_q38,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,part11_roster,core_main_sample_module_candidate,demographics;survey_design,age;hhid;psu_or_cluster_id;sex,5,hhid;p0_q00;p0_q01;p11_q6b;p11_q6c,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,social_capital_cl,core_main_sample_module_candidate,demographics;survey_design,education;hhid;psu_or_cluster_id;sex,5,hhid;m0_q00;m0_q01;m16_q3b;m16_q4b,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,weights_psu,core_main_sample_module_candidate,geography;survey_design,admin1_or_admin2;household_weight_or_person_weight;psu_or_cluster_id;rural,5,commune;district;urban;final_weights;psu,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,bookchecklist_cl,core_main_sample_module_candidate,survey_design,hhid;pid;psu_or_cluster_id,4,hhid;ma_q00;ma_q01;mad_q00,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
1,ALB_2005_LSMS_v01_M,Albania - Living Standards Measurement Survey 2005 (2005; ALB_2005_LSMS_v01_M),temp/raw_downloads/ALB_2005_LSMS_v01_M/,bookdaily_cl,core_main_sample_module_candidate,survey_design,hhid;pid;psu_or_cluster_id,4,hhid;ma_q00;ma_q01;maa_q01,archive_present_needs_schema_extraction,temp/raw_downloads/ALB_2005_LSMS_v01_M/lsms2005en.rar,"inspect raw schema and verify units, labels, missing codes, recall periods, levels, and merge keys before harmonization"
