outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,diagnostic
ownership_for_profit,155,20,0.0,2443,0.03612738616343839,0.030828986017438664,0.24136602479943003,0.8591682419659735,0.8527075812274368,covariate_balance
certified_beds,155,20,0.0,2443,10.202896747504047,4.902016652288825,0.0375043794646468,120.3109640831758,117.9898916967509,covariate_balance
avg_residents_per_day,155,20,0.0,2443,10.423670224649966,4.091471202414688,0.010905736026268542,87.24206049149339,87.89935018050542,covariate_balance
health_inspection_rating,155,20,0.0,2418,0.006357627162554002,0.10250579110203756,0.9505503458773485,2.516714422158548,2.5506929248723558,covariate_balance
qm_rating,155,20,0.0,2416,0.011899218492967985,0.10551775275184465,0.9102224262621874,3.5167464114832536,3.5893508388037927,covariate_balance
pre_weekend_rn_lt8_day_share,155,20,0.0,2438,-0.01100017939811789,0.01001835163164373,0.2723118169059733,0.07118182260497251,0.05905865569882911,covariate_balance
pre_zero_rn_day_share,155,20,0.0,2438,-0.004492159111513815,0.0037607056882940026,0.2323992261915473,0.012784942677278293,0.008830315710185024,covariate_balance
pre_weekend_p10_total_hprd,155,20,0.0,2438,0.038969965961561236,0.037447199345939534,0.29813470471619596,2.5612612066057925,2.6782906793345123,covariate_balance
ownership_for_profit,155,20,0.0,2443,0.03612738616343839,0.030828986017438664,0.24136602479943003,0.8591682419659735,0.8527075812274368,covariate_balance
certified_beds,155,20,0.0,2443,10.202896747504047,4.902016652288825,0.0375043794646468,120.3109640831758,117.9898916967509,covariate_balance
avg_residents_per_day,155,20,0.0,2443,10.423670224649966,4.091471202414688,0.010905736026268542,87.24206049149339,87.89935018050542,covariate_balance
health_inspection_rating,155,20,0.0,2418,0.006357627162554002,0.10250579110203756,0.9505503458773485,2.516714422158548,2.5506929248723558,covariate_balance
qm_rating,155,20,0.0,2416,0.011899218492967985,0.10551775275184465,0.9102224262621874,3.5167464114832536,3.5893508388037927,covariate_balance
pre_weekend_rn_lt8_day_share,155,20,0.0,2438,-0.01100017939811789,0.01001835163164373,0.2723118169059733,0.07118182260497251,0.05905865569882911,covariate_balance
pre_zero_rn_day_share,155,20,0.0,2438,-0.004492159111513815,0.0037607056882940026,0.2323992261915473,0.012784942677278293,0.008830315710185024,covariate_balance
pre_weekend_p10_total_hprd,155,20,0.0,2438,0.038969965961561236,0.037447199345939534,0.29813470471619596,2.5612612066057925,2.6782906793345123,covariate_balance
ownership_for_profit,155,20,0.0,2443,0.03612738616343839,0.030828986017438664,0.24136602479943003,0.8591682419659735,0.8527075812274368,covariate_balance
certified_beds,155,20,0.0,2443,10.202896747504047,4.902016652288825,0.0375043794646468,120.3109640831758,117.9898916967509,covariate_balance
avg_residents_per_day,155,20,0.0,2443,10.423670224649966,4.091471202414688,0.010905736026268542,87.24206049149339,87.89935018050542,covariate_balance
health_inspection_rating,155,20,0.0,2418,0.006357627162554002,0.10250579110203756,0.9505503458773485,2.516714422158548,2.5506929248723558,covariate_balance
qm_rating,155,20,0.0,2416,0.011899218492967985,0.10551775275184465,0.9102224262621874,3.5167464114832536,3.5893508388037927,covariate_balance
pre_weekend_rn_lt8_day_share,155,20,0.0,2438,-0.01100017939811789,0.01001835163164373,0.2723118169059733,0.07118182260497251,0.05905865569882911,covariate_balance
pre_zero_rn_day_share,155,20,0.0,2438,-0.004492159111513815,0.0037607056882940026,0.2323992261915473,0.012784942677278293,0.008830315710185024,covariate_balance
pre_weekend_p10_total_hprd,155,20,0.0,2438,0.038969965961561236,0.037447199345939534,0.29813470471619596,2.5612612066057925,2.6782906793345123,covariate_balance
ownership_for_profit,155,20,0.0,2443,0.03612738616343839,0.030828986017438664,0.24136602479943003,0.8591682419659735,0.8527075812274368,covariate_balance
certified_beds,155,20,0.0,2443,10.202896747504047,4.902016652288825,0.0375043794646468,120.3109640831758,117.9898916967509,covariate_balance
avg_residents_per_day,155,20,0.0,2443,10.423670224649966,4.091471202414688,0.010905736026268542,87.24206049149339,87.89935018050542,covariate_balance
health_inspection_rating,155,20,0.0,2418,0.006357627162554002,0.10250579110203756,0.9505503458773485,2.516714422158548,2.5506929248723558,covariate_balance
qm_rating,155,20,0.0,2416,0.011899218492967985,0.10551775275184465,0.9102224262621874,3.5167464114832536,3.5893508388037927,covariate_balance
pre_weekend_rn_lt8_day_share,155,20,0.0,2438,-0.01100017939811789,0.01001835163164373,0.2723118169059733,0.07118182260497251,0.05905865569882911,covariate_balance
pre_zero_rn_day_share,155,20,0.0,2438,-0.004492159111513815,0.0037607056882940026,0.2323992261915473,0.012784942677278293,0.008830315710185024,covariate_balance
pre_weekend_p10_total_hprd,155,20,0.0,2438,0.038969965961561236,0.037447199345939534,0.29813470471619596,2.5612612066057925,2.6782906793345123,covariate_balance
ownership_for_profit,155,20,0.0,2443,0.03612738616343839,0.030828986017438664,0.24136602479943003,0.8591682419659735,0.8527075812274368,covariate_balance
certified_beds,155,20,0.0,2443,10.202896747504047,4.902016652288825,0.0375043794646468,120.3109640831758,117.9898916967509,covariate_balance
avg_residents_per_day,155,20,0.0,2443,10.423670224649966,4.091471202414688,0.010905736026268542,87.24206049149339,87.89935018050542,covariate_balance
health_inspection_rating,155,20,0.0,2418,0.006357627162554002,0.10250579110203756,0.9505503458773485,2.516714422158548,2.5506929248723558,covariate_balance
qm_rating,155,20,0.0,2416,0.011899218492967985,0.10551775275184465,0.9102224262621874,3.5167464114832536,3.5893508388037927,covariate_balance
pre_weekend_rn_lt8_day_share,155,20,0.0,2438,-0.01100017939811789,0.01001835163164373,0.2723118169059733,0.07118182260497251,0.05905865569882911,covariate_balance
pre_zero_rn_day_share,155,20,0.0,2438,-0.004492159111513815,0.0037607056882940026,0.2323992261915473,0.012784942677278293,0.008830315710185024,covariate_balance
pre_weekend_p10_total_hprd,155,20,0.0,2438,0.038969965961561236,0.037447199345939534,0.29813470471619596,2.5612612066057925,2.6782906793345123,covariate_balance
ownership_for_profit,205,20,0.0,2798,-0.040332502453271635,0.03048128373913729,0.18588077006460435,0.8061708860759493,0.7907431551499348,covariate_balance
certified_beds,205,20,0.0,2798,-3.5753894817310012,4.814171154674898,0.4577377688745585,115.81962025316456,109.80117340286832,covariate_balance
avg_residents_per_day,205,20,0.0,2798,0.2626794603214055,3.8154972807645735,0.9451176012895282,85.03924050632912,80.89406779661017,covariate_balance
health_inspection_rating,205,20,0.0,2780,-0.1372086255935009,0.09797290043143728,0.16148279991024594,2.732484076433121,2.713254593175853,covariate_balance
qm_rating,205,20,0.0,2779,-0.0014431034479718769,0.09285398657769811,0.9876011799668316,3.7195219123505976,3.765748031496063,covariate_balance
pre_weekend_rn_lt8_day_share,205,20,0.0,2795,-0.011844573867763926,0.008889521997209335,0.18283110013958592,0.05186618716729652,0.04181092879723016,covariate_balance
pre_zero_rn_day_share,205,20,0.0,2795,-0.0046228534907575185,0.0031423206567987574,0.14136084032181895,0.009692119952748355,0.007485641487598434,covariate_balance
pre_weekend_p10_total_hprd,205,20,0.0,2795,0.02245339612550882,0.039642699422385554,0.5711713574696318,2.82264462233319,2.933244975886453,covariate_balance
ownership_for_profit,205,20,0.0,2798,-0.040332502453271635,0.03048128373913729,0.18588077006460435,0.8061708860759493,0.7907431551499348,covariate_balance
certified_beds,205,20,0.0,2798,-3.5753894817310012,4.814171154674898,0.4577377688745585,115.81962025316456,109.80117340286832,covariate_balance
avg_residents_per_day,205,20,0.0,2798,0.2626794603214055,3.8154972807645735,0.9451176012895282,85.03924050632912,80.89406779661017,covariate_balance
health_inspection_rating,205,20,0.0,2780,-0.1372086255935009,0.09797290043143728,0.16148279991024594,2.732484076433121,2.713254593175853,covariate_balance
qm_rating,205,20,0.0,2779,-0.0014431034479718769,0.09285398657769811,0.9876011799668316,3.7195219123505976,3.765748031496063,covariate_balance
pre_weekend_rn_lt8_day_share,205,20,0.0,2795,-0.011844573867763926,0.008889521997209335,0.18283110013958592,0.05186618716729652,0.04181092879723016,covariate_balance
pre_zero_rn_day_share,205,20,0.0,2795,-0.0046228534907575185,0.0031423206567987574,0.14136084032181895,0.009692119952748355,0.007485641487598434,covariate_balance
