snapshot,post_july,cutoff_type,cutoff,just_below_5pts,just_above_5pts,above_share,binomial_p
2022-01-27,0,true,155,276,534,0.6592592592592592,8.411323111701973e-20
2022-01-27,0,true,205,334,661,0.664321608040201,1.804641516896163e-25
2022-01-27,0,true,255,285,554,0.6603098927294399,1.0276732604075766e-20
2022-01-27,0,true,320,196,274,0.5829787234042553,0.00037208383668774664
2022-01-27,0,placebo,180,332,548,0.6227272727272727,3.2454911359967625e-13
2022-01-27,0,placebo,230,342,549,0.6161616161616161,4.150727789853744e-12
2022-01-27,0,placebo,285,256,419,0.6207407407407407,3.724253119843701e-10
2022-01-27,0,placebo,345,167,242,0.5916870415647921,0.0002440623132972888
2022-04-27,0,true,155,268,572,0.680952380952381,3.9991911915651986e-26
2022-04-27,0,true,205,316,608,0.658008658008658,4.708978864901121e-22
2022-04-27,0,true,255,343,489,0.5877403846153846,4.671718661679286e-07
2022-04-27,0,true,320,198,265,0.572354211663067,0.0021266117748736492
2022-04-27,0,placebo,180,322,607,0.6533907427341227,5.8870582754849265e-21
2022-04-27,0,placebo,230,343,572,0.6251366120218579,3.5460062221451926e-14
2022-04-27,0,placebo,285,235,424,0.6433990895295902,1.659884813863578e-13
2022-04-27,0,placebo,345,153,220,0.5898123324396782,0.0006134517697632295
2022-07-27,1,true,155,296,497,0.626733921815889,9.334249645984925e-13
2022-07-27,1,true,205,324,577,0.6403995560488346,2.8913637978532845e-17
2022-07-27,1,true,255,309,479,0.6078680203045685,1.5109035035981843e-09
2022-07-27,1,true,320,207,255,0.551948051948052,0.028659830202996957
2022-07-27,1,placebo,180,352,547,0.6084538375973304,8.29270991207033e-11
2022-07-27,1,placebo,230,305,483,0.6129441624365483,2.4248914333086e-10
2022-07-27,1,placebo,285,246,398,0.6180124223602484,2.269149289336644e-09
2022-07-27,1,placebo,345,150,218,0.592391304347826,0.00046250734449299806
2022-10-27,1,true,155,279,492,0.6381322957198443,1.54663401401107e-14
2022-10-27,1,true,205,321,560,0.6356413166855845,7.161066217433279e-16
2022-10-27,1,true,255,326,528,0.6182669789227166,4.8534647171510695e-12
2022-10-27,1,true,320,211,250,0.5422993492407809,0.0766406262308266
2022-10-27,1,placebo,180,331,530,0.6155632984901278,1.222930716172068e-11
2022-10-27,1,placebo,230,315,478,0.6027742749054225,7.810870615865881e-09
2022-10-27,1,placebo,285,257,408,0.6135338345864662,5.184623070708574e-09
2022-10-27,1,placebo,345,133,196,0.5957446808510638,0.0006090750402549357
2023-01-02,1,true,155,304,519,0.6306196840826246,6.290540044690384e-14
2023-01-02,1,true,205,327,578,0.6386740331491713,6.070317793268992e-17
2023-01-02,1,true,255,301,467,0.6080729166666666,2.278986733214408e-09
2023-01-02,1,true,320,177,260,0.5949656750572082,8.37204276867633e-05
2023-01-02,1,placebo,180,385,557,0.5912951167728238,2.3173563374266705e-08
2023-01-02,1,placebo,230,320,465,0.5923566878980892,2.5550745281093686e-07
2023-01-02,1,placebo,285,256,402,0.6109422492401215,1.3848963286306985e-08
2023-01-02,1,placebo,345,115,183,0.6140939597315436,9.749000710157816e-05
