outcome,cutoff,bandwidth,donut,n,coef,se,p,mean_below,mean_above,design
post_weekend_rn_lt8_day_share,155,5,0.0,788,-0.007122666929086749,0.03796283412750631,0.8512214415776582,0.06772637580259878,0.05421582587508514,RD
post_weekend_rn_lt8_day_share,155,5,1.0,545,0.02825740914541013,0.04871648441307416,0.562130523703753,0.06772637580259878,0.05847497701201404,donut_RD
post_zero_rn_day_share,155,5,0.0,788,-0.025770067993497733,0.025433082848892372,0.3112534209037827,0.015113222089776477,0.00902433422723278,RD
post_zero_rn_day_share,155,5,1.0,545,-0.01474065235759234,0.0276320354234202,0.5939326123329034,0.015113222089776477,0.010327361466077822,donut_RD
post_weekend_p10_total_hprd,155,5,0.0,788,-0.08919508064514536,0.11989448689704378,0.4571317601905367,2.565964618609341,2.634124006615444,RD
post_weekend_p10_total_hprd,155,5,1.0,545,0.10422381727318455,0.1766282485757878,0.5553871097189649,2.565964618609341,2.6721291342090985,donut_RD
post_avg_daily_census,155,5,0.0,788,45.515521324413484,11.497635921305957,8.221138508557324e-05,87.05907667029459,93.4836712635191,RD
post_avg_daily_census,155,5,1.0,545,25.43239347576443,16.093041513705348,0.11461466762252326,87.05907667029459,93.34767672654965,donut_RD
post_weekend_share_total_hours,155,5,0.0,788,-0.004370048598980427,0.0038940032449137165,0.2620993579241011,0.25012677273967776,0.2504627483639308,RD
post_weekend_share_total_hours,155,5,1.0,545,-0.00553472587382896,0.004948492855816704,0.26386398447466153,0.25012677273967776,0.2503132987893997,donut_RD
post_contract_share_total_hours,155,5,0.0,788,0.023650521891306762,0.03533235655189637,0.5034547063479189,0.10145775861672919,0.09642722941394764,RD
post_contract_share_total_hours,155,5,1.0,545,-0.0017538693318308925,0.04921841932442958,0.9715870145417251,0.10145775861672919,0.0990565356739567,donut_RD
post_weekend_rn_lt8_day_share,155,10,0.0,1311,-0.023262696278237117,0.016084142340836553,0.14832932669668297,0.06032308784689737,0.05738710272648097,RD
post_weekend_rn_lt8_day_share,155,10,1.0,1068,-0.004369464397764356,0.020811329990799106,0.8337421799389917,0.06032308784689737,0.06087278582930756,donut_RD
