cutoff,bandwidth,below_n,above_n,binomial_density_p
155,10,544,777,1.560321225358254e-10
155,10,544,777,1.560321225358254e-10
155,10,544,777,1.560321225358254e-10
155,10,544,777,1.560321225358254e-10
155,10,544,777,1.560321225358254e-10
205,10,659,906,4.6354120544462346e-10
205,10,659,906,4.6354120544462346e-10
205,10,659,906,4.6354120544462346e-10
205,10,659,906,4.6354120544462346e-10
205,10,659,906,4.6354120544462346e-10
255,10,551,731,5.524178734290833e-07
255,10,551,731,5.524178734290833e-07
255,10,551,731,5.524178734290833e-07
255,10,551,731,5.524178734290833e-07
255,10,551,731,5.524178734290833e-07
320,10,360,424,0.024387210032319494
320,10,360,424,0.024387210032319494
320,10,360,424,0.024387210032319494
320,10,360,424,0.024387210032319494
320,10,360,424,0.024387210032319494
